macd,macd_sig,macd_hist,cci,wr_14,boll_up,boll_low,kdj_k,kdj_d,kdj_j,ema20,close_delta,open_close_diff,rsi_14,close,date,news_sent_mean_1d,news_sent_std_1d,news_sent_maxabs_1d,news_count_1d,tech_sent_score
-0.55688214,-0.4847785,-0.33281523,-0.99176395,-0.7511373,-0.66799337,-0.63887537,-0.4867611,-0.5348078,-0.33834448,-0.6717612,-0.36319765,0.6023692,-0.9897182,102.4721,2014-12-05,-0.4,0.0,0.4,1.0,0.0
-0.64607334,-0.52681476,-0.49226853,-1.4936475,-1.5536624,-0.66551125,-0.6586615,-0.97548884,-0.72688824,-1.0716413,-0.68179244,-0.7852783,0.29802284,-1.1426365,99.784454,2014-12-08,0.37,0.35986108430893166,0.8,5.0,0.0
-0.6574725,-0.56288546,-0.42113128,-1.3503643,-0.38455155,-0.68366534,-0.65804523,-0.722559,-0.75895256,-0.5421055,-0.68709797,0.6324649,-2.026439,-0.53712994,102.07323,2014-12-09,0.0,0.0,0.0,1.0,0.0
-0.73959213,-0.609332,-0.5448591,-1.3194492,-1.2567945,-0.6831777,-0.6775644,-0.95958227,-0.8702814,-0.8770004,-0.6975302,-0.9936093,1.1768271,-0.68391186,98.65432,2014-12-10,0.0,0.0,0.0,0.0,0.0
-0.7733327,-0.65371644,-0.52026916,-1.1417447,-0.9926981,-0.70031315,-0.68091893,-0.91777265,-0.9286335,-0.7289247,-0.70526356,0.27532357,-0.24599949,-0.67304176,99.68949,2014-12-11,0.0,0.0,0.0,0.0,0.0
-0.7896183,-0.6927123,-0.45601296,-1.0216243,-0.9587774,-0.70841306,-0.6886826,-0.87040865,-0.9495598,-0.6127341,-0.7120415,0.018289687,-0.20034915,-0.7682543,99.82245,2014-12-12,0.625,0.31819805153394637,0.85,2.0,0.0
-0.8041043,-0.7270119,-0.40001142,-0.977599,-1.0581179,-0.7192014,-0.69447446,-0.8959142,-0.97319037,-0.63547564,-0.7188153,-0.13052066,0.5985669,-1.2557017,99.43307,2014-12-15,0.0,0.0,0.0,1.0,0.0
-0.7845592,-0.7502651,-0.2682863,-0.83946663,-0.67260355,-0.73053443,-0.6962132,-0.6832256,-0.90822643,-0.29509577,-0.72327006,0.26990923,-0.81284696,-1.0557834,100.449234,2014-12-16,0.44999999999999996,0.21794494717703367,0.7,3.0,0.0
-0.6907669,-0.74877733,0.02673951,-0.2409393,0.29411831,-0.73310834,-0.69636637,-0.011442514,-0.6099686,0.673795,-0.7222162,0.8597362,-0.77099895,-0.5553125,103.53575,2014-12-17,0.575,0.24748737341529156,0.75,2.0,0.0
-0.60610074,-0.7294517,0.23944947,0.086129814,0.69382274,-0.7326751,-0.6961118,0.3639803,-0.26865327,1.0159612,-0.72090274,0.04264003,0.46161002,-0.43010327,103.75418,2014-12-18,0.0875,0.627661001921685,0.75,4.0,0.0
-0.5038917,-0.69209826,0.4544263,0.13694255,1.145989,-0.7313438,-0.6962029,0.8185274,0.1313957,1.4453089,-0.71752423,0.35919672,-0.31828308,0.42145056,105.083755,2014-12-19,0.0,0.0,0.0,1.0,0.0
-0.46103323,-0.65303516,0.474812,0.08674593,0.538791,-0.73403317,-0.6965226,0.74075526,0.3685797,1.023062,-0.7174086,-0.52824664,0.66324013,-0.32769045,103.29832,2014-12-22,0.0,0.0,0.0,1.0,0.0
-0.49520612,-0.6291045,0.29436347,-0.7055864,-0.44390282,-0.7468068,-0.69642437,0.04498311,0.2626496,-0.2120664,-0.7223884,-0.8989075,1.0132427,-0.8108903,100.21182,2014-12-23,-0.3,0.4242640687119285,0.6,2.0,0.0
-0.5086405,-0.6128376,0.20297562,-0.5676645,-0.2983618,-0.76043725,-0.693754,-0.33521628,0.047739934,-0.70779634,-0.7262213,0.09674854,-0.14708555,-0.59172636,100.62018,2014-12-24,0.7,0.0,0.7,1.0,0.0
-0.51510346,-0.6012085,0.14767247,-0.54755145,-0.2983618,-0.773168,-0.69072044,-0.5886826,-0.19172624,-0.9285074,-0.72968906,-0.019588875,-0.0291516,-0.44081903,100.62018,2014-12-26,0.0,0.0,0.0,1.0,0.0
-0.51537263,-0.5919628,0.11925027,-0.4018835,-0.28820568,-0.78379256,-0.6882809,-0.75182307,-0.41328385,-0.99361634,-0.7327796,-0.011470643,-0.05578484,-0.02805706,100.648674,2014-12-29,0.7,0.0,0.7,1.0,0.0
-0.51648796,-0.5848052,0.09435123,-0.57808465,-0.9201894,-0.7837593,-0.6887466,-0.9314002,-0.6291402,-1.0972654,-0.7359358,-0.08181778,-0.08621744,-0.48033112,100.430244,2014-12-30,0.3,0.4242640687119285,0.6,2.0,0.0
-0.55290246,-0.586879,-0.015730875,-0.9193601,-1.7934542,-0.7882218,-0.6940714,-1.3752787,-0.94150114,-1.6058906,-0.7416229,-0.5093019,0.91432583,-0.15991871,98.7113,2014-12-31,0.4,0.0,0.4,1.0,0.0
-0.5843216,-0.595268,-0.09103718,-1.2763625,-1.4849818,-0.79631877,-0.69705784,-1.5335076,-1.209791,-1.6080961,-0.74730045,-0.11158246,0.19910887,-0.45902246,98.3884,2015-01-02,0.0,0.0,0.0,0.0,0.0
-0.66103,-0.6184101,-0.26696208,-2.07271,-1.5766383,-0.7957137,-0.7122896,-1.6804034,-1.4443996,-1.6266519,-0.75650465,-0.7230451,0.62519723,-0.90814066,95.9192,2015-01-05,0.15,0.21213203435596426,0.3,2.0,0.0
-0.66445285,-0.637657,-0.22051252,-1.5310884,-0.8817119,-0.79825914,-0.71743506,-1.340934,-1.4719731,-0.93358064,-0.7612028,0.6081102,-0.83186984,-0.3940268,98.12248,2015-01-06,0.6,0.0,0.6,1.0,0.0
-0.68739265,-0.65796816,-0.23320407,-1.1783886,-1.2381616,-0.7963372,-0.7249212,-1.2775874,-1.4663147,-0.81657934,-0.76731527,-0.34155554,0.89150065,-0.75412834,96.99235,2015-01-07,0.0,0.0,0.0,0.0,0.0
-0.6356692,-0.6631379,-0.052649084,-0.61998594,-0.3695018,-0.7992758,-0.72581846,-0.6900987,-1.2395844,0.069654614,-0.7683087,0.7650366,-0.835675,-0.82212,99.74646,2015-01-08,0.6,0.0,0.6,1.0,0.0
-0.63371366,-0.66685486,-0.035324577,-0.7965259,-0.95301586,-0.7987772,-0.72793335,-0.67635894,-1.0832167,-0.082014516,-0.7723519,-0.56341475,0.800197,-1.0985355,97.83758,2015-01-09,0.0,0.0,0.0,0.0,0.0
-0.6573952,-0.674901,-0.0869482,-1.211438,-1.3806938,-0.7968932,-0.7361037,-0.8853122,-1.0582712,-0.5177188,-0.77820045,-0.3983723,0.5567159,-1.5150117,96.50801,2015-01-12,0.0,0.0,0.0,0.0,0.0
-0.68883157,-0.68807155,-0.148055,-1.2768645,-1.5625181,-0.7943934,-0.7467576,-1.1999179,-1.1610371,-1.0135891,-0.7848216,-0.2495663,0.6480225,-1.4251144,95.70077,2015-01-13,0.0,0.0,0.0,1.0,0.0
-0.73344165,-0.70816344,-0.23058939,-1.5415637,-1.3702053,-0.7904,-0.76055515,-1.2982258,-1.2668566,-1.0844235,-0.792674,-0.3415577,-0.15850103,-1.2132105,94.570625,2015-01-14,0.6,0.0,0.6,1.0,0.0
-0.8334785,-0.7456648,-0.4381905,-1.6809955,-1.821801,-0.7814234,-0.787928,-1.6229997,-1.4606578,-1.4962212,-0.80489427,-0.90432185,1.2338929,-1.6235403,91.465126,2015-01-15,0.2,0.0,0.2,1.0,0.0
-0.8913712,-0.78806627,-0.4966248,-1.6162683,-1.5241566,-0.78481966,-0.8054907,-1.6813625,-1.612008,-1.4372462,-0.8150432,0.13733535,-0.34871858,-1.4980097,92.015945,2015-01-16,0.0,0.0,0.0,1.0,0.0
-0.8592253,-0.81510204,-0.31339142,-1.0044231,-0.5389056,-0.79622394,-0.80844283,-1.2522495,-1.5500553,-0.6716325,-0.81929773,0.8326798,-0.70632565,-0.9275394,95.00749,2015-01-20,0.625,0.1767766952966369,0.75,2.0,0.0
-0.7547098,-0.8143434,0.018044936,-0.2700935,0.49567464,-0.815052,-0.79937387,-0.48329574,-1.2169276,0.44684464,-0.81806254,0.85973406,-1.0106748,-0.44963974,98.094,2015-01-21,0.2,0.3651483716701107,0.6,4.0,0.3
-0.6503874,-0.7913908,0.28270063,0.17344926,1.0167793,-0.8275905,-0.7931007,0.13998108,-0.75830257,1.1381888,-0.8158342,0.17250784,0.18389115,-0.16481185,98.76828,2015-01-22,0.475,0.26299556396765833,0.7,4.0,0.25
-0.5824928,-0.7584857,0.40137997,0.15462291,0.71001416,-0.8316809,-0.7925719,0.43442264,-0.34080905,1.235593,-0.8152104,-0.26038626,0.3018251,-0.22835766,97.92306,2015-01-23,0.0,0.0,0.0,0.0,0.4
-0.50509655,-0.7155835,0.5205927,0.3015053,1.0133319,-0.83592236,-0.79106563,0.7633551,0.06235344,1.4165729,-0.8132695,0.21850246,0.11161044,0.1968999,98.75878,2015-01-26,0.44999999999999996,0.35355339059327373,0.7,2.0,0.3
-0.46346226,-0.67234373,0.52461815,-0.14719997,0.65141904,-0.841886,-0.78939927,0.8243821,0.3542888,1.2023543,-0.81315583,-0.30367482,-0.06339227,-0.2212934,97.76161,2015-01-27,0.0666666666666667,0.7023769168568493,0.8,3.0,0.3
-0.52576005,-0.6510959,0.2623704,-0.97074777,-0.8962076,-0.8479785,-0.7956147,0.18830332,0.3075138,0.016056351,-0.8200775,-1.2344089,0.65943795,-0.59114003,93.497475,2015-01-28,0.27499999999999997,0.5654644109048774,0.8,6.0,-0.15
-0.75978494,-0.6842256,-0.3860609,-2.8413823,-1.4438834,-0.82926196,-0.8459624,-0.47700787,0.023838125,-0.95686215,-0.8398568,-2.3572354,0.22954439,-1.5983206,85.29211,2015-01-29,0.10833333333333332,0.6696392063392546,0.85,6.0,-0.8
-0.9522215,-0.75194913,-0.7985794,-2.1022274,-1.5797932,-0.815457,-0.8886128,-0.9802504,-0.35626492,-1.5038768,-0.8588943,-0.21709555,0.15345564,-1.5321625,84.59884,2015-01-30,-0.15,0.443471156521669,0.6,4.0,-0.75
-1.0708472,-0.8315374,-0.9400626,-1.6690915,-1.3805789,-0.81099415,-0.9178026,-1.2298727,-0.70440096,-1.593082,-0.8744762,0.26449707,0.33606574,-1.3058594,85.59601,2015-02-02,0.0,0.0,0.0,1.0,-0.7
-1.1427914,-0.91061854,-0.93401366,-1.3502384,-1.2895081,-0.80702114,-0.94094205,-1.3570306,-0.98474944,-1.5209712,-0.88782305,0.110281095,0.3512835,-1.1868173,86.051865,2015-02-03,0.0,0.0,0.0,2.0,-0.7
-1.2012459,-0.98640424,-0.89471793,-1.1863374,-1.4052435,-0.8084887,-0.96288854,-1.4916914,-1.2227536,-1.511806,-0.90085304,-0.18463132,0.3322606,-1.1475163,85.47255,2015-02-04,0.3,0.4242640687119285,0.6,2.0,-0.75
-1.3008771,-1.0683736,-0.9684576,-1.3216826,-1.7466373,-0.8051037,-0.99376047,-1.7283727,-1.471246,-1.6895033,-0.91733545,-0.8312708,0.93715394,-1.128694,82.62347,2015-02-05,-0.75,0.0,0.75,1.0,-0.7
-1.3947922,-1.1540657,-1.0128483,-1.2955681,-1.8616381,-0.8101384,-1.0222273,-1.9342626,-1.7150451,-1.8125465,-0.9343133,-0.37672803,0.49965298,-1.2957792,81.36987,2015-02-06,0.5,0.0,0.5,1.0,-0.7
