macd,macd_sig,macd_hist,cci,wr_14,boll_up,boll_low,kdj_k,kdj_d,kdj_j,ema20,close_delta,open_close_diff,rsi_14,close,date,news_sent_mean_1d,news_sent_std_1d,news_sent_maxabs_1d,news_count_1d,tech_sent_score
1.3730087,0.88539827,1.3175225,1.7166073,0.97201437,1.1659056,1.7436985,1.5972273,1.4868543,1.3823414,1.5871532,-0.13303155,1.181441,1.0458313,3.68473,2009-11-13,0.0,0.0,0.0,0.0,0.0
1.4481668,1.0484009,1.1822823,1.164772,0.8106392,1.191506,1.745606,1.4616998,1.5668367,1.0536337,1.6047049,-0.07219479,-1.7632881,1.0819584,3.64138,2009-11-16,0.0,0.0,0.0,0.0,0.0
1.4838624,1.1871905,1.0069382,1.154113,0.77836376,1.21236,1.7523693,1.3163484,1.562832,0.7931785,1.6199707,-0.011358041,-0.031093974,1.3957443,3.63271,2009-11-17,0.0,0.0,0.0,0.0,0.0
1.2573961,1.2450078,0.42055416,0.28866968,-0.32126138,1.212899,1.7626982,0.5869518,1.2724897,-0.23667273,1.6159691,-0.43721655,5.511931,0.6279568,3.38128,2009-11-18,0.0,0.0,0.0,0.0,0.0
0.9929968,1.2291336,-0.11310181,-0.17005426,-0.64446604,1.2112035,1.77175,-0.13486223,0.79424673,-1.0600184,1.6068203,-0.13303155,1.8743166,0.322679,3.30325,2009-11-19,0.0,0.0,0.0,0.0,0.0
0.84204197,1.1809632,-0.34698337,-0.03660394,-0.38077188,1.2113918,1.7721759,-0.55096424,0.3113081,-1.3221058,1.603457,0.12552528,-1.2436336,0.48415157,3.37261,2009-11-20,0.0,0.0,0.0,0.0,0.0
0.7816883,1.1282451,-0.37991664,0.12170126,-0.109433636,1.2138348,1.7744998,-0.62803483,-0.041047335,-1.1010242,1.6053281,0.12552528,-1.4168502,0.61112034,3.44197,2009-11-23,0.0,0.0,0.0,0.0,0.0
0.73529696,1.0751696,-0.38250425,0.2790832,-0.2268486,1.2171537,1.7803187,-0.6543743,-0.2863393,-0.8974045,1.6076351,0.019060334,0.14212735,0.52169675,3.45064,2009-11-24,0.0,0.0,0.0,0.0,0.0
0.66739684,1.0167543,-0.42117485,0.2116193,-0.35022286,1.2177696,1.7931356,-0.7264359,-0.47828805,-0.83171237,1.6078796,-0.04177642,0.14212735,0.37196198,3.42463,2009-11-25,0.0,0.0,0.0,0.0,0.0
0.48448893,0.9270427,-0.647815,-0.5732847,-0.86269933,1.2136697,1.8062623,-0.9042074,-0.6763668,-0.95214254,1.5988873,-0.2242871,-0.5507531,0.21183394,3.29458,2009-11-27,0.0,0.0,0.0,0.0,0.0
0.2960013,0.8109829,-0.8386218,-0.72788084,-0.7450194,1.2118081,1.8116407,-0.95213836,-0.82732296,-0.8845694,1.5876799,-0.07219479,2.3939805,-0.35068518,3.25123,2009-11-30,0.0,0.0,0.0,0.0,0.0
0.10529008,0.67332214,-0.995051,-0.82761854,-0.91500133,1.2118081,1.8116407,-1.0780438,-0.9776173,-0.959601,1.5744686,-0.07219479,1.7011,-1.1272157,3.20788,2009-12-01,0.0,0.0,0.0,0.0,0.0
-0.002548223,0.537854,-0.97917324,-0.7224963,-0.7450194,1.2103169,1.8159461,-0.92933875,-1.0191646,-0.6463254,1.5655867,0.07989751,0.4885652,-0.9511564,3.25123,2009-12-02,0.0,0.0,0.0,0.0,0.0
-0.11018206,0.40418786,-0.96612316,-0.7580693,-0.8300105,1.2119524,1.8108292,-0.920351,-1.043318,-0.60519546,1.555708,-0.04177642,1.0082244,-1.7486274,3.22522,2009-12-03,0.0,0.0,0.0,0.0,0.0
