macd,macd_sig,macd_hist,cci,wr_14,boll_up,boll_low,kdj_k,kdj_d,kdj_j,ema20,close_delta,open_close_diff,rsi_14,close,date,news_sent_mean_1d,news_sent_std_1d,news_sent_maxabs_1d,news_count_1d,tech_sent_score
-0.30508095,-0.1453116,-0.58741766,-0.579985,-0.49839774,-0.65949214,-0.5559007,-0.62747073,-0.9515899,-0.12779437,-0.626384,-0.3301049,0.22077799,-0.8810241,70.47991,2012-05-17,0.6,0.0,0.6,2.0,0.0
-0.290221,-0.17727332,-0.42895055,-0.4776059,-0.36088136,-0.66063,-0.5597535,-0.25053635,-0.7285197,0.3601123,-0.62862724,0.21550032,-0.028943852,-0.6436823,70.74122,2012-05-18,0.35,0.49497474683058323,0.7,2.0,0.0
-0.24289845,-0.192856,-0.2110282,-0.29949704,0.13237754,-0.6605734,-0.5592031,0.29790494,-0.37393108,1.0346094,-0.62866473,0.50266093,-0.4927105,-0.70827043,71.37583,2012-05-21,0.0,0.0,0.0,0.0,0.0
-0.19102956,-0.19437602,-0.023925181,-0.112392955,0.2622207,-0.664194,-0.56001484,0.7240898,0.022443445,1.416232,-0.6279953,0.18681948,-0.10029217,-0.606764,71.59985,2012-05-22,0.0,0.0,0.0,0.0,0.0
-0.14729196,-0.18636195,0.102926224,-0.32149547,0.56990784,-0.6666585,-0.5608694,1.0082129,0.39334795,1.5448472,-0.6273895,0.014493756,-0.2429888,-0.46785408,71.59985,2012-05-23,0.6,0.0,0.6,1.0,0.0
-0.09747397,-0.16943738,0.2214799,0.056132317,0.96876204,-0.6717619,-0.560348,1.173894,0.7028115,1.5099436,-0.62602115,0.21549445,-0.38568532,-0.100376114,71.86115,2012-05-24,0.7,0.0,0.7,2.0,0.0
-0.06565987,-0.14918382,0.2657714,0.18250886,0.96323675,-0.681609,-0.5577181,1.1902277,0.91525185,1.2919139,-0.6253693,-0.12909243,0.2921206,-0.13453323,71.67449,2012-05-25,0.0,0.0,0.0,0.0,0.0
-0.011313298,-0.121512026,0.36447138,0.42069831,1.3728938,-0.68560076,-0.55659,1.3220896,1.1063771,1.3292072,-0.6230215,0.44522882,-0.24299438,0.12192784,72.23444,2012-05-29,0.6,0.0,0.6,1.0,0.0
-0.025035081,-0.10227034,0.25230882,-0.13284631,0.478546,-0.69875836,-0.55289453,0.78065026,1.0305474,0.3398644,-0.6245304,-0.8757277,0.5061708,0.15808669,71.07716,2012-05-30,0.0,0.0,0.0,0.0,0.0
-0.025326917,-0.086938575,0.20028743,-0.10859067,0.62280357,-0.712924,-0.5472404,0.5197689,0.882064,-0.004788874,-0.62530947,0.15808581,-0.31434256,0.00742205,71.26383,2012-05-31,0.7,0.0,0.7,1.0,0.0
-0.12609428,-0.09593853,-0.123445176,-1.3379303,-0.9638713,-0.7202262,-0.55304587,-0.16114669,0.52747154,-0.9432286,-0.6324598,-1.5648603,0.96993786,-0.47139823,69.210686,2012-06-01,0.6,0.0,0.6,1.0,0.0
-0.2748344,-0.13452776,-0.51712936,-2.0993822,-1.366505,-0.7138249,-0.57374835,-0.6899251,0.092582695,-1.4838343,-0.6434994,-1.1054268,1.0056149,-0.45431083,67.7548,2012-06-04,0.0,0.0,0.0,1.0,0.0
-0.37066337,-0.18562235,-0.68351257,-1.7184273,-1.0989084,-0.7134318,-0.5872238,-0.92871696,-0.28698146,-1.5119157,-0.652433,0.27294418,-0.5997303,-0.16348429,68.09078,2012-06-05,0.0,0.0,0.0,0.0,0.0
-0.3221957,-0.21626967,-0.41146258,-0.47807452,0.35458192,-0.7178483,-0.5873759,-0.47018734,-0.36790055,-0.5028798,-0.6530157,1.8522983,-1.776991,-0.11887839,70.47991,2012-06-06,0.7,0.0,0.7,1.0,0.0
-0.2574273,-0.22711916,-0.14805338,0.28058484,0.6271195,-0.71712154,-0.5869979,-0.048674066,-0.2636179,0.2139576,-0.6521365,0.35909238,0.29212633,0.13372248,70.92789,2012-06-07,0.2,0.282842712474619,0.6,4.0,0.0
-0.16582629,-0.2164678,0.13801476,0.465912,1.0813364,-0.71546376,-0.58729094,0.42537406,-0.016147017,0.86657673,-0.64899725,0.58880913,-0.8137807,0.2585436,71.67449,2012-06-08,0.0,0.0,0.0,1.0,0.0
-0.107897006,-0.19572166,0.27232558,0.63394666,0.8769351,-0.7143035,-0.58721715,0.6545367,0.23485735,1.0271094,-0.64721197,-0.24395081,0.82724124,-0.002908582,71.33852,2012-06-11,0.7,0.0,0.7,1.0,0.0
0.008092633,-0.15464698,0.5427963,0.91027033,1.6036844,-0.70563436,-0.5850552,1.1161758,0.57548445,1.5451262,-0.64126045,1.0769881,-1.1705279,0.2862574,72.71975,2012-06-12,0.0,0.0,0.0,0.0,0.0
0.07944773,-0.10672885,0.6338479,0.94213897,1.2455398,-0.70325744,-0.5756302,1.2717263,0.86096,1.5183312,-0.6371648,-0.30138296,-0.45703927,0.17792629,72.30911,2012-06-13,0.4,0.0,0.4,1.0,0.0
0.20012115,-0.042928133,0.84516525,1.2962036,1.5121912,-0.6902637,-0.5796497,1.4887515,1.1327446,1.6301703,-0.6293576,1.0195559,-1.3132247,0.39517227,73.615685,2012-06-14,0.3,0.4242640687119285,0.6,2.0,0.0
0.355457,0.04089362,1.1115445,1.8875582,1.6036844,-0.6683784,-0.5868659,1.672319,1.3828422,1.7009267,-0.618357,0.97916687,-0.4940077,0.65981394,74.86975,2012-06-15,0.2,0.28284271247461906,0.4,2.0,0.0
0.42764905,0.12318602,1.0911964,1.4423447,1.2093562,-0.6569225,-0.5877378,1.5992748,1.5221546,1.3910714,-0.6113422,-0.70543844,0.43612552,0.34533674,73.933846,2012-06-18,0.0,0.0,0.0,2.0,0.0
0.52664053,0.20991053,1.1501654,1.4835122,1.3971123,-0.640704,-0.5923035,1.5986131,1.614781,1.2805,-0.6020575,0.73442596,-0.4940077,0.77332944,74.86975,2012-06-19,0.0,0.0,0.0,0.0,0.0
0.61767036,0.29850057,1.1749861,1.3092053,1.5302466,-0.623895,-0.59696066,1.6933252,1.7120855,1.3544376,-0.59248185,0.30244666,-0.38668302,0.8007263,75.24409,2012-06-20,0.0,0.0,0.0,1.0,0.0
0.6080322,0.3673386,0.91218656,0.91432464,0.83590925,-0.61758435,-0.5962222,1.2033559,1.5930291,0.5186312,-0.588559,-1.1471893,1.6307043,0.9443638,73.73391,2012-06-21,0.0,0.0,0.0,2.0,0.0
0.6468644,0.43060398,0.8380423,0.873638,1.2340244,-0.60650575,-0.59757715,1.1857734,1.5070581,0.5850023,-0.58169127,0.82768714,-0.49797466,1.5082146,74.79105,2012-06-22,0.0,0.0,0.0,0.0,0.0
0.61657906,0.474825,0.5846582,0.473431,0.7076136,-0.6014216,-0.59600055,0.7807695,1.2977128,0.024980096,-0.57891464,-0.8277326,-0.1732601,1.1390333,73.69617,2012-06-25,-0.2,0.0,0.2,1.0,0.0
0.63913614,0.51496214,0.5303222,0.72627866,0.97812676,-0.592429,-0.59664404,0.84901965,1.1837692,0.2953608,-0.5730838,0.8276695,-0.9670053,0.9595652,74.75329,2012-06-26,0.4333333333333333,0.37859388972001823,0.7,3.0,0.0
0.7121918,0.56248915,0.62864363,0.98815954,1.4757767,-0.57627887,-0.5965061,1.1551033,1.222705,0.8592885,-0.5638972,0.9728755,-0.82268906,1.0712795,75.999176,2012-06-27,0.0,0.0,0.0,0.0,0.0
0.7753323,0.6138355,0.6794606,0.9050858,1.6036844,-0.5604211,-0.59582937,1.4498869,1.3593189,1.2854903,-0.55475587,0.21777742,-1.0391632,1.0053669,76.26344,2012-06-28,0.6,0.0,0.6,1.0,0.0
0.9366338,0.6889527,0.99573106,1.4132048,1.6036844,-0.53344816,-0.5915453,1.6464095,1.5241656,1.4826119,-0.5388997,1.8731737,-1.5442759,1.3860306,78.67971,2012-06-29,0.0,0.0,0.0,0.0,0.2
0.9877736,0.75983876,0.9394352,1.1680657,0.9996564,-0.5300364,-0.5637118,1.4701227,1.567889,1.0798004,-0.52870214,-1.001954,0.8730358,0.8819401,77.35834,2012-07-02,0.7,0.0,0.7,1.0,0.6
1.0062798,0.82045305,0.8027699,1.0126778,0.880692,-0.53344965,-0.53101,1.2999157,1.5331447,0.7816538,-0.5201867,-0.1597628,-0.20933631,0.92780906,77.131805,2012-07-03,0.0,0.0,0.0,0.0,0.6
0.99152315,0.86583024,0.60004187,0.90463865,0.5500463,-0.5307048,-0.5133314,1.0986388,1.4344267,0.49706087,-0.5136676,-0.2759358,0.0071323384,0.64594704,76.75425,2012-07-05,0.0,0.0,0.0,0.0,0.3
0.90784234,0.88447255,0.24433374,0.44417557,-0.13170776,-0.53436124,-0.4948729,0.674713,1.20948,-0.08226009,-0.5116801,-0.94387037,0.54832697,0.13742456,75.508385,2012-07-06,0.4,0.28284271247461895,0.6,2.0,0.2
0.84034044,0.88514113,0.005194933,0.27802926,-0.049078073,-0.536597,-0.47974178,0.3110233,0.922993,-0.4689775,-0.50940824,0.13064915,-0.20934205,0.3794425,75.659386,2012-07-09,0.0,0.0,0.0,0.0,0.2
0.7002178,0.8561054,-0.39002126,-0.22920091,-0.9167783,-0.5449866,-0.46263176,-0.35188872,0.48315644,-1.2710006,-0.5123305,-1.2052611,1.4863884,-0.15619394,74.073715,2012-07-10,0.85,0.0,0.85,1.0,-0.3
0.594604,0.81058866,-0.6092997,-0.40926582,-0.7928212,-0.548066,-0.45447952,-0.73289305,0.046909872,-1.5155741,-0.51426333,0.18874446,-0.028943852,-0.18865596,74.30024,2012-07-11,0.19999999999999998,0.565685424949238,0.6,2.0,-0.3
0.46110067,0.7460014,-0.8630311,-0.8329772,-1.2886457,-0.55225706,-0.44684547,-1.0961419,-0.38027838,-1.7354556,-0.5188564,-0.68250316,0.18753058,-0.06639679,73.39415,2012-07-12,0.6,0.0,0.6,1.0,-0.3
0.41391465,0.6843739,-0.82365423,-0.45663154,-0.6068917,-0.5534022,-0.4423964,-1.029699,-0.640129,-1.2965777,-0.5191011,0.9728579,-0.9670109,-0.024930548,74.640015,2012-07-13,0.0,0.0,0.0,0.0,-0.2
0.33947316,0.6193621,-0.8686806,-0.73622954,-1.100909,-0.55301106,-0.44573227,-1.0930067,-0.83712745,-1.1903547,-0.5214557,-0.50825244,-0.3175821,0.06584683,73.96045,2012-07-16,0.19999999999999998,0.34641016151377546,0.6,3.0,-0.2
0.30252826,0.55955607,-0.7994187,-0.49085099,-0.8196207,-0.5535012,-0.44357154,-0.9723365,-0.9231622,-0.8484484,-0.5220452,0.39205158,-0.3175822,-0.062398117,74.45127,2012-07-17,0.0,0.0,0.0,0.0,0.15
0.29350817,0.5098077,-0.6656018,-0.28823364,-0.5600018,-0.55347645,-0.44348383,-0.6035203,-0.8420717,-0.20925136,-0.52115667,0.3629658,-0.7144488,-0.2630101,74.90428,2012-07-18,0.0,0.0,0.0,0.0,0.2
0.276536,0.46642724,-0.5808762,-0.21944347,-0.6465356,-0.5539802,-0.44458315,-0.24006881,-0.6515781,0.29021567,-0.5208265,-0.10165576,0.4761688,-0.36925822,74.75329,2012-07-19,-0.13333333333333333,0.41633319989322654,0.6,3.0,0.2
0.274108,0.4312105,-0.47225848,-0.038408183,-0.47995618,-0.55474454,-0.43966547,-0.1539534,-0.49225637,0.27387464,-0.5196983,0.21780089,0.043214295,-1.1168243,75.017586,2012-07-20,-0.09999999999999999,0.4516635916254486,0.6,6.0,0.2
0.3111674,0.4108579,-0.27449158,-0.022718074,0.45201626,-0.55302566,-0.43791938,0.19989786,-0.2532124,0.6969486,-0.51606995,0.65341884,-1.9411494,-0.4819394,75.84818,2012-07-23,-0.2333333333333333,0.404145188432738,0.7,3.0,0.2
0.31512648,0.39541134,-0.20921712,-0.032243937,0.1455387,-0.55399483,-0.43145278,0.27410227,-0.065994546,0.6239726,-0.5142095,-0.3340135,0.2957707,-0.5412747,75.39513,2012-07-24,-0.6,0.0,0.6,1.0,0.2
0.32117262,0.38433003,-0.1511375,0.18796906,0.43058735,-0.5534118,-0.42957294,0.3268692,0.078624934,0.5585281,-0.51217073,0.101616174,0.18753058,-0.39803064,75.508385,2012-07-25,0.0,0.0,0.0,0.0,0.2
0.42794842,0.39799833,0.17815523,1.0193698,1.2691236,-0.5452785,-0.43228036,0.7477078,0.33301333,1.0969716,-0.50368905,1.6408218,-1.3278015,0.63365114,77.6226,2012-07-26,0.4,0.0,0.4,1.0,0.6
0.5750078,0.43996754,0.55469775,1.453261,1.4474788,-0.5280024,-0.44040188,1.1089436,0.6382069,1.4567348,-0.4917482,1.0600096,-1.0752454,0.88216203,78.98176,2012-07-27,0.3,0.4242640687119285,0.6,2.0,0.6
0.6621425,0.49193132,0.68767506,1.3710017,1.2131654,-0.5292299,-0.43968824,1.2435085,0.89218277,1.4252821,-0.48236695,-0.3340135,-0.06502579,1.3167536,78.5287,2012-07-30,0.0,0.0,0.0,1.0,-0.2
0.71443355,0.5445375,0.6962226,1.279849,1.1155503,-0.5230243,-0.44258863,1.2893237,1.078698,1.296571,-0.4744717,-0.13069461,-0.028943852,1.1993283,78.33996,2012-07-31,0.0,0.0,0.0,0.0,0.3
0.7444388,0.59295464,0.640487,1.1668572,1.0529699,-0.51656795,-0.44524452,1.302296,1.2079113,1.1700106,-0.46756575,-0.04362502,0.44008672,1.5788903,78.264404,2012-08-01,-0.55,0.0707106781186547,0.6,2.0,0.4
0.72109556,0.6267621,0.44610587,0.63785684,0.6246532,-0.51348346,-0.44594133,1.1066291,1.2206035,0.76518565,-0.46380612,-0.5953749,-0.028943852,0.9702377,77.47158,2012-08-02,0.65,0.0,0.65,1.0,0.2
0.77783704,0.6657824,0.51546377,1.0908146,1.5220993,-0.497675,-0.4496812,1.3743669,1.3295691,1.1701115,-0.45518962,1.2923439,-0.5340508,1.5825173,79.132774,2012-08-03,0.0,0.0,0.0,0.0,-0.2
0.8162228,0.70509946,0.51941013,1.0462253,1.2149746,-0.48356214,-0.45212555,1.3579005,1.3960314,1.0589106,-0.4472755,0.04354434,-0.028943852,1.517318,79.17054,2012-08-06,0.39999999999999997,0.34641016151377546,0.6,3.0,0.2
0.865983,0.7470541,0.5545048,1.0302885,1.4748582,-0.4686271,-0.4483894,1.4925947,1.4909014,1.215381,-0.4383371,0.45011753,0.043214288,1.5342339,79.73685,2012-08-07,0.7,0.0,0.7,1.0,0.2
0.87544024,0.7826137,0.4694179,0.78910494,1.2724054,-0.45853052,-0.4419909,1.4274309,1.5296867,1.0397985,-0.43155363,-0.3049864,0.11537237,1.4098111,79.321526,2012-08-08,0.0,0.0,0.0,0.0,-0.2
0.88315207,0.81268877,0.396447,0.76369905,1.3544041,-0.4527446,-0.42780927,1.4527284,1.5650399,1.0485033,-0.42482373,0.15971734,-0.46189836,1.3978899,79.510315,2012-08-09,0.6,0.0,0.6,1.0,0.2
0.88753617,0.8376741,0.32872736,0.71385103,1.4049196,-0.44445905,-0.41963398,1.5245802,1.6155808,1.1320506,-0.41826057,0.13066089,-0.38974023,1.2811438,79.66133,2012-08-10,0.4,0.0,0.4,1.0,0.2
0.8611972,0.85210395,0.18828703,0.5852446,1.0743704,-0.44319397,-0.40371418,1.4212611,1.6104902,0.93219787,-0.41362652,-0.30498052,0.1514543,1.2994415,79.24602,2012-08-13,0.0,0.0,0.0,0.0,-0.2
0.8223159,0.85544246,0.040718354,0.54872626,0.8264476,-0.44331592,-0.38864005,1.2836579,1.5554432,0.72296077,-0.41002607,-0.13069461,0.47616887,1.1876748,79.057274,2012-08-14,0.6,0.0,0.6,1.0,-0.2
0.78714645,0.8506914,-0.06691429,0.4355557,0.8597279,-0.44352072,-0.37471056,0.7903155,1.333553,0.0017264854,-0.40653148,0.07257146,-0.3897345,0.66552585,79.132774,2012-08-15,0.7,0.14142135623730953,0.8,2.0,0.2
0.7683841,0.842931,-0.106952645,0.5216816,1.1508479,-0.4456926,-0.3572577,0.73037446,1.1631254,0.08331743,-0.40230307,0.27587858,-0.6783729,0.2605934,79.47257,2012-08-16,0.3,0.4242640687119285,0.6,2.0,-0.2
0.7364948,0.8299929,-0.17584148,0.49131623,0.9891102,-0.45057094,-0.3386208,0.52028847,0.9706444,-0.10823422,-0.39907002,-0.13072395,0.043220025,0.41638526,79.28379,2012-08-17,0.0,0.0,0.0,2.0,-0.2
0.6909427,0.81002945,-0.2693144,0.3163844,0.7626944,-0.45445666,-0.32451296,0.21011823,0.7258914,-0.43754277,-0.39697468,-0.18879578,0.04321428,0.37029174,79.019516,2012-08-20,0.1,0.0,0.1,1.0,-0.2
0.63333327,0.7819011,-0.37794796,0.16507472,0.50391024,-0.46585524,-0.30254468,-0.30775183,0.36832342,-1.0476148,-0.39602685,-0.21785812,0.40401062,0.23953813,78.71746,2012-08-21,0.0,0.0,0.0,1.0,-0.2
0.5688069,0.7457812,-0.4842758,-0.4585543,-1.1315643,-0.48463482,-0.27456185,-0.6647364,-0.0040606954,-1.3196564,-0.39599892,-0.18877818,-0.06502005,0.56288826,78.45321,2012-08-22,0.0,0.0,0.0,1.0,-0.2
0.48649755,0.69951504,-0.6192693,-1.0765649,-1.5413636,-0.4861027,-0.272141,-1.0975826,-0.41479954,-1.6976084,-0.39763305,-0.39210293,0.3318468,-0.87341726,77.92464,2012-08-23,0.19999999999999998,0.565685424949238,0.6,2.0,-0.2
0.447325,0.65423554,-0.60614455,-0.70538074,-0.34768185,-0.48644385,-0.2732775,-0.8361717,-0.59049654,-0.9695284,-0.3972151,0.47916225,-0.7866128,-0.40155053,78.5287,2012-08-24,0.0,0.0,0.0,0.0,-0.2
