macd,macd_sig,macd_hist,cci,wr_14,boll_up,boll_low,kdj_k,kdj_d,kdj_j,ema20,close_delta,open_close_diff,rsi_14,close,date,news_sent_mean_1d,news_sent_std_1d,news_sent_maxabs_1d,news_count_1d,tech_sent_score
-0.15441348,-0.12313018,-0.1284066,0.187316,-0.67515135,-1.1869534,-1.1381896,-1.0673484,-0.83766353,-1.1225297,-1.1690937,0.30551717,0.18770498,0.11011657,52.86973,2018-12-12,0.4,0.0,0.4,1.0,0.0
-0.15448354,-0.13279358,-0.09909897,0.00045693212,-0.7340567,-1.1860985,-1.1349528,-1.0161105,-0.9444486,-0.9014631,-1.1680489,-0.08619343,0.25543842,-0.052897282,52.78126,2018-12-13,0.6,0.0,0.6,1.0,0.0
-0.2024994,-0.1507946,-0.20103635,-0.6080545,-1.41334,-1.1860825,-1.1352226,-1.270795,-1.1123928,-1.2056333,-1.1700181,-0.60105306,0.3180514,-0.14075822,51.79711,2018-12-14,0.0,0.0,0.0,0.0,0.0
-0.30104327,-0.18627332,-0.41472247,-1.2946244,-1.7911808,-1.1854048,-1.14376,-1.5827779,-1.342877,-1.5500797,-1.1755639,-0.76591116,0.7977025,-0.80044234,50.526165,2018-12-17,-0.05000000000000002,0.4949747468305833,0.4,2.0,0.0
-0.34965792,-0.22505471,-0.45510107,-0.9841374,-1.4381522,-1.1863298,-1.14804,-1.5057467,-1.4672694,-1.2588397,-1.1787884,0.31266126,-0.066403605,-0.5793464,51.131565,2018-12-18,0.0,0.0,0.0,0.0,0.0
-0.40046725,-0.2669476,-0.4931432,-1.0509927,-1.603364,-1.1866539,-1.1471959,-1.5686749,-1.574104,-1.2596855,-1.1825451,-0.19819658,0.4315559,-1.3150445,50.848248,2018-12-19,0.0,0.0,0.0,0.0,0.0
-0.47091508,-0.31553027,-0.5749339,-1.6037987,-1.6970938,-1.184602,-1.1521022,-1.6873288,-1.6904033,-1.3581123,-1.1879458,-0.42390883,0.34880754,-1.4881613,50.172268,2018-12-20,0.3,0.0,0.3,1.0,0.0
-0.59404373,-0.38073286,-0.7781324,-2.0295198,-1.9101819,-1.1761887,-1.1707691,-1.9125521,-1.8534981,-1.6105174,-1.1972293,-0.88876855,1.3388659,-1.8425208,48.68759,2018-12-21,0.0,0.0,0.0,0.0,0.0
-0.69487464,-0.45446208,-0.8823801,-2.0649593,-1.8873746,-1.1692157,-1.1861645,-2.0618255,-2.0189364,-1.7125908,-1.2061174,-0.13019168,-0.055419654,-2.0963306,48.52258,2018-12-24,-0.6,0.0,0.6,1.0,0.0
-0.62123346,-0.49769402,-0.50951475,-1.0017194,0.062637374,-1.1698232,-1.1869756,-1.3071469,-1.842528,-0.44592726,-1.2048496,1.7715176,-1.8176816,-0.52537584,51.66589,2018-12-26,0.7,0.0,0.7,1.0,0.0
-0.54946667,-0.5169291,-0.21612437,-0.7720705,0.19673362,-1.169859,-1.1870217,-0.5598556,-1.4410279,0.5503766,-1.203052,0.09094863,-0.94918406,-0.7157406,51.885586,2018-12-27,-0.19999999999999998,0.34641016151377546,0.6,3.0,0.0
-0.5062586,-0.5230752,-0.056096196,-0.4083608,-0.0095656905,-1.1773523,-1.1867054,-0.16338009,-1.0227411,0.84551066,-1.2024267,-0.22962359,0.4886742,-0.37262654,51.547596,2018-12-28,0.0,0.0,0.0,1.0,0.0
