macd,macd_sig,macd_hist,cci,wr_14,boll_up,boll_low,kdj_k,kdj_d,kdj_j,ema20,close_delta,open_close_diff,rsi_14,close,date,news_sent_mean_1d,news_sent_std_1d,news_sent_maxabs_1d,news_count_1d,tech_sent_score
-0.3105472,-0.36645854,0.133623,-0.25036076,-0.098796114,-0.7367211,-0.7469651,0.38793948,0.14374192,0.5900123,-0.74186087,-0.24893461,0.31801218,-0.022139562,0.42293733,2011-03-30,-0.75,0.0,0.75,1.0,0.0
-0.3060314,-0.35662454,0.11580271,-0.36566484,-0.086247586,-0.7405398,-0.7453138,0.23073696,0.18391842,0.2393053,-0.7422602,-0.033604946,0.008316851,-0.078058824,0.4231664,2011-03-31,0.0,0.0,0.0,0.0,0.0
-0.30660155,-0.348878,0.086376235,-0.39460823,-0.41274413,-0.7448463,-0.7432637,-0.013907659,0.11764986,-0.16041894,-0.74289215,-0.11324336,0.18320331,-0.2879136,0.41720653,2011-04-01,0.0,0.0,0.0,0.0,0.0
-0.31903982,-0.34531257,0.02743528,-0.8568872,-1.2593008,-0.7490394,-0.7417762,-0.5266256,-0.12154667,-0.8843863,-0.7441406,-0.22828735,0.23785585,-0.34215423,0.40230626,2011-04-04,-0.45,0.42426406871192857,0.75,2.0,0.0
-0.3268785,-0.34411877,-0.005997928,-0.8719288,-1.221198,-0.7511036,-0.7416778,-1.0419694,-0.47702706,-1.481577,-0.74523896,-0.027704526,0.08482954,-0.26284143,0.40299386,2011-04-05,0.0,0.0,0.0,0.0,0.0
-0.33405855,-0.34468296,-0.030780045,-1.0323969,-1.3736347,-0.75241846,-0.7421213,-1.3962895,-0.84878314,-1.7477481,-0.7463576,-0.07195,0.092116386,-0.4958876,0.400243,2011-04-06,-0.5,0.0,0.5,1.0,0.0
-0.325266,-0.34327394,-0.0029632687,-0.49461654,-0.5606442,-0.75235647,-0.7419804,-1.2483689,-1.0403575,-1.2433627,-0.74670345,0.15223297,-0.21757889,-0.054711178,0.41491407,2011-04-07,0.4,0.0,0.4,1.0,0.0
-0.32813308,-0.34275335,-0.0154876085,-0.64883494,-1.2593008,-0.7523536,-0.74257886,-1.463325,-1.2498343,-1.4230511,-0.74758893,-0.19878833,0.25242957,-0.38351342,0.40230626,2011-04-08,-0.6,0.0,0.6,1.0,0.0
-0.333629,-0.34349975,-0.03334843,-1.0239258,-1.5514714,-0.7523529,-0.7436272,-1.6501713,-1.4605545,-1.5467664,-0.7486295,-0.104397714,0.11033378,-0.34783196,0.3970338,2011-04-11,0.0,0.0,0.0,0.0,0.0
-0.33545756,-0.34448376,-0.036698185,-1.1683027,-1.2724626,-0.7522534,-0.74409,-1.4922225,-1.5409573,-1.1489912,-0.749519,-0.021803722,-0.07912679,-0.5009824,0.39817998,2011-04-12,0.025000000000000022,1.0253048327204939,0.75,2.0,0.0
-0.32751378,-0.34359017,-0.010229504,-0.6788082,-0.8140704,-0.75228184,-0.7437826,-1.0983467,-1.4447445,-0.49355438,-0.7499177,0.07848846,-0.075483575,-1.143807,0.40712014,2011-04-13,0.0,0.0,0.0,0.0,0.0
-0.3047215,-0.3380527,0.05523513,-0.11025051,0.06744866,-0.7518097,-0.7435678,-0.13369606,-1.0136881,0.89007366,-0.74949765,0.18467915,-0.33052677,-0.35578117,0.42431268,2011-04-14,0.0,0.0,0.0,1.0,0.0
-0.2816819,-0.32874775,0.10834447,0.35713404,0.50886863,-0.75113285,-0.7430716,0.3652382,-0.5365428,1.3174355,-0.7489094,0.022442142,-0.12284881,-0.66850775,0.42889732,2011-04-15,0.0,0.0,0.0,0.0,0.0
-0.27529955,-0.31995335,0.10114732,-0.26817495,-0.2879064,-0.7510755,-0.74274665,0.28693143,-0.24823052,0.83846974,-0.74902266,-0.2194375,0.06661217,-0.90107775,0.4146848,2011-04-18,-0.050000000000000044,1.0606601717798212,0.8,2.0,0.0
-0.270914,-0.3119899,0.08943365,-0.5070982,-0.044455133,-0.7511805,-0.741944,0.1883341,-0.09352483,0.4716368,-0.74919796,-0.057199724,0.030177005,-0.5667669,0.41308025,2011-04-19,0.0,0.0,0.0,0.0,0.0
-0.2556005,-0.30237895,0.11265813,0.24206756,0.8036032,-0.7507901,-0.7415015,0.4816945,0.12119476,0.7975697,-0.74878395,0.125683,0.04110794,-0.22411591,0.42568803,2011-04-20,0.0,0.0,0.0,0.0,0.0
-0.24403763,-0.29224363,0.12005053,0.31800812,0.72570384,-0.7519984,-0.7409163,0.6442835,0.32618347,0.8806983,-0.7484615,-0.051301986,0.09211638,-0.0943773,0.4245418,2011-04-21,0.0,0.0,0.0,0.0,0.0
-0.22866678,-0.28088307,0.13732271,0.5817177,0.9485104,-0.7517316,-0.741018,0.8470185,0.5399549,1.0317948,-0.74786776,0.04899135,-0.07548356,0.5345835,0.43118966,2011-04-25,0.0,0.0,0.0,0.0,0.0
-0.20644161,-0.26709196,0.17158534,1.0295242,1.1596968,-0.75178194,-0.7409821,1.0484744,0.759095,1.1743195,-0.74682057,0.10798787,-0.11920521,0.73157036,0.4424223,2011-04-26,0.7,0.0,0.7,1.0,0.0
-0.18901226,-0.25237122,0.18469058,1.0334067,1.1596968,-0.75147456,-0.7411912,1.1722697,0.952275,1.1955382,-0.74587303,-0.03655247,0.037464745,0.82951653,0.4424223,2011-04-27,0.025,0.03535533905932738,0.05,2.0,0.0
-0.17129083,-0.23684497,0.196046,1.2177017,0.9760387,-0.7495893,-0.7421609,1.1581925,1.0757076,1.0282328,-0.7447971,0.025390433,-0.07548357,0.65111756,0.44723606,2011-04-28,0.4666666666666666,0.41633319989322654,0.8,3.0,0.0
-0.14787796,-0.21947004,0.2221065,1.4387821,0.9930564,-0.74667054,-0.7437825,1.1674844,1.1615298,0.9489406,-0.74331355,0.107986346,-0.13013567,1.3660349,0.4584686,2011-04-29,0.0,0.0,0.0,1.0,0.0
-0.13564755,-0.20298226,0.20960031,1.0869024,0.7460354,-0.74467313,-0.74432564,1.0439228,1.1717467,0.69750905,-0.74225235,-0.116195865,0.25242952,1.3243446,0.45227927,2011-05-02,0.0,0.0,0.0,0.0,0.0
-0.14587167,-0.19195536,0.13261886,0.22045435,-0.35666034,-0.7444424,-0.7431228,0.2393974,0.8725491,-0.5248373,-0.7422709,-0.31382924,0.25971687,0.50312704,0.4307313,2011-05-03,0.0,0.0,0.0,0.0,0.0
-0.15738809,-0.1855706,0.06717906,-0.06650904,-0.6152612,-0.7444104,-0.74188715,-0.4033525,0.42860788,-1.269014,-0.74243337,-0.077850424,0.07389903,0.23232375,0.4275219,2011-05-04,0.0,0.0,0.0,0.0,0.0
-0.16675122,-0.18244392,0.021249987,-0.17641775,-0.6246441,-0.74458015,-0.740258,-0.79875976,-0.017750397,-1.5303355,-0.7425699,-0.033603027,-0.05726619,-0.1852502,0.42775112,2011-05-05,0.0,0.0,0.0,0.0,0.0
-0.16117103,-0.17876187,0.02907907,0.39581463,0.124444135,-0.7437706,-0.73976415,-0.64089996,-0.25527886,-0.95454216,-0.7420064,0.15813339,-0.09734461,0.089500435,0.44288072,2011-05-06,0.0,0.0,0.0,0.0,0.0
-0.14859971,-0.17315628,0.056195214,0.690454,0.6124815,-0.74275404,-0.7383488,-0.2610725,-0.26916,-0.20152016,-0.7410489,0.090287,-0.13377933,0.78156364,0.45273778,2011-05-09,0.5333333333333333,0.28867513459481287,0.7,3.0,0.0
-0.13878623,-0.16659537,0.06966219,0.7113863,0.40025932,-0.7423798,-0.7358638,0.011302943,-0.17481337,0.22018978,-0.74015135,-0.027703375,0.04839481,0.8559329,0.45342547,2011-05-10,0.1,0.14142135623730953,0.2,2.0,0.0
-0.13003145,-0.15949422,0.0772779,0.71377736,0.53599036,-0.7422689,-0.7330195,0.25035882,-0.020988483,0.50977135,-0.7392456,-0.010004416,0.0046732062,0.6517674,0.4554886,2011-05-11,0.0,0.0,0.0,2.0,0.0
