macd,macd_sig,macd_hist,cci,wr_14,boll_up,boll_low,kdj_k,kdj_d,kdj_j,ema20,close_delta,open_close_diff,rsi_14,close,date,news_sent_mean_1d,news_sent_std_1d,news_sent_maxabs_1d,news_count_1d,tech_sent_score
0.013354647,0.096826315,-0.23572727,-0.3500488,-1.2890772,-1.284008,-1.3001546,-1.248871,-0.5155631,-1.8287712,-1.2932932,-0.32133156,0.12519625,0.0640835,49.634705,2011-04-13,0.0,0.0,0.0,0.0,0.0
-0.01505439,0.07469701,-0.25983348,-0.14860217,-0.8413839,-1.2869962,-1.2912759,-1.1660691,-0.7893447,-1.3620285,-1.2924207,0.27898905,-0.03606691,-0.32864144,50.05734,2011-04-14,0.0,0.0,0.0,0.0,0.0
-0.048402578,0.049818464,-0.29127005,-0.3614606,-1.0300543,-1.2896531,-1.2839769,-1.1395637,-0.9617459,-1.1175302,-1.2918193,-0.12120577,-0.23128451,-0.5540837,49.969303,2011-04-15,-0.15,0.0,0.15,1.0,0.0
-0.08524121,0.021989575,-0.32500678,-0.49434605,-1.2187494,-1.2947856,-1.2739727,-1.2116314,-1.1041956,-1.0966301,-1.2914627,-0.12121474,-0.08699691,-0.3472467,49.881256,2011-04-18,0.0,0.0,0.0,0.0,0.0
-0.14259547,-0.012613668,-0.40247005,-1.4625804,-0.971907,-1.2964188,-1.2706873,-1.1612275,-1.1799179,-0.9145282,-1.2918911,-0.3282372,-0.12943098,-1.354646,49.529037,2011-04-19,0.3,0.0,0.3,1.0,0.0
-0.16986915,-0.046164352,-0.39043447,-0.92796576,-0.52390337,-1.2992964,-1.2651467,-0.8787605,-1.1225533,-0.43443698,-1.2916216,0.18930252,-0.15489277,-1.2472594,49.837227,2011-04-20,-0.6,0.0,0.6,1.0,0.0
-0.1168458,-0.061596606,-0.1832538,1.1037292,1.0644605,-1.2984225,-1.2616532,-0.10102013,-0.7873688,0.6886038,-1.2889746,0.831033,-0.22279838,-0.13818291,50.9643,2011-04-21,0.75,0.07071067811865482,0.8,2.0,0.0
-0.051263023,-0.059831854,0.013390341,1.6147815,1.0037948,-1.2931918,-1.2639201,0.3914256,-0.37589633,1.1761633,-1.285716,0.26518974,0.09973126,0.11652319,51.369324,2011-04-25,-0.13333333333333333,0.41633319989322654,0.6,3.0,0.0
0.0046077026,-0.046399135,0.14681132,1.4035648,1.1091254,-1.288179,-1.2659326,0.76494855,0.041029744,1.4283843,-1.2824862,0.051297512,-0.07002134,0.34992996,51.50141,2011-04-26,0.0,0.0,0.0,0.0,0.0
0.06315095,-0.023056978,0.2601233,1.521238,0.9531585,-1.2825282,-1.2673231,0.9469963,0.3884867,1.3894786,-1.2789444,0.17548826,-0.13792042,0.6281972,51.791973,2011-04-27,0.6,0.0,0.6,1.0,0.0
0.12736845,0.009433502,0.36473304,1.455644,1.081856,-1.2756453,-1.2703427,1.1236203,0.6875597,1.3943979,-1.2749889,0.22380078,-0.23128451,0.729418,52.144184,2011-04-28,0.3,0.4242640687119285,0.6,2.0,0.0
0.16557233,0.043645706,0.38442037,1.1271931,1.0069771,-1.2704657,-1.2722689,1.209219,0.91962296,1.2990439,-1.2715791,-0.11433003,-0.061531898,0.6871202,52.064922,2011-04-29,0.0,0.0,0.0,0.0,0.0
0.18538804,0.07527895,0.35493046,0.90833324,0.96539325,-1.266191,-1.273489,1.24843,1.089303,1.1842651,-1.268588,-0.08671049,-0.036070157,0.8797509,52.020905,2011-05-02,0.0,0.0,0.0,0.0,0.0
0.1869312,0.1009176,0.286383,0.6842736,0.8361362,-1.2627882,-1.2740588,1.1876534,1.1792182,0.96624774,-1.2660881,-0.12811439,0.18460594,0.9542729,51.924053,2011-05-03,0.0,0.0,0.0,0.0,0.0
0.16382663,0.11645735,0.17090516,0.34592608,0.60611475,-1.260496,-1.2736198,0.7998501,1.0910984,0.31762707,-1.2643522,-0.24542941,0.2270465,1.0609883,51.6775,2011-05-04,0.7,0.0,0.7,1.0,0.0
0.13320161,0.122300036,0.06002065,0.19438349,0.53218496,-1.2586613,-1.2725672,0.19745697,0.8023579,-0.51954085,-1.2629504,-0.114315085,0.11671008,0.79253924,51.59826,2011-05-05,-0.05000000000000001,0.7762087348130012,0.85,3.0,0.0
0.08308032,0.1161903,-0.07665314,0.09989209,0.26931092,-1.2576902,-1.2715266,-0.54393756,0.32679936,-1.415046,-1.2622831,-0.27302504,0.04032158,0.57893014,51.316494,2011-05-06,0.0,0.0,0.0,0.0,0.0
0.049194045,0.104011595,-0.14604972,0.18646029,0.4253847,-1.2564576,-1.2702974,-0.8243961,-0.09731888,-1.4798203,-1.2613225,0.07888416,0.34587228,0.75259686,51.483784,2011-05-09,0.6,0.0,0.6,1.0,0.0
0.030234491,0.09018941,-0.1648432,0.13678989,0.4775651,-1.2550677,-1.2682358,-0.7637875,-0.35692394,-1.0717585,-1.2600404,0.09959508,-0.08699367,1.2369541,51.6775,2011-05-10,0.8,0.0,0.8,2.0,0.0
0.040171687,0.081269726,-0.108784184,0.35936812,0.8663929,-1.2528956,-1.2656051,-0.16071042,-0.29973876,0.026500095,-1.2579416,0.2928003,-0.2652324,1.2810565,52.11776,2011-05-11,-0.375,0.6551081335677849,0.8,4.0,0.0
0.016216174,0.06897976,-0.14732212,0.14812554,-0.3801014,-1.2532461,-1.2603478,-0.24256882,-0.29286906,-0.13898627,-1.2568501,-0.34893617,0.30343494,0.26528376,51.73913,2011-05-12,0.0,1.0606601717798212,0.75,2.0,0.0
0.013300543,0.0585205,-0.12638874,0.14681387,0.5372833,-1.2523159,-1.2567307,0.09675456,-0.15873525,0.36457017,-1.2552054,0.18931149,-0.43498507,0.19366713,52.04733,2011-05-13,-0.6,0.0,0.6,1.0,0.0
-0.036797453,0.039374158,-0.2257234,-0.071087755,-1.2973611,-1.2534819,-1.2520883,-0.45570505,-0.28024223,-0.5639652,-1.2550315,-0.5352357,0.49016327,-0.52838594,51.43097,2011-05-16,-0.6,0.1264911064067352,0.8,6.0,0.0
