date,equity,bh_equity
2021-04-05,109157.945,109157.945
2021-04-06,108840.5,111711.25
2021-04-07,108797.84,109216.07
2021-04-08,110091.586,110582.37
2021-04-09,110385.41,108193.77
2021-04-12,111911.35,118222.93
2021-04-13,112290.47,117195.805
2021-04-14,111086.77,115907.03
2021-04-15,109556.08,115839.195
2021-04-16,109442.36,115645.38
2021-04-19,108110.69,113751.0
2021-04-20,107579.92,111376.95
2021-04-21,107409.33,111163.766
2021-04-22,106883.3,111120.16
2021-04-23,104144.17,112442.85
2021-04-26,105020.89,112743.234
2021-04-27,104915.98,114303.336
2021-04-28,98249.164,114690.93
2021-04-29,99877.88,113460.305
2021-04-30,100609.16,111895.35
2021-05-03,101877.0,111779.09
2021-05-04,101316.67,110417.63
2021-05-05,103429.74,109874.99
2021-05-06,100613.91,109700.58
2021-05-07,100319.5,109162.77
2021-05-10,100647.15,106362.37
2021-05-11,100955.8,107258.7
2021-05-12,101411.64,106541.63
2021-05-13,101990.96,99845.84
2021-05-14,104612.12,101507.67
2021-05-17,104664.34,102253.805
2021-05-18,103453.49,103547.42
2021-05-19,104393.69,102975.7
2021-05-20,103387.0,105131.734
2021-05-21,102874.18,102258.66
2021-05-24,101687.06,101958.266
2021-05-25,101568.34,102292.58
2021-05-26,100889.31,102607.49
2021-05-27,101981.47,103072.6
2021-05-28,100139.05,103663.7
2021-06-01,99787.664,106338.14
2021-06-02,100870.32,106391.43
2021-06-03,101202.71,105155.97
2021-06-04,100613.91,106115.27
2021-06-07,100737.37,105088.12
2021-06-08,102418.33,104564.88
2021-06-09,104089.78,103353.625
2021-06-10,108895.24,103232.49
2021-06-11,108937.98,102539.66
2021-06-14,109341.6,103654.016
2021-06-15,108078.5,101774.14
2021-06-16,105747.0,101415.62
2021-06-17,103790.63,102520.29
2021-06-18,100870.32,102859.43
2021-06-21,99160.87,102258.66
2021-06-22,95290.86,102384.625
2021-06-23,98182.68,104099.76
2021-06-24,97964.26,105805.195
2021-06-25,99877.88,110708.336
2021-06-28,100822.83,110751.945
2021-06-29,102370.836,111163.766
2021-06-30,101107.74,109874.99
2021-07-01,99592.98,107496.09
2021-07-02,100390.72,105499.96
2021-07-06,100623.4,102520.29
2021-07-07,102028.945,100776.07
2021-07-08,98462.836,96827.4
2021-07-09,91449.34,99778.0
2021-07-12,88747.47,99555.14
2021-07-13,93467.44,101507.67
2021-07-14,94193.96,102471.82
2021-07-15,93078.07,104051.305
2021-07-16,95404.82,102762.53
2021-07-19,94117.99,101216.97
2021-07-20,95699.234,102030.94
2021-07-21,95020.195,102268.34
2021-07-22,93647.88,103702.45
2021-07-23,93106.56,100063.86
2021-07-26,93334.48,92907.79
2021-07-27,92921.375,90150.99
2021-07-28,91401.87,94966.914
2021-07-29,89958.32,95708.2
2021-07-30,87151.98,94569.63
2021-08-02,82887.84,96943.67
2021-08-03,82232.56,95630.69
2021-08-04,76629.36,97244.07
2021-08-05,75399.51,96551.234
2021-08-06,76871.52,95151.02
