date,equity,bh_equity
2021-04-05,109157.945,109157.945
2021-04-06,109157.945,111711.25
2021-04-07,109157.945,109216.07
2021-04-08,109157.945,110582.37
2021-04-09,109157.945,108193.77
2021-04-12,109157.945,118222.93
2021-04-13,109157.945,117195.805
2021-04-14,109157.945,115907.03
2021-04-15,109157.945,115839.195
2021-04-16,109157.945,115645.38
2021-04-19,109157.945,113751.0
2021-04-20,109157.945,111376.95
2021-04-21,109157.945,111163.766
2021-04-22,109157.945,111120.16
2021-04-23,109157.945,112442.85
2021-04-26,109157.945,112743.234
2021-04-27,109157.945,114303.336
2021-04-28,109157.945,114690.93
2021-04-29,109157.945,113460.305
2021-04-30,109157.945,111895.35
2021-05-03,109157.945,111779.09
2021-05-04,108496.13,110417.63
2021-05-05,110609.2,109874.99
2021-05-06,107793.37,109700.58
2021-05-07,107498.96,109162.77
2021-05-10,107826.61,106362.37
2021-05-11,108135.26,107258.7
2021-05-12,108591.1,106541.63
2021-05-13,109170.42,99845.84
2021-05-14,111791.58,101507.67
2021-05-17,111843.805,102253.805
2021-05-18,110632.95,103547.42
2021-05-19,111573.15,102975.7
2021-05-20,110566.46,105131.734
2021-05-21,110053.64,102258.66
2021-05-24,108866.52,101958.266
2021-05-25,108747.805,102292.58
2021-05-26,108068.77,102607.49
2021-05-27,109160.93,103072.6
2021-05-28,107318.51,103663.7
2021-06-01,106967.125,106338.14
2021-06-02,108049.78,106391.43
2021-06-03,108382.17,105155.97
2021-06-04,107793.37,106115.27
2021-06-07,107916.83,105088.12
2021-06-08,109597.79,104564.88
2021-06-09,111269.24,103353.625
2021-06-10,116074.7,103232.49
2021-06-11,116117.44,102539.66
2021-06-14,116521.06,103654.016
2021-06-15,115257.96,101774.14
2021-06-16,112926.46,101415.62
2021-06-17,110970.09,102520.29
2021-06-18,108049.78,102859.43
2021-06-21,106340.33,102258.66
2021-06-22,102470.32,102384.625
2021-06-23,105362.14,104099.76
2021-06-24,105143.72,105805.195
2021-06-25,107057.34,110708.336
2021-06-28,108002.29,110751.945
2021-06-29,109550.3,111163.766
2021-06-30,108287.2,109874.99
2021-07-01,106772.44,107496.09
2021-07-02,107570.18,105499.96
2021-07-06,107802.86,102520.29
2021-07-07,109208.41,100776.07
2021-07-08,105642.3,96827.4
2021-07-09,98628.805,99778.0
2021-07-12,95926.93,99555.14
2021-07-13,100646.9,101507.67
2021-07-14,101373.42,102471.82
2021-07-15,100257.53,104051.305
2021-07-16,102584.28,102762.53
2021-07-19,101297.45,101216.97
2021-07-20,102878.695,102030.94
2021-07-21,102199.66,102268.34
2021-07-22,100827.34,103702.45
2021-07-23,100286.02,100063.86
2021-07-26,100513.94,92907.79
2021-07-27,100100.836,90150.99
2021-07-28,98581.33,94966.914
2021-07-29,97137.78,95708.2
2021-07-30,94331.44,94569.63
2021-08-02,90067.305,96943.67
2021-08-03,89412.02,95630.69
2021-08-04,83808.82,97244.07
2021-08-05,82578.97,96551.234
2021-08-06,84050.984,95151.02
2021-08-09,89103.36,94598.695
2021-08-10,87868.766,94831.25
2021-08-11,86035.84,94409.74
2021-08-12,83295.98,92859.35
2021-08-13,84635.04,91386.46
2021-08-16,86866.836,88523.06
2021-08-17,89853.625,84172.25
2021-08-18,89245.82,83503.65
2021-08-19,88438.58,77786.55
2021-08-20,90746.34,76531.695
2021-08-23,88633.266,78033.625
2021-08-24,87023.53,83188.7
2021-08-25,87393.92,81929.02
2021-08-26,86116.57,80058.84
2021-08-27,83618.87,77263.27
2021-08-30,82531.48,78629.56
2021-08-31,81771.72,80906.73
2021-09-01,83571.39,83954.23
2021-09-02,79506.7,83334.07
2021-09-03,78884.64,82510.414
2021-09-07,79696.63,84865.09
2021-09-08,79364.234,82709.055
2021-09-09,76462.92,81066.6
2021-09-10,78884.64,81444.52
2021-09-13,79934.055,80141.21
2021-09-14,77650.04,77592.73
2021-09-15,77873.23,76483.234
2021-09-16,76045.05,75708.03
2021-09-17,73875.0,77544.29
2021-09-20,75541.72,73396.98
2021-09-21,75997.58,72762.26
2021-09-22,81648.26,73590.76
2021-09-23,84269.42,73251.6
2021-09-24,85423.29,70291.31
2021-09-27,84972.19,72762.26
2021-09-28,87061.51,73833.01
2021-09-29,86767.12,71502.57
2021-09-30,87346.43,71730.29
2021-10-01,86786.11,69864.945
2021-10-04,91620.06,67650.78
2021-10-05,91705.52,69351.38
2021-10-06,91819.49,69816.51
2021-10-07,91952.445,75582.055
2021-10-08,91225.92,78256.51
2021-10-11,88291.375,79433.83
2021-10-12,87930.49,78973.555
2021-10-13,88196.41,81105.35
2021-10-14,85893.4,80804.98
2021-10-15,88376.85,81396.06
2021-10-18,84924.7,80824.36
2021-10-19,86510.695,85756.57
2021-10-20,85822.164,85843.766
2021-10-21,82944.59,85960.055
2021-10-22,84573.31,86095.71
2021-10-25,83637.87,85354.414
2021-10-26,85432.79,82360.22
2021-10-27,87275.2,81992.0
2021-10-28,86781.35,82263.32
2021-10-29,86653.15,79913.49
2021-11-01,87550.61,82447.43
2021-11-02,84297.91,78925.1
2021-11-03,75760.15,80543.336
2021-11-04,74212.15,79840.81
2021-11-05,72445.71,76904.74
2021-11-08,71040.16,78566.57
2021-11-09,70976.69,77612.11
2021-11-10,70976.69,79443.53
2021-11-11,70976.69,81323.39
2021-11-12,70976.69,80819.49
2021-11-15,70976.69,80688.69
2021-11-16,70976.69,81604.39
2021-11-17,70976.69,78285.57
2021-11-18,70976.69,69574.26
2021-11-19,71839.2,67994.78
2021-11-22,71620.766,66192.44
2021-11-23,71065.195,64758.316
2021-11-24,71611.266,66144.0
2021-11-26,70272.2,64608.125
2021-11-29,72333.05,63765.098
2021-11-30,70381.414,61788.332
2021-12-01,69327.26,59346.453
2021-12-02,70205.72,59109.047
2021-12-03,66834.31,54244.66
2021-12-06,70623.586,59884.246
2021-12-07,68168.625,60824.18
2021-12-08,68572.25,60601.31
2021-12-09,67589.31,60034.44
2021-12-10,66739.34,60591.617
2021-12-13,65452.504,59225.32
2021-12-14,70628.33,61328.062
2021-12-15,68633.984,59336.758
2021-12-16,69388.984,58261.176
2021-12-17,68999.61,59157.496
2021-12-20,69759.37,55717.543
2021-12-21,72356.78,59583.848
2021-12-22,73866.8,57078.992
2021-12-23,73149.78,57490.812
2021-12-27,74996.94,56487.895
2021-12-28,77475.64,55620.65
2021-12-29,74607.56,54307.652
2021-12-30,74702.53,59588.69
2021-12-31,73292.234,57553.8
2022-01-03,72883.86,58324.156
2022-01-04,74446.11,57926.863
2022-01-05,70742.305,58702.062
2022-01-06,69384.234,61352.28
2022-01-07,68800.17,62892.992
2022-01-10,66060.31,62161.4
2022-01-11,65310.047,64046.1
2022-01-12,66943.53,66575.195
2022-01-13,71957.91,63648.81
2022-01-14,72636.94,63745.715
2022-01-18,70576.1,62306.746
2022-01-19,70856.266,61890.066
2022-01-20,70262.7,63484.08
2022-01-21,66748.836,59704.984
2022-01-24,70110.75,58319.312
2022-01-25,72295.055,57723.37
2022-01-26,71098.44,54927.81
2022-01-27,70276.95,54162.3
2022-01-28,70120.25,55828.984
2022-01-31,72171.59,60945.3
2022-02-01,71848.695,61638.137
2022-02-02,71312.12,59535.4
2022-02-03,68728.95,59821.266
2022-02-04,65851.375,59215.633
2022-02-07,64327.113,55630.336
2022-02-08,63951.984,59060.598
2022-02-09,63481.883,61289.3
2022-02-10,62176.05,60068.363
2022-02-11,63078.258,59230.17
2022-02-14,62285.266,59070.285
2022-02-15,60685.03,61163.32
2022-02-16,59996.5,60833.867
2022-02-17,59075.297,60286.38
2022-02-18,58524.473,57650.7
2022-02-22,60153.2,54714.633
2022-02-23,56349.67,53159.383
2022-02-24,53400.87,52776.63
2022-02-25,49150.99,52296.97
2022-02-28,48676.14,50964.594
2022-03-01,62076.34,51885.14
2022-03-02,59887.29,51076.027
2022-03-03,63652.832,49443.266
2022-03-04,61416.293,48740.734
2022-03-07,66829.56,47800.805
2022-03-08,67897.97,47238.785
2022-03-09,66905.53,48900.62
2022-03-10,65879.86,45019.777
2022-03-11,66877.05,42011.027
2022-03-14,67646.3,37674.754
2022-03-15,67584.56,37190.246
2022-03-16,63890.254,50862.855
2022-03-17,64555.04,48629.305
2022-03-18,68021.43,52471.39
2022-03-21,64934.918,50189.387
2022-03-22,63358.426,55712.7
2022-03-23,61739.19,56802.824
2022-03-24,61387.805,55790.21
2022-03-25,60447.61,54743.695
2022-03-28,59592.887,55761.15
2022-03-29,59725.84,56546.04
2022-03-30,57570.027,56483.05
2022-03-31,57199.652,52713.645
2022-04-01,56625.086,53391.94
2022-04-04,54682.965,56928.8
2022-04-05,53058.977,53779.543
2022-04-06,53296.406,52171.0
2022-04-07,53255.336,50518.85
2022-04-08,52519.953,50160.32
2022-04-11,54568.07,49201.016
2022-04-12,55797.92,48328.914
2022-04-13,58732.484,48464.57
2022-04-14,60688.85,46264.938
2022-04-18,60294.727,45887.03
2022-04-19,60783.82,45300.785
2022-04-20,57569.1,43319.184
2022-04-21,55389.555,41662.18
2022-04-22,52915.594,41904.44
2022-04-25,52787.39,41589.508
2022-04-26,51438.83,40693.184
2022-04-27,51134.914,42791.07
2022-04-28,54411.36,44045.93
2022-04-29,53694.35,47040.145
2022-05-02,56310.758,49036.285
2022-05-03,54088.47,48634.14
2022-05-04,54268.914,49133.18
2022-05-05,53841.555,45853.113
2022-05-06,54050.492,43629.258
2022-05-09,51790.21,41105.008
2022-05-10,51714.234,40974.195
2022-05-11,57493.133,39598.215
2022-05-12,56985.047,39288.13
2022-05-13,58238.64,42631.18
2022-05-16,56970.797,41899.598
2022-05-17,58927.164,44569.19
2022-05-18,56890.07,42301.723
2022-05-19,59644.195,42485.84
2022-05-20,62165.625,42049.79
2022-05-23,69430.8,42262.973
2022-05-24,64815.28,39956.746
2022-05-25,64786.79,39879.227
2022-05-26,59411.508,45775.6
2022-05-27,62597.734,45257.18
2022-05-31,63927.305,46536.26
2022-06-01,60802.812,45242.645
2022-06-02,61177.945,47238.785
2022-06-03,63148.562,45160.28
2022-06-06,62559.758,47970.387
2022-06-07,65864.69,50543.074
2022-06-08,68481.1,57955.934
2022-06-09,69008.19,53246.594
2022-06-10,68072.734,53217.52
2022-06-13,67726.09,47732.973
2022-06-14,66610.2,50983.97
2022-06-15,67711.84,52340.566
2022-06-16,69672.97,49152.562
2022-06-17,69193.375,49535.316
2022-06-21,70746.125,51545.992
2022-06-22,70038.6,50945.215
2022-06-23,64658.58,54317.336
2022-06-24,64487.633,56986.934
2022-06-27,64435.4,57524.73
2022-06-28,61899.72,56570.266
2022-06-29,61272.914,56216.58
2022-06-30,61605.305,55078.004
2022-07-01,62369.812,56202.043
2022-07-05,61994.688,58203.03
2022-07-06,62550.25,57713.684
2022-07-07,60403.945,59298.0
2022-07-08,60617.625,58576.098
2022-07-11,60798.07,53086.703
2022-07-12,61434.36,52912.29
2022-07-13,60375.453,52858.992
2022-07-14,55066.656,50271.76
2022-07-15,55527.258,49632.21
2022-07-18,56609.92,49971.367
2022-07-19,58081.938,50751.414
2022-07-20,58893.93,50368.66
2022-07-21,56581.42,50935.52
2022-07-22,55764.688,48745.58
2022-07-25,55930.883,48963.61
2022-07-26,56519.695,49147.72
2022-07-27,57678.32,49796.95
2022-07-28,57630.836,48716.51
2022-07-29,57360.17,43299.797
2022-08-01,56624.156,43769.76
2022-08-02,55256.594,44874.434
2022-08-03,55717.195,46376.37
2022-08-04,55190.125,47204.87
2022-08-05,55380.062,44845.35
2022-08-08,55285.094,44012.016
2022-08-09,56562.43,44181.59
2022-08-10,56518.492,44782.37
2022-08-11,56518.492,45964.55
2022-08-12,56518.492,45916.1
2022-08-15,56518.492,45639.934
2022-08-16,56518.492,44888.96
2022-08-17,56518.492,43493.598
2022-08-18,56518.492,43963.562
2022-08-19,56518.492,43425.773
2022-08-22,56518.492,43619.57
2022-08-23,56518.492,43522.67
2022-08-24,56518.492,44825.973
2022-08-25,56518.492,48396.742
2022-08-26,56518.492,47481.035
2022-08-29,56518.492,46802.73
2022-08-30,56518.492,45465.51
2022-08-31,56518.492,46226.188
2022-09-01,56518.492,45402.527
2022-09-02,56518.492,44477.137
2022-09-06,56518.492,42854.055
2022-09-07,56149.402,43895.73
2022-09-08,55234.79,43372.473
2022-09-09,55287.016,44641.86
2022-09-12,54793.18,45877.34
2022-09-13,56274.695,43348.246
2022-09-14,55358.242,43081.773
2022-09-15,55799.85,43038.168
2022-09-16,56018.28,41875.37
2022-09-19,57756.22,42471.3
2022-09-20,57889.18,41570.133
2022-09-21,57855.945,39535.227
2022-09-22,56393.406,39104.023
2022-09-23,56354.83,38178.637
2022-09-26,56354.83,38231.926
2022-09-27,56354.83,37728.047
2022-09-28,56354.83,39239.684
2022-09-29,56354.83,38304.6
2022-09-30,57751.63,38755.184
2022-10-03,57540.152,38978.055
2022-10-04,55132.676,40751.324
2022-10-05,55488.812,40886.984
2022-10-06,55564.793,40853.07
2022-10-07,51276.918,39360.81
2022-10-10,51310.156,38391.81
2022-10-11,53822.1,36516.797
2022-10-12,52554.254,36691.215
2022-10-13,51557.08,36342.37
2022-10-14,51481.1,35378.22
2022-10-17,52563.754,37195.094
2022-10-18,52012.93,36986.758
2022-10-19,52255.1,34530.336
2022-10-20,54439.402,34893.715
2022-10-21,54391.918,34971.24
2022-10-24,53641.656,30596.201
2022-10-25,52079.406,30630.115
2022-10-26,54420.406,33193.12
2022-10-27,54895.254,31899.5
2022-10-28,55161.17,30882.055
2022-10-31,58945.707,30804.533
2022-11-01,58404.38,31909.193
2022-11-02,61300.95,31347.172
2022-11-03,59506.027,31594.266
