date,equity,bh_equity
2021-04-05,109157.945,109157.945
2021-04-06,108840.5,111711.25
2021-04-07,108797.84,109216.07
2021-04-08,110091.586,110582.37
2021-04-09,110385.41,108193.77
2021-04-12,111911.35,118222.93
2021-04-13,112290.47,117195.805
2021-04-14,111086.77,115907.03
2021-04-15,109556.08,115839.195
2021-04-16,109442.36,115645.38
2021-04-19,108110.69,113751.0
2021-04-20,107579.92,111376.95
2021-04-21,107409.33,111163.766
2021-04-22,106883.3,111120.16
2021-04-23,104144.17,112442.85
2021-04-26,105020.89,112743.234
2021-04-27,104319.516,114303.336
2021-04-28,97770.24,114690.93
2021-04-29,99395.71,113460.305
2021-04-30,100125.516,111895.35
2021-05-03,101390.83,111779.09
2021-05-04,100831.625,110417.63
2021-05-05,102940.46,109874.99
2021-05-06,100130.26,109700.58
2021-05-07,99836.44,109162.77
2021-05-10,100163.44,106362.37
2021-05-11,100471.47,107258.7
2021-05-12,100926.41,106541.63
2021-05-13,101504.56,99845.84
2021-05-14,104120.47,101507.67
2021-05-17,104172.6,102253.805
2021-05-18,102964.164,103547.42
2021-05-19,103902.48,102975.7
2021-05-20,102897.81,105131.734
2021-05-21,102386.01,102258.66
2021-05-24,101201.27,101958.266
2021-05-25,101082.79,102292.58
2021-05-26,100405.12,102607.49
2021-05-27,101495.086,103072.6
2021-05-28,99656.35,103663.7
2021-06-01,99305.67,106338.14
2021-06-02,100386.164,106391.43
2021-06-03,100717.89,105155.97
2021-06-04,100130.26,106115.27
2021-06-07,100253.48,105088.12
2021-06-08,101931.07,104564.88
2021-06-09,103599.19,103353.625
2021-06-10,108395.03,103232.49
2021-06-11,108437.68,102539.66
2021-06-14,108840.5,103654.016
2021-06-15,107579.92,101774.14
2021-06-16,105253.09,101415.62
2021-06-17,103300.63,102520.29
2021-06-18,100386.164,102859.43
2021-06-21,98680.125,102258.66
2021-06-22,94817.86,102384.625
2021-06-23,97703.9,104099.76
2021-06-24,97485.91,105805.195
2021-06-25,99395.71,110708.336
2021-06-28,100338.766,110751.945
2021-06-29,101883.67,111163.766
2021-06-30,100623.11,109874.99
2021-07-01,99111.375,107496.09
2021-07-02,99907.516,105499.96
2021-07-06,100139.734,102520.29
2021-07-07,101542.47,100776.07
2021-07-08,97983.49,96827.4
2021-07-09,90984.02,99778.0
2021-07-12,88287.555,99555.14
2021-07-13,92998.086,101507.67
2021-07-14,93723.16,102471.82
2021-07-15,92609.5,104051.305
2021-07-16,94931.59,102762.53
2021-07-19,93647.336,101216.97
2021-07-20,95225.414,102030.94
2021-07-21,94547.734,102268.34
2021-07-22,93178.164,103702.45
2021-07-23,92637.93,100063.86
2021-07-26,92865.39,92907.79
2021-07-27,92453.11,90150.99
2021-07-28,90936.64,94966.914
2021-07-29,89495.984,95708.2
2021-07-30,86695.26,94569.63
2021-08-02,82439.65,96943.67
2021-08-03,81785.68,95630.69
2021-08-04,76193.68,97244.07
2021-08-05,74966.29,96551.234
2021-08-06,76435.36,95151.02
