date,equity,bh_equity
2021-04-05,109157.945,109157.945
2021-04-06,109094.33,111711.25
2021-04-07,109055.44,109216.07
2021-04-08,109811.45,110582.37
2021-04-09,110024.95,108193.77
2021-04-12,111248.16,118222.93
2021-04-13,111552.05,117195.805
2021-04-14,110587.17,115907.03
2021-04-15,109360.16,115839.195
2021-04-16,109269.0,115645.38
2021-04-19,108201.53,113751.0
2021-04-20,107776.06,111376.95
2021-04-21,107583.586,111163.766
2021-04-22,107056.5,111120.16
2021-04-23,104311.89,112442.85
2021-04-26,105190.36,112743.234
2021-04-27,104487.58,114303.336
2021-04-28,97925.19,114690.93
2021-04-29,99553.91,113460.305
2021-04-30,100285.18,111895.35
2021-05-03,101553.02,111779.09
2021-05-04,100992.695,110417.63
2021-05-05,103105.766,109874.99
2021-05-06,100289.93,109700.58
2021-05-07,99995.52,109162.77
2021-05-10,100323.17,106362.37
2021-05-11,100631.82,107258.7
2021-05-12,101087.664,106541.63
2021-05-13,101666.984,99845.84
2021-05-14,104288.14,101507.67
2021-05-17,104340.37,102253.805
2021-05-18,103129.516,103547.42
2021-05-19,104069.71,102975.7
2021-05-20,103063.02,105131.734
2021-05-21,102550.2,102258.66
2021-05-24,101363.086,101958.266
2021-05-25,101244.37,102292.58
2021-05-26,100565.336,102607.49
2021-05-27,101657.49,103072.6
2021-05-28,99815.07,103663.7
2021-06-01,99463.69,106338.14
2021-06-02,100546.34,106391.43
2021-06-03,100878.734,105155.97
2021-06-04,100289.93,106115.27
2021-06-07,100413.39,105088.12
2021-06-08,102094.35,104564.88
2021-06-09,103765.805,103353.625
2021-06-10,107589.44,103232.49
2021-06-11,107623.625,102539.66
2021-06-14,107946.52,103654.016
2021-06-15,106936.05,101774.14
2021-06-16,105070.84,101415.62
2021-06-17,103505.75,102520.29
2021-06-18,101169.5,102859.43
2021-06-21,99801.94,102258.66
2021-06-22,95912.17,102384.625
2021-06-23,98803.99,104099.76
2021-06-24,98585.57,105805.195
2021-06-25,100499.195,110708.336
2021-06-28,101444.14,110751.945
2021-06-29,102992.15,111163.766
2021-06-30,101729.055,109874.99
2021-07-01,100214.29,107496.09
2021-07-02,101012.03,105499.96
2021-07-06,101244.71,102520.29
2021-07-07,102650.26,100776.07
2021-07-08,99084.15,96827.4
2021-07-09,92070.66,99778.0
2021-07-12,89368.78,99555.14
2021-07-13,93127.086,101507.67
2021-07-14,93834.99,102471.82
2021-07-15,92923.52,104051.305
