date,equity,bh_equity
2016-07-22,35.0,35.0
2016-07-25,34.96507,34.303978
2016-07-26,35.06487,35.0
2016-07-27,35.16467,35.59659
2016-07-28,608.8151,35.894882
2016-07-29,34.96507,35.49716
2016-08-01,34.96507,606.53406
2016-08-02,35.26447,606.53406
2016-08-03,608.8151,34.303978
2016-08-04,35.26447,34.801136
2016-08-05,608.8151,606.53406
2016-08-08,608.8151,34.801136
2016-08-09,35.16467,34.801136
2016-08-10,608.8151,34.90057
2016-08-11,35.16467,35.0
2016-08-12,35.46407,606.53406
2016-08-15,36.36227,34.801136
2016-08-16,36.06287,34.801136
2016-08-17,608.8151,35.099434
2016-08-18,608.8151,606.53406
2016-08-19,34.86527,35.099434
2016-08-22,608.8151,606.53406
2016-08-23,608.8151,606.53406
2016-08-24,35.963066,35.0
2016-08-25,608.8151,606.53406
2016-08-26,608.8151,35.0
2016-08-29,608.8151,35.298294
2016-08-30,608.8151,36.193184
2016-08-31,35.66367,35.894882
2016-09-01,608.8151,606.53406
2016-09-02,608.8151,606.53406
2016-09-06,35.963066,34.701702
2016-09-07,608.8151,606.53406
2016-09-08,36.262466,606.53406
2016-09-09,608.8151,35.795456
2016-09-12,608.8151,606.53406
2016-09-13,608.8151,606.53406
2016-09-14,36.262466,606.53406
2016-09-15,35.963066,606.53406
2016-09-16,36.16267,35.49716
2016-09-19,608.8151,606.53406
2016-09-20,608.8151,606.53406
2016-09-21,608.8151,35.795456
2016-09-22,35.86327,606.53406
2016-09-23,608.8151,36.09375
2016-09-26,35.66367,606.53406
2016-09-27,608.8151,606.53406
2016-09-28,608.8151,606.53406
2016-09-29,35.66367,36.09375
2016-09-30,35.36427,35.795456
2016-10-03,608.8151,35.994316
2016-10-04,35.66367,606.53406
2016-10-05,608.8151,606.53406
2016-10-06,608.8151,606.53406
2016-10-07,35.763466,35.696022
2016-10-10,35.66367,606.53406
2016-10-11,608.8151,35.49716
2016-10-12,608.8151,606.53406
2016-10-13,608.8151,606.53406
2016-10-14,35.46407,35.49716
2016-10-17,35.26447,35.198864
2016-10-18,35.36427,606.53406
2016-10-19,608.8151,35.49716
2016-10-20,35.36427,606.53406
2016-10-21,608.8151,606.53406
2016-10-24,35.36427,35.59659
2016-10-25,608.8151,35.49716
2016-10-26,608.8151,606.53406
2016-10-27,35.66367,606.53406
2016-10-28,608.8151,606.53406
2016-10-31,608.8151,35.298294
2016-11-01,608.8151,35.099434
2016-11-02,35.26447,35.198864
2016-11-03,35.963066,606.53406
2016-11-04,35.963066,35.198864
2016-11-07,35.86327,606.53406
2016-11-08,35.763466,35.198864
2016-11-09,608.8151,606.53406
2016-11-10,35.56387,606.53406
2016-11-11,608.8151,35.49716
2016-11-14,35.36427,606.53406
2016-11-15,608.8151,606.53406
2016-11-16,608.8151,606.53406
2016-11-17,608.8151,35.099434
2016-11-18,35.26447,35.795456
2016-11-21,35.46407,35.795456
2016-11-22,35.46407,35.696022
2016-11-23,608.8151,35.59659
