date,equity,bh_equity
2016-07-22,35.0,35.0
2016-07-25,34.993,34.303978
2016-07-26,35.013,35.0
2016-07-27,35.045982,35.59659
2016-07-28,264.96597,35.894882
2016-07-29,34.96598,35.49716
2016-08-01,34.96598,606.53406
2016-08-02,35.085983,606.53406
2016-08-03,264.96597,34.303978
2016-08-04,35.085983,34.801136
2016-08-05,264.96597,606.53406
2016-08-08,264.96597,34.801136
2016-08-09,35.045982,34.801136
2016-08-10,264.96597,34.90057
2016-08-11,35.045982,35.0
2016-08-12,35.21894,606.53406
2016-08-15,35.75894,34.801136
2016-08-16,35.57894,34.801136
2016-08-17,379.91895,35.099434
2016-08-18,379.91895,606.53406
2016-08-19,34.85894,35.099434
2016-08-22,494.93195,606.53406
2016-08-23,494.93195,606.53406
2016-08-24,35.73196,35.0
2016-08-25,494.93195,606.53406
2016-08-26,494.93195,35.0
2016-08-29,494.93195,35.298294
2016-08-30,494.93195,36.193184
2016-08-31,35.491962,35.894882
2016-09-01,494.93195,606.53406
2016-09-02,494.93195,606.53406
2016-09-06,35.73196,34.701702
2016-09-07,494.93195,606.53406
2016-09-08,35.971962,606.53406
2016-09-09,494.93195,35.795456
2016-09-12,494.93195,606.53406
2016-09-13,494.93195,606.53406
2016-09-14,35.971962,606.53406
2016-09-15,35.73196,606.53406
2016-09-16,35.89196,35.49716
2016-09-19,494.93195,606.53406
2016-09-20,494.93195,606.53406
2016-09-21,494.93195,35.795456
2016-09-22,35.651962,606.53406
2016-09-23,494.93195,36.09375
2016-09-26,35.491962,606.53406
2016-09-27,494.93195,606.53406
2016-09-28,494.93195,606.53406
2016-09-29,35.491962,36.09375
2016-09-30,35.25196,35.795456
2016-10-03,494.93195,35.994316
2016-10-04,35.491962,606.53406
2016-10-05,494.93195,606.53406
2016-10-06,494.93195,606.53406
2016-10-07,35.57196,35.696022
2016-10-10,35.491962,606.53406
2016-10-11,494.93195,35.49716
2016-10-12,494.93195,606.53406
2016-10-13,494.93195,606.53406
2016-10-14,35.331963,35.49716
2016-10-17,35.171963,35.198864
2016-10-18,35.25196,606.53406
2016-10-19,494.93195,35.49716
2016-10-20,35.25196,606.53406
2016-10-21,494.93195,606.53406
2016-10-24,35.25196,35.59659
2016-10-25,494.93195,35.49716
2016-10-26,494.93195,606.53406
2016-10-27,35.491962,606.53406
2016-10-28,494.93195,606.53406
2016-10-31,494.93195,35.298294
2016-11-01,494.93195,35.099434
2016-11-02,35.171963,35.198864
2016-11-03,35.73196,606.53406
2016-11-04,35.73196,35.198864
2016-11-07,35.651962,606.53406
2016-11-08,35.57196,35.198864
2016-11-09,494.93195,606.53406
2016-11-10,35.41196,606.53406
2016-11-11,494.93195,35.49716
2016-11-14,35.25196,606.53406
2016-11-15,494.93195,606.53406
2016-11-16,494.93195,606.53406
2016-11-17,494.93195,35.099434
2016-11-18,35.171963,35.795456
2016-11-21,35.331963,35.795456
2016-11-22,35.331963,35.696022
2016-11-23,494.93195,35.59659
2016-11-25,494.93195,606.53406
2016-11-28,34.85196,35.397728
2016-11-29,494.93195,606.53406
2016-11-30,149.80997,35.198864
2016-12-01,149.76297,606.53406
2016-12-02,150.17598,606.53406
2016-12-05,379.92886,606.53406
2016-12-06,149.92886,35.099434
2016-12-07,494.92188,35.298294
2016-12-08,149.56186,35.298294
2016-12-09,610.035,606.53406
2016-12-12,610.035,606.53406
2016-12-13,610.035,34.701702
2016-12-14,610.035,606.53406
2016-12-15,150.03497,34.801136
2016-12-16,150.35498,34.701702
2016-12-19,610.035,35.397728
2016-12-20,610.035,606.53406
2016-12-21,151.31499,34.801136
2016-12-22,151.23499,606.53406
2016-12-23,151.63498,34.204548
2016-12-27,610.035,606.53406
2016-12-28,610.035,606.53406
2016-12-29,150.99498,606.53406
2016-12-30,150.98775,606.53406
2017-01-03,151.0605,34.801136
2017-01-04,151.07323,35.198864
2017-01-05,151.06592,606.53406
2017-01-06,151.06592,606.53406
2017-01-09,151.06592,36.39205
2017-01-10,151.06592,36.292618
2017-01-11,151.06592,36.789772
2017-01-12,151.06592,606.53406
2017-01-13,151.06592,606.53406
2017-01-17,36.223915,35.994316
2017-01-18,265.65665,35.994316
2017-01-19,36.296635,36.193184
2017-01-20,380.3293,36.292618
2017-01-23,36.049316,35.795456
2017-01-24,36.409317,606.53406
2017-01-25,380.3293,36.292618
2017-01-26,380.3293,606.53406
2017-01-27,37.729317,606.53406
2017-01-30,380.3293,606.53406
2017-01-31,380.3293,606.53406
2017-02-01,380.3293,36.193184
2017-02-02,380.3293,606.53406
2017-02-03,380.3293,36.39205
2017-02-06,38.149315,606.53406
2017-02-07,37.369316,35.994316
2017-02-08,37.729317,36.59091
2017-02-09,37.549316,606.53406
2017-02-10,37.909317,606.53406
2017-02-13,380.3293,38.77841
2017-02-14,380.3293,606.53406
2017-02-15,37.789314,606.53406
2017-02-16,380.3293,606.53406
2017-02-17,380.3293,606.53406
2017-02-21,37.309315,606.53406
2017-02-22,37.429314,39.474434
2017-02-23,380.3293,38.18182
2017-02-24,38.329315,38.77841
2017-02-27,38.689316,38.480118
2017-02-28,42.289314,39.076706
2017-03-01,46.429314,606.53406
2017-03-02,42.829315,606.53406
2017-03-03,44.779312,38.87784
2017-03-06,380.3293,606.53406
2017-03-07,380.3293,606.53406
2017-03-08,380.3293,38.082382
2017-03-09,380.3293,38.28125
2017-03-10,45.079315,606.53406
2017-03-13,380.3293,39.772728
2017-03-14,380.3293,40.36932
2017-03-15,45.079315,46.335228
2017-03-16,44.779312,53.196022
2017-03-17,44.779312,47.230118
2017-03-20,44.929314,50.461647
2017-03-21,44.62932,606.53406
2017-03-22,380.3293,606.53406
2017-03-23,380.3293,606.53406
2017-03-24,44.269314,606.53406
2017-03-27,380.3293,50.95881
2017-03-28,380.3293,606.53406
2017-03-29,44.269314,606.53406
2017-03-30,380.3293,50.95881
2017-03-31,380.3293,50.461647
2017-04-03,44.209316,50.461647
2017-04-04,380.3293,50.710228
2017-04-05,43.789314,50.213066
2017-04-06,43.12932,606.53406
2017-04-07,380.3293,606.53406
2017-04-10,380.3293,49.616474
2017-04-11,41.929314,606.53406
2017-04-12,380.3293,606.53406
2017-04-13,380.3293,49.616474
2017-04-17,41.389313,606.53406
2017-04-18,380.3293,606.53406
2017-04-19,41.029316,49.517044
2017-04-20,380.3293,606.53406
2017-04-21,41.029316,48.821026
2017-04-24,380.3293,47.727272
2017-04-25,380.3293,606.53406
2017-04-26,41.209312,606.53406
2017-04-27,380.3293,45.738636
2017-04-28,380.3293,606.53406
2017-05-01,380.3293,606.53406
2017-05-02,41.809315,44.84375
2017-05-03,380.3293,606.53406
2017-05-04,380.3293,44.24716
2017-05-05,40.849316,606.53406
2017-05-08,41.209312,44.24716
2017-05-09,380.3293,606.53406
2017-05-10,380.3293,606.53406
2017-05-11,40.909317,44.545456
2017-05-12,380.3293,606.53406
2017-05-15,40.849316,606.53406
2017-05-16,40.849316,606.53406
2017-05-17,40.849316,45.539772
2017-05-18,40.849316,606.53406
2017-05-19,380.3293,606.53406
2017-05-22,40.909317,43.948868
2017-05-23,380.3293,44.545456
2017-05-24,380.3293,606.53406
2017-05-25,41.389313,606.53406
2017-05-26,41.629314,44.048294
2017-05-30,41.029316,606.53406
2017-05-31,41.569313,43.948868
2017-06-01,380.3293,43.948868
2017-06-02,380.3293,43.948868
2017-06-05,41.329315,43.948868
2017-06-06,40.969315,606.53406
2017-06-07,380.3293,44.048294
2017-06-08,40.729317,606.53406
2017-06-09,380.3293,606.53406
2017-06-12,380.3293,44.84375
2017-06-13,380.3293,45.241478
2017-06-14,39.829315,44.24716
2017-06-15,40.429314,45.14205
2017-06-16,40.669315,606.53406
2017-06-19,39.949318,606.53406
2017-06-20,380.3293,44.744316
2017-06-21,380.3293,44.147724
2017-06-22,40.369316,606.53406
2017-06-23,40.189316,43.75
2017-06-26,380.3293,606.53406
2017-06-27,380.3293,606.53406
2017-06-28,40.309315,606.53406
2017-06-29,380.3293,42.258522
2017-06-30,380.3293,43.25284
2017-07-03,40.249313,43.65057
2017-07-05,40.549316,42.457386
2017-07-06,380.3293,606.53406
2017-07-07,40.609314,606.53406
2017-07-10,380.3293,43.15341
2017-07-11,40.729317,42.855114
2017-07-12,380.3293,606.53406
2017-07-13,40.429314,606.53406
2017-07-14,380.3293,43.053978
2017-07-17,40.729317,606.53406
2017-07-18,380.3293,606.53406
2017-07-19,40.489315,42.954544
2017-07-20,40.369316,43.4517
2017-07-21,40.369316,606.53406
2017-07-24,380.3293,43.551132
2017-07-25,380.3293,606.53406
2017-07-26,40.489315,43.75
2017-07-27,40.549316,606.53406
2017-07-28,40.789314,43.25284
2017-07-31,40.789314,606.53406
2017-08-01,41.329315,43.75
2017-08-02,40.789314,606.53406
2017-08-03,40.9405,43.352276
2017-08-04,40.9316,43.15341
2017-08-07,40.9227,43.15341
2017-08-08,40.9227,606.53406
2017-08-09,40.9227,606.53406
2017-08-10,40.89392,43.352276
2017-08-11,40.965157,43.4517
2017-08-14,40.89636,43.849434
2017-08-15,40.89636,43.849434
2017-08-16,40.95636,44.744316
2017-08-17,40.89636,43.849434
2017-08-18,40.656357,44.24716
2017-08-21,40.836357,44.24716
2017-08-22,40.836357,44.24716
2017-08-23,40.77636,43.948868
2017-08-24,40.71636,43.65057
2017-08-25,40.41636,43.551132
2017-08-28,40.71636,43.75
2017-08-29,40.71636,43.65057
2017-08-30,40.656357,43.65057
2017-08-31,40.656357,43.75
2017-09-01,40.59636,43.65057
2017-09-05,40.59636,43.25284
2017-09-06,40.59636,43.551132
