date,equity,bh_equity
2020-06-26,16756.82,16756.82
2020-06-29,17372.086,17584.316
2020-06-30,17153.32,17661.898
2020-07-01,17201.936,17429.164
2020-07-02,16715.793,17636.035
2020-07-06,17129.018,18101.506
2020-07-07,17177.627,17480.877
2020-07-08,17129.018,17739.475
2020-07-09,16691.484,17015.412
2020-07-10,16326.879,17299.863
2020-07-13,16764.406,17325.729
2020-07-14,16035.189,17791.19
2020-07-15,15233.057,18463.535
2020-07-16,14771.222,18230.8
2020-07-17,14868.45,18282.52
2020-07-20,14941.371,17765.332
2020-07-21,15573.359,18204.945
2020-07-22,15403.207,18256.658
2020-07-23,15573.359,18204.945
2020-07-24,16229.648,17739.475
2020-07-27,16375.489,17351.586
2020-07-28,16351.1875,17817.053
2020-07-29,16059.501,17041.268
2020-07-30,16205.348,16187.916
2020-07-31,15743.507,15696.589
2020-08-03,15670.585,15800.027
2020-08-04,15524.746,15877.604
2020-08-05,15257.366,16549.95
2020-08-06,15354.593,16368.931
2020-08-07,16132.424,16549.95
2020-08-10,16035.189,17248.146
2020-08-11,15767.813,17403.299
2020-08-12,15767.813,17377.443
2020-08-13,16083.806,17067.135
2020-08-14,15427.515,17222.295
2020-08-17,15062.907,16730.96
2020-08-18,15670.585,16653.383
2020-08-19,15378.899,16498.23
2020-08-20,15621.972,16213.777
2020-08-21,14941.371,16317.213
2020-08-24,14989.986,17144.713
2020-08-25,14601.071,17041.268
2020-08-26,14479.535,16756.82
2020-08-27,14965.679,16756.82
2020-08-28,14844.144,17092.99
2020-08-31,16424.107,16394.791
2020-09-01,17153.32,16006.902
2020-09-02,16740.098,16653.383
2020-09-03,15451.819,16343.071
2020-09-04,15208.751,16601.666
2020-09-08,14868.45,15877.604
2020-09-09,14746.916,15929.323
2020-09-10,14892.998,15515.574
2020-09-11,15112.124,15386.277
2020-09-14,14917.347,15903.464
2020-09-15,15185.167,15774.168
2020-09-16,15209.514,17455.021
2020-09-17,15574.725,18230.8
2020-09-18,15623.417,17791.19
2020-09-21,15039.082,16420.648
2020-09-22,15379.946,16162.058
2020-09-23,16207.75,15800.027
2020-09-24,16670.354,15670.732
2020-09-25,16646.006,15826.143
2020-09-28,16378.181,16059.261
2020-09-29,16621.656,15852.045
2020-09-30,16743.393,16136.968
2020-10-01,17765.98,16162.87
2020-10-02,17765.98,16551.402
2020-10-05,17887.717,16603.203
2020-10-06,17839.023,15981.555
2020-10-07,18812.918,16344.185
2020-10-08,18593.79,17224.85
2020-10-09,17985.107,17716.994
2020-10-12,17303.383,17691.09
2020-10-13,18082.496,17406.162
2020-10-14,17960.756,17665.186
2020-10-15,18082.496,17794.697
2020-10-16,18325.967,18882.582
2020-10-19,19129.432,18882.582
2020-10-20,19129.432,19012.092
2020-10-21,19470.293,18960.293
2020-10-22,19713.764,19996.37
2020-10-23,21247.645,19763.252
2020-10-26,21880.678,19115.701
2020-10-27,21661.549,18390.443
2020-10-28,21345.035,19219.31
2020-10-29,22538.055,19089.797
2020-10-30,23317.172,19219.31
2020-11-02,23584.992,19478.326
2020-11-03,23706.727,20333.096
2020-11-04,23536.299,20333.096
2020-11-05,23779.764,20695.725
2020-11-06,24534.533,20954.746
2020-11-09,25459.732,22586.57
2020-11-10,25581.47,23260.025
2020-11-11,25337.992,23026.904
2020-11-12,24802.355,22690.18
2020-11-13,24729.312,23959.383
2020-11-16,25411.035,24788.248
2020-11-17,25824.94,25073.174
2020-11-18,26506.664,25202.68
2020-11-19,26457.969,25021.37
2020-11-20,26701.447,25280.383
2020-11-23,27748.377,26083.346
2020-11-24,27577.95,27067.627
2020-11-25,27188.389,27197.14
2020-11-27,26384.932,26938.111
2020-11-30,27066.654,26368.271
2020-12-01,26628.398,26290.564
2020-12-02,26506.664,27015.82
2020-12-03,26360.447,27456.154
2020-12-04,26262.967,28181.41
2020-12-07,25873.057,28129.605
2020-12-08,26482.291,28388.633
2020-12-09,25970.531,29502.414
2020-12-10,25946.164,29321.104
2020-12-11,25751.207,28906.666
2020-12-14,26116.752,28051.906
2020-12-15,26336.076,28777.16
2020-12-16,25531.88,28310.918
2020-12-17,26262.967,28181.41
2020-12-18,27700.783,28025.857
2020-12-21,27481.453,27922.152
2020-12-22,27652.043,27507.344
2020-12-23,27920.111,28155.482
2020-12-24,28724.31,27611.043
2020-12-28,28212.545,27585.12
2020-12-29,28431.873,27377.715
2020-12-30,27627.672,27766.602
2020-12-31,27871.371,27999.93
2021-01-04,27773.889,27144.383
2021-01-05,26994.059,27922.152
2021-01-06,27091.54,29451.78
2021-01-07,26799.1,29218.445
2021-01-08,27530.195,29399.93
2021-01-11,27749.521,29685.113
2021-01-12,27042.8,30540.668
2021-01-13,26043.639,29996.223
2021-01-14,26189.863,30229.559
2021-01-15,27408.348,29374.002
2021-01-19,27310.865,29633.262
2021-01-20,27920.111,29529.557
2021-01-21,27798.26,28699.928
2021-01-22,28310.025,28803.633
2021-01-25,28139.432,28492.52
2021-01-26,27798.26,29270.303
2021-01-27,27944.482,29503.633
2021-01-28,28602.463,28751.781
2021-01-29,29187.336,27688.818
2021-02-01,28919.271,27844.38
2021-02-02,28358.764,29140.67
2021-02-03,29309.184,29036.965
2021-02-04,30478.93,29685.113
2021-02-05,30698.26,29555.482
2021-02-08,31989.854,30099.928
2021-02-09,31112.545,29918.44
2021-02-10,30576.408,29555.482
2021-02-11,31965.48,29711.043
2021-02-12,31648.674,30411.037
2021-02-16,32769.67,31033.258
2021-02-17,33086.492,30748.078
2021-02-18,33184.04,30151.775
2021-02-19,34574.125,31162.89
2021-02-22,34159.54,32407.33
2021-02-23,32330.467,32640.666
2021-02-24,29940.477,34014.734
2021-02-25,30696.496,33081.406
2021-02-26,32574.344,32511.033
2021-03-01,32086.594,33988.805
2021-03-02,33208.43,33651.766
2021-03-03,32330.467,34844.35
2021-03-04,32257.303,35181.4
2021-03-05,32037.814,35285.176
2021-03-08,30891.596,36764.03
2021-03-09,30501.39,36322.973
2021-03-10,31354.959,34377.1
2021-03-11,31696.389,31834.492
2021-03-12,31598.832,32638.787
2021-03-15,32452.408,34636.547
2021-03-16,32037.814,34117.652
2021-03-17,32403.627,35311.12
2021-03-18,32842.61,34377.1
2021-03-19,32696.285,34299.266
2021-03-22,32671.893,34065.76
2021-03-23,32818.22,32846.348
2021-03-24,33184.04,32431.225
2021-03-25,33159.65,33339.3
2021-03-26,32793.83,33702.53
2021-03-29,33379.14,33598.742
2021-03-30,33062.1,34506.824
2021-03-31,32671.893,34065.76
2021-04-01,32842.61,34454.934
2021-04-05,31867.102,34921.95
2021-04-06,32574.344,34766.28
2021-04-07,32720.662,34740.324
2021-04-08,33062.1,34895.992
2021-04-09,33110.875,35285.176
2021-04-12,32915.766,35259.23
2021-04-13,32208.527,34870.043
2021-04-14,32232.916,35492.73
2021-04-15,32013.434,35155.45
2021-04-16,32818.22,34740.324
2021-04-19,32013.434,34921.95
2021-04-20,32232.916,33884.145
