date,equity,bh_equity
2020-06-26,16756.82,16756.82
2020-06-29,16756.82,17584.316
2020-06-30,16756.82,17661.898
2020-07-01,16756.82,17429.164
2020-07-02,16266.605,17636.035
2020-07-06,16669.062,18101.506
2020-07-07,16716.406,17480.877
2020-07-08,16669.062,17739.475
2020-07-09,16242.929,17015.412
2020-07-10,15887.822,17299.863
2020-07-13,16313.951,17325.729
2020-07-14,15603.731,17791.19
2020-07-15,14822.497,18463.535
2020-07-16,14372.693,18230.8
2020-07-17,14467.389,18282.52
2020-07-20,14538.409,17765.332
2020-07-21,15153.934,18204.945
2020-07-22,14988.214,18256.658
2020-07-23,15153.934,18204.945
2020-07-24,15793.125,17739.475
2020-07-27,15935.166,17351.586
2020-07-28,15911.497,17817.053
2020-07-29,15627.41,17041.268
2020-07-30,15769.457,16187.916
2020-07-31,15319.648,15696.589
2020-08-03,15248.626,15800.027
2020-08-04,15106.587,15877.604
2020-08-05,14846.173,16549.95
2020-08-06,14940.866,16368.931
2020-08-07,15698.433,16549.95
2020-08-10,15603.731,17248.146
2020-08-11,15588.13,17403.299
2020-08-12,15588.13,17377.443
2020-08-13,15588.13,17067.135
2020-08-14,15588.13,17222.295
2020-08-17,15588.13,16730.96
2020-08-18,15588.13,16653.383
2020-08-19,15588.13,16498.23
2020-08-20,15588.13,16213.777
2020-08-21,15588.13,16317.213
2020-08-24,15588.13,17144.713
2020-08-25,15588.13,17041.268
2020-08-26,15588.13,16756.82
2020-08-27,15588.13,16756.82
2020-08-28,15588.13,17092.99
2020-08-31,15588.13,16394.791
2020-09-01,15588.13,16006.902
2020-09-02,15588.13,16653.383
2020-09-03,15588.13,16343.071
2020-09-04,15588.13,16601.666
2020-09-08,15588.13,15877.604
2020-09-09,15588.13,15929.323
2020-09-10,15588.13,15515.574
2020-09-11,15588.13,15386.277
2020-09-14,15588.13,15903.464
2020-09-15,15588.13,15774.168
2020-09-16,15588.13,17455.021
2020-09-17,15588.13,18230.8
2020-09-18,15588.13,17791.19
2020-09-21,15588.13,16420.648
2020-09-22,15588.13,16162.058
2020-09-23,16402.2,15800.027
2020-09-24,16865.73,15670.732
2020-09-25,16841.336,15826.143
2020-09-28,16572.973,16059.261
2020-09-29,16816.938,15852.045
2020-09-30,16938.918,16136.968
2020-10-01,17963.555,16162.87
2020-10-02,17963.555,16551.402
2020-10-05,18085.531,16603.203
2020-10-06,18036.742,15981.555
2020-10-07,19012.586,16344.185
2020-10-08,18793.02,17224.85
2020-10-09,18183.121,17716.994
2020-10-12,17500.027,17691.09
2020-10-13,18280.703,17406.162
2020-10-14,18158.719,17665.186
2020-10-15,18280.703,17794.697
2020-10-16,18524.66,18882.582
2020-10-19,19329.734,18882.582
2020-10-20,19329.734,19012.092
2020-10-21,19671.281,18960.293
2020-10-22,19915.242,19996.37
2020-10-23,21452.191,19763.252
2020-10-26,22086.496,19115.701
2020-10-27,21866.926,18390.443
2020-10-28,21549.781,19219.31
2020-10-29,22745.191,19089.797
2020-10-30,23525.867,19219.31
2020-11-02,23794.227,19478.326
2020-11-03,23916.203,20333.096
2020-11-04,23745.434,20333.096
2020-11-05,23989.387,20695.725
2020-11-06,24745.668,20954.746
2020-11-09,25672.723,22586.57
2020-11-10,25794.707,23260.025
2020-11-11,25550.738,23026.904
2020-11-12,25014.031,22690.18
2020-11-13,24940.84,23959.383
2020-11-16,25623.93,24788.248
2020-11-17,26038.664,25073.174
2020-11-18,26721.754,25202.68
2020-11-19,26672.96,25021.37
