date,equity,bh_equity
2020-06-26,16756.82,16756.82
2020-06-29,16880.12,17584.316
2020-06-30,16788.96,17661.898
2020-07-01,16814.754,17429.164
2020-07-02,16421.617,17636.035
2020-07-06,16752.857,18101.506
2020-07-07,16791.824,17480.877
2020-07-08,16752.857,17739.475
2020-07-09,16402.129,17015.412
2020-07-10,16109.861,17299.863
2020-07-13,16460.584,17325.729
2020-07-14,15876.042,17791.19
2020-07-15,15233.05,18463.535
2020-07-16,14862.842,18230.8
2020-07-17,14957.308,18282.52
2020-07-20,15030.374,17765.332
2020-07-21,15663.63,18204.945
2020-07-22,15493.137,18256.658
2020-07-23,15663.63,18204.945
2020-07-24,16321.233,17739.475
2020-07-27,16467.367,17351.586
2020-07-28,16443.016,17817.053
2020-07-29,16150.745,17041.268
2020-07-30,16296.885,16187.916
2020-07-31,15834.118,15696.589
2020-08-03,15761.05,15800.027
2020-08-04,15614.919,15877.604
2020-08-05,15347.003,16549.95
2020-08-06,15444.425,16368.931
2020-08-07,16223.814,16549.95
2020-08-10,16126.385,17248.146
2020-08-11,15858.474,17403.299
2020-08-12,15858.474,17377.443
2020-08-13,16175.099,17067.135
2020-08-14,15517.492,17222.295
2020-08-17,15152.155,16730.96
2020-08-18,15761.05,16653.383
2020-08-19,15468.779,16498.23
2020-08-20,15712.34,16213.777
2020-08-21,15030.374,16317.213
2020-08-24,15079.087,17144.713
2020-08-25,14689.393,17041.268
2020-08-26,14567.613,16756.82
2020-08-27,15054.731,16756.82
2020-08-28,14932.953,17092.99
2020-08-31,16516.082,16394.791
2020-09-01,17246.758,16006.902
2020-09-02,16832.707,16653.383
2020-09-03,15541.847,16343.071
2020-09-04,15298.29,16601.666
2020-09-08,14957.308,15877.604
2020-09-09,14835.53,15929.323
2020-09-10,14981.905,15515.574
2020-09-11,15201.471,15386.277
2020-09-14,15006.302,15903.464
2020-09-15,15274.659,15774.168
2020-09-16,15299.055,17455.021
2020-09-17,15664.998,18230.8
2020-09-18,15713.788,17791.19
2020-09-21,15128.281,16420.648
2020-09-22,15469.828,16162.058
2020-09-23,16299.292,15800.027
2020-09-24,16762.824,15670.732
2020-09-25,16738.426,15826.143
2020-09-28,16470.062,16059.261
2020-09-29,16714.027,15852.045
