date,equity,bh_equity
2020-06-26,16756.82,16756.82
2020-06-29,17372.086,17584.316
2020-06-30,17153.32,17661.898
2020-07-01,17201.936,17429.164
2020-07-02,16715.793,17636.035
2020-07-06,17129.018,18101.506
2020-07-07,17177.627,17480.877
2020-07-08,17129.018,17739.475
2020-07-09,16691.484,17015.412
2020-07-10,16326.879,17299.863
2020-07-13,16310.568,17325.729
2020-07-14,16310.568,17791.19
2020-07-15,16310.568,18463.535
2020-07-16,16310.568,18230.8
2020-07-17,16310.568,18282.52
2020-07-20,16310.568,17765.332
2020-07-21,16928.871,18204.945
2020-07-22,16758.377,18256.658
2020-07-23,16928.871,18204.945
2020-07-24,17586.473,17739.475
2020-07-27,17732.605,17351.586
2020-07-28,17708.256,17817.053
2020-07-29,17415.984,17041.268
2020-07-30,17562.125,16187.916
2020-07-31,17099.36,15696.589
2020-08-03,17026.29,15800.027
2020-08-04,16880.16,15877.604
2020-08-05,16612.242,16549.95
2020-08-06,16709.664,16368.931
2020-08-07,17489.055,16549.95
2020-08-10,17391.625,17248.146
2020-08-11,17123.715,17403.299
2020-08-12,17123.715,17377.443
2020-08-13,17440.34,17067.135
2020-08-14,16782.732,17222.295
2020-08-17,16417.395,16730.96
2020-08-18,17026.29,16653.383
2020-08-19,16734.02,16498.23
2020-08-20,16977.58,16213.777
2020-08-21,16295.614,16317.213
2020-08-24,16280.66,17144.713
2020-08-25,16280.66,17041.268
2020-08-26,16144.268,16756.82
2020-08-27,16631.387,16756.82
2020-08-28,16509.607,17092.99
2020-08-31,18092.738,16394.791
2020-09-01,18823.41,16006.902
2020-09-02,18409.36,16653.383
2020-09-03,17118.5,16343.071
2020-09-04,16874.945,16601.666
2020-09-08,16533.96,15877.604
2020-09-09,16412.184,15929.323
2020-09-10,16558.559,15515.574
2020-09-11,16778.125,15386.277
2020-09-14,16582.957,15903.464
2020-09-15,16851.312,15774.168
2020-09-16,16875.709,17455.021
2020-09-17,17241.652,18230.8
2020-09-18,17290.441,17791.19
2020-09-21,16704.936,16420.648
2020-09-22,17046.482,16162.058
2020-09-23,17875.945,15800.027
2020-09-24,18339.477,15670.732
2020-09-25,18315.082,15826.143
2020-09-28,18046.719,16059.261
2020-09-29,18290.684,15852.045
2020-09-30,18412.664,16136.968
2020-10-01,19437.3,16162.87
2020-10-02,19437.3,16551.402
2020-10-05,19559.277,16603.203
2020-10-06,19510.488,15981.555
2020-10-07,20486.332,16344.185
2020-10-08,20467.5,17224.85
2020-10-09,19964.688,17716.994
2020-10-12,19277.994,17691.09
2020-10-13,20058.67,17406.162
2020-10-14,19936.686,17665.186
2020-10-15,20058.67,17794.697
2020-10-16,20302.627,18882.582
2020-10-19,21107.701,18882.582
2020-10-20,21107.701,19012.092
2020-10-21,21449.246,18960.293
2020-10-22,21693.207,19996.37
2020-10-23,23230.158,19763.252
2020-10-26,23864.46,19115.701
2020-10-27,23644.893,18390.443
2020-10-28,23327.746,19219.31
2020-10-29,24523.156,19089.797
2020-10-30,25303.834,19219.31
2020-11-02,25572.193,19478.326
2020-11-03,25694.17,20333.096
2020-11-04,25523.4,20333.096
2020-11-05,25767.354,20695.725
2020-11-06,26523.635,20954.746
2020-11-09,27450.69,22586.57
2020-11-10,27572.672,23260.025
2020-11-11,27328.705,23026.904
2020-11-12,26791.996,22690.18
2020-11-13,26718.805,23959.383
2020-11-16,27401.895,24788.248
2020-11-17,27816.629,25073.174
2020-11-18,28499.719,25202.68
2020-11-19,28450.926,25021.37
2020-11-20,28694.893,25280.383
2020-11-23,29743.92,26083.346
2020-11-24,29573.15,27067.627
2020-11-25,29182.809,27197.14
2020-11-27,28377.742,26938.111
2020-11-30,29060.83,26368.271
2020-12-01,28621.697,26290.564
2020-12-02,28499.719,27015.82
2020-12-03,28353.209,27456.154
2020-12-04,28255.533,28181.41
2020-12-07,27864.842,28129.605
2020-12-08,28475.297,28388.633
2020-12-09,27962.512,29502.414
2020-12-10,27938.096,29321.104
2020-12-11,27742.748,28906.666
2020-12-14,28109.025,28051.906
2020-12-15,28328.79,28777.16
2020-12-16,27522.982,28310.918
2020-12-17,28255.533,28181.41
2020-12-18,29696.23,28025.857
2020-12-21,29476.46,27922.152
2020-12-22,29647.393,27507.344
2020-12-23,29915.998,28155.482
2020-12-24,30721.809,27611.043
2020-12-28,30209.018,27585.12
2020-12-29,30428.787,27377.715
2020-12-30,29622.975,27766.602
2020-12-31,29867.16,27999.93
2021-01-04,29769.482,27144.383
2021-01-05,28988.09,27922.152
2021-01-06,29085.766,29451.78
2021-01-07,28792.74,29218.445
2021-01-08,29525.3,29399.93
2021-01-11,29745.066,29685.113
2021-01-12,29036.93,30540.668
2021-01-13,28035.766,29996.223
2021-01-14,28182.283,30229.559
2021-01-15,29403.209,29374.002
2021-01-19,29305.531,29633.262
2021-01-20,29915.998,29529.557
2021-01-21,29793.902,28699.928
2021-01-22,30306.693,28803.633
2021-01-25,30135.758,28492.52
2021-01-26,29793.902,29270.303
2021-01-27,29940.418,29503.633
2021-01-28,30599.717,28751.781
2021-01-29,31185.762,27688.818
2021-02-01,30917.162,27844.38
2021-02-02,30355.53,29140.67
2021-02-03,31307.855,29036.965
2021-02-04,32479.945,29685.113
2021-02-05,32699.715,29555.482
2021-02-08,33993.9,30099.928
2021-02-09,33114.832,29918.44
2021-02-10,32577.62,29555.482
2021-02-11,33969.477,29711.043
2021-02-12,33652.03,30411.037
2021-02-16,34775.28,31033.258
2021-02-17,35092.734,30748.078
2021-02-18,35190.477,30151.775
2021-02-19,36583.35,31162.89
2021-02-22,36167.938,32407.33
2021-02-23,34335.195,32640.666
2021-02-24,31940.412,34014.734
2021-02-25,32697.947,33081.406
2021-02-26,34579.56,32511.033
2021-03-01,34090.832,33988.805
2021-03-02,35214.914,33651.766
2021-03-03,34335.195,34844.35
2021-03-04,34261.883,35181.4
2021-03-05,34041.953,35285.176
2021-03-08,32893.438,36764.03
2021-03-09,32502.451,36322.973
2021-03-10,33357.73,34377.1
2021-03-11,33699.844,31834.492
2021-03-12,33602.094,32638.787
2021-03-15,34457.38,34636.547
2021-03-16,34041.953,34117.652
2021-03-17,34408.5,35311.12
2021-03-18,34848.367,34377.1
2021-03-19,34701.746,34299.266
2021-03-22,34677.305,34065.76
2021-03-23,34823.92,32846.348
2021-03-24,35190.477,32431.225
2021-03-25,35166.04,33339.3
2021-03-26,34799.48,33702.53
2021-03-29,35385.97,33598.742
2021-03-30,35068.293,34506.824
2021-03-31,34677.305,34065.76
2021-04-01,34848.367,34454.934
2021-04-05,33870.9,34921.95
2021-04-06,34579.56,34766.28
2021-04-07,34726.17,34740.324
2021-04-08,35068.293,34895.992
2021-04-09,35035.18,35285.176
2021-04-12,35035.18,35259.23
2021-04-13,35035.18,34870.043
2021-04-14,35035.18,35492.73
2021-04-15,35035.18,35155.45
2021-04-16,35035.18,34740.324
2021-04-19,35035.18,34921.95
2021-04-20,35035.18,33884.145
