date,equity,bh_equity
2022-06-15,54218.22,54218.22
2022-06-16,54685.133,52374.203
2022-06-17,54937.547,52978.066
2022-06-21,56146.586,55016.09
2022-06-22,56477.69,55025.42
2022-06-23,55027.906,55344.914
2022-06-24,54362.66,58219.855
2022-06-27,53303.953,57279.06
2022-06-28,53006.918,55289.42
2022-06-29,53534.58,55134.703
2022-06-30,52398.54,53718.223
2022-07-01,54271.402,53575.06
2022-07-05,54303.21,55935.516
2022-07-06,54438.41,56587.035
2022-07-07,51782.2,58597.06
2022-07-08,51722.555,59020.68
2022-07-11,50621.1,57229.945
2022-07-12,53865.812,56408.254
2022-07-13,54259.473,55100.57
2022-07-14,55074.63,54733.68
2022-07-15,54613.37,55385.434
2022-07-18,54780.375,53982.223
2022-07-19,55925.574,56295.53
2022-07-20,55961.355,56334.82
2022-07-21,55702.895,56501.816
2022-07-22,55671.086,53220.94
2022-07-25,55416.594,53147.27
2022-07-26,56669.152,51786.785
2022-07-27,56339.11,55794.562
2022-07-28,57464.42,56280.8
2022-07-29,57555.88,57287.656
2022-08-01,57408.754,56717.926
2022-08-02,56537.926,56924.203
2022-08-03,56752.656,58338.715
2022-08-04,55663.133,58382.914
2022-08-05,54450.34,58063.676
2022-08-08,54331.047,58024.38
2022-08-09,54303.21,57710.04
2022-08-10,55496.125,59257.17
2022-08-11,52951.25,58849.508
2022-08-12,52569.52,60239.465
2022-08-15,52398.54,60352.43
2022-08-16,52096.33,60170.707
2022-08-17,52653.027,59095.086
2022-08-18,51909.44,59360.312
2022-08-19,51432.277,58014.56
2022-08-22,52625.188,56516.555
2022-08-23,52203.69,56369.203
2022-08-24,53142.117,56334.82
2022-08-25,53177.906,57808.277
2022-08-26,50569.406,54664.92
2022-08-29,50792.086,54193.41
2022-08-30,50008.742,53982.223
2022-08-31,49901.38,53608.945
2022-09-01,49988.86,54296.56
2022-09-02,49185.633,53378.11
2022-09-06,48461.934,52788.727
2022-09-07,48684.613,54262.18
2022-09-08,48127.92,53741.555
2022-09-09,47984.77,54900.67
2022-09-12,47698.47,54944.875
2022-09-13,48752.21,51722.93
2022-09-14,47698.47,51997.984
2022-09-15,46927.06,51030.414
2022-09-16,48179.62,50897.81
2022-09-19,49416.266,51005.855
2022-09-20,49340.71,50013.734
2022-09-21,49348.664,49119.844
2022-09-22,48286.977,49394.89
2022-09-23,47945.008,48707.277
2022-09-26,47682.566,48530.46
2022-09-27,47781.98,48176.832
2022-09-28,48342.645,49478.38
2022-09-29,47336.625,48176.832
2022-09-30,48768.113,47224.008
2022-10-03,49010.676,48771.137
2022-10-04,48573.273,50298.605
2022-10-05,48668.707,50205.285
2022-10-06,49046.46,50215.11
2022-10-07,49638.938,48903.734
2022-10-10,50418.31,48481.348
2022-10-11,46398.203,48157.19
2022-10-12,45515.45,48279.98
2022-10-13,47098.043,48972.5
2022-10-14,46334.58,47729.895
2022-10-17,44680.414,49498.027
2022-10-18,43316.523,49797.633
2022-10-19,41528.438,49257.37
2022-10-20,43123.953,49375.24
2022-10-21,44093.195,49841.836
2022-10-24,44222.43,50573.64
2022-10-25,43471.89,51536.3
2022-10-26,46836.89,46570.78
2022-10-27,48109.33,45480.43
