date,equity,bh_equity
2022-06-15,54218.22,54218.22
2022-06-16,54685.133,52374.203
2022-06-17,54817.0,52978.066
2022-06-21,55223.832,55016.09
2022-06-22,55309.574,55025.42
2022-06-23,54947.125,55344.914
2022-06-24,54780.816,58219.855
2022-06-27,54516.14,57279.06
2022-06-28,54441.88,55289.42
2022-06-29,54573.797,55134.703
2022-06-30,54289.785,53718.223
2022-07-01,54758.0,53575.06
2022-07-05,54765.953,55935.516
2022-07-06,54799.754,56587.035
2022-07-07,54135.7,58597.06
2022-07-08,54120.79,59020.68
2022-07-11,53845.426,57229.945
2022-07-12,55457.3,56408.254
2022-07-13,55654.133,55100.57
2022-07-14,56061.71,54733.68
2022-07-15,55831.08,55385.434
2022-07-18,55914.582,53982.223
2022-07-19,56487.18,56295.53
2022-07-20,56505.07,56334.82
2022-07-21,56375.844,56501.816
2022-07-22,56359.938,53220.94
2022-07-25,56232.69,53147.27
2022-07-26,56858.97,51786.785
2022-07-27,56693.95,55794.562
2022-07-28,57256.605,56280.8
2022-07-29,57302.336,57287.656
2022-08-01,57228.773,56717.926
2022-08-02,56793.36,56924.203
2022-08-03,56900.723,58338.715
2022-08-04,56355.96,58382.914
2022-08-05,55749.562,58063.676
2022-08-08,55689.918,58024.38
2022-08-09,55676.0,57710.04
2022-08-10,56272.457,59257.17
2022-08-11,55000.02,58849.508
2022-08-12,54809.156,60239.465
2022-08-15,54723.664,60352.43
2022-08-16,54572.56,60170.707
2022-08-17,54979.234,59095.086
2022-08-18,54421.547,59360.312
2022-08-19,53933.58,58014.56
2022-08-22,55414.03,56516.555
2022-08-23,54887.16,56369.203
2022-08-24,56060.19,56334.82
2022-08-25,56104.926,57808.277
2022-08-26,52844.3,54664.92
2022-08-29,53122.652,54193.41
2022-08-30,52143.473,53982.223
2022-08-31,52009.27,53608.945
2022-09-01,52118.617,54296.56
2022-09-02,51114.586,53378.11
2022-09-06,50209.965,52788.727
2022-09-07,50488.312,54262.18
2022-09-08,49792.445,53741.555
2022-09-09,49613.508,54900.67
2022-09-12,49255.633,54944.875
2022-09-13,50572.805,51722.93
2022-09-14,49255.633,51997.984
2022-09-15,48291.37,51030.414
2022-09-16,49857.07,50897.81
2022-09-19,51402.875,51005.855
2022-09-20,51308.434,50013.734
2022-09-21,51318.375,49119.844
2022-09-22,49991.26,49394.89
2022-09-23,49563.805,48707.277
2022-09-26,49235.754,48530.46
2022-09-27,49360.02,48176.832
2022-09-28,50060.85,49478.38
2022-09-29,48803.33,48176.832
2022-09-30,50592.688,47224.008
2022-10-03,50895.887,48771.137
2022-10-04,50349.14,50298.605
2022-10-05,50468.43,50205.285
2022-10-06,50940.62,50215.11
2022-10-07,51681.215,48903.734
2022-10-10,52655.43,48481.348
2022-10-11,47630.297,48157.19
2022-10-12,46526.86,48279.98
2022-10-13,48505.098,48972.5
2022-10-14,47550.77,47729.895
2022-10-17,45483.062,49498.027
2022-10-18,43778.195,49797.633
2022-10-19,41998.766,49257.37
2022-10-20,43594.285,49375.24
2022-10-21,44563.527,49841.836
2022-10-24,44692.76,50573.64
2022-10-25,43942.223,51536.3
2022-10-26,47307.22,46570.78
2022-10-27,48579.656,45480.43
