date,equity,bh_equity
2022-06-15,54218.22,54218.22
2022-06-16,56548.13,52374.203
2022-06-17,57206.14,52978.066
2022-06-21,59236.23,55016.09
2022-06-22,59664.08,55025.42
2022-06-23,57855.473,55344.914
2022-06-24,57025.58,58219.855
2022-06-27,55704.844,57279.06
2022-06-28,55334.29,55289.42
2022-06-29,55992.547,55134.703
2022-06-30,54575.336,53718.223
2022-07-01,56911.734,53575.06
2022-07-05,56951.414,55935.516
2022-07-06,57120.074,56587.035
2022-07-07,53806.453,58597.06
2022-07-08,53732.047,59020.68
2022-07-11,52357.984,57229.945
2022-07-12,56405.76,56408.254
2022-07-13,56896.85,55100.57
2022-07-14,57913.758,54733.68
2022-07-15,57338.34,55385.434
2022-07-18,57546.68,53982.223
2022-07-19,58975.312,56295.53
2022-07-20,59019.95,56334.82
2022-07-21,58697.523,56501.816
2022-07-22,58657.836,53220.94
2022-07-25,58340.36,53147.27
2022-07-26,59902.926,51786.785
2022-07-27,59491.2,55794.562
2022-07-28,60895.027,56280.8
2022-07-29,61009.12,57287.656
2022-08-01,60825.582,56717.926
2022-08-02,59739.223,56924.203
2022-08-03,60007.1,58338.715
2022-08-04,58647.914,58382.914
2022-08-05,57134.96,58063.676
2022-08-08,56986.137,58024.38
2022-08-09,56951.414,57710.04
2022-08-10,58439.574,59257.17
2022-08-11,55264.844,58849.508
2022-08-12,54788.633,60239.465
2022-08-15,54575.336,60352.43
2022-08-16,54198.33,60170.707
2022-08-17,54892.812,59095.086
2022-08-18,53965.188,59360.312
2022-08-19,53369.926,58014.56
2022-08-22,54858.082,56516.555
2022-08-23,54332.266,56369.203
2022-08-24,55502.95,56334.82
2022-08-25,55547.598,57808.277
2022-08-26,52293.492,54664.92
2022-08-29,52571.29,54193.41
2022-08-30,51594.066,53982.223
2022-08-31,51460.13,53608.945
2022-09-01,51569.258,54296.56
2022-09-02,50567.234,53378.11
2022-09-06,49664.42,52788.727
2022-09-07,49942.215,54262.18
2022-09-08,49247.74,53741.555
2022-09-09,49069.16,54900.67
2022-09-12,48712.0,54944.875
2022-09-13,50026.54,51722.93
2022-09-14,48712.0,51997.984
2022-09-15,47749.668,51030.414
2022-09-16,49312.234,50897.81
2022-09-19,50854.95,51005.855
2022-09-20,50760.695,50013.734
2022-09-21,50770.617,49119.844
2022-09-22,49446.16,49394.89
2022-09-23,49019.555,48707.277
2022-09-26,48692.164,48530.46
