date,equity,bh_equity
2019-08-21,22970.371,22970.371
2019-08-22,22652.738,23135.963
2019-08-23,22602.94,22817.52
2019-08-26,22756.518,23157.193
2019-08-27,22897.639,23233.617
2019-08-28,22709.486,23399.207
2019-08-29,22584.059,23373.734
2019-08-30,22701.129,23369.482
2019-09-03,22696.943,23479.873
2019-09-04,22818.197,23679.441
2019-09-05,22563.15,23403.45
2019-09-06,22659.318,23450.16
2019-09-09,22726.213,23148.691
2019-09-10,22671.86,23097.75
2019-09-11,22763.842,23254.85
2019-09-12,22730.398,23399.207
2019-09-13,22784.75,23206.74
2019-09-16,22872.55,23078.436
2019-09-17,22216.125,23198.191
2019-09-18,22533.885,23193.908
2019-09-19,22826.564,23317.945
2019-09-20,22546.428,23057.053
2019-09-23,22425.18,23155.422
2019-09-24,22529.709,23223.852
2019-09-25,22458.621,23168.252
2019-09-26,22308.107,23262.344
2019-09-27,22308.107,23228.135
2019-09-30,22395.91,23283.73
2019-10-01,22387.553,23373.547
2019-10-02,22512.98,22702.068
2019-10-03,22926.904,23027.111
2019-10-04,22696.943,23326.502
2019-10-07,22538.068,23039.945
2019-10-08,22868.365,22915.914
2019-10-09,22855.828,23022.842
2019-10-10,22496.256,22950.121
2019-10-11,22420.996,22796.158
2019-10-14,22354.096,22796.158
2019-10-15,22575.697,22885.975
2019-10-16,22780.568,22877.424
2019-10-17,22558.973,23005.73
2019-10-18,22241.209,23429.146
2019-10-21,21940.176,23193.908
2019-10-22,22099.05,23031.395
2019-10-23,21885.82,23369.264
2019-10-24,21852.365,23356.438
2019-10-25,21697.674,22988.62
2019-10-28,21643.32,22911.635
2019-10-29,21935.99,22843.201
2019-10-30,22027.979,23069.885
2019-10-31,22044.7,23279.453
2019-11-01,22195.219,23052.775
2019-11-04,22216.125,22727.725
2019-11-05,22274.66,22419.787
2019-11-06,22165.95,22582.307
2019-11-07,22195.219,22364.186
2019-11-08,22274.66,22329.965
2019-11-11,22558.973,22171.725
2019-11-12,22579.88,22116.123
2019-11-13,22516.691,22415.508
2019-11-14,22664.12,22509.604
2019-11-15,22685.188,22526.707
2019-11-18,22891.588,22680.68
2019-11-19,22849.46,22702.068
2019-11-20,22946.348,22761.941
2019-11-21,22798.918,22650.738
2019-11-22,22672.549,22680.68
2019-11-25,22748.377,22761.941
2019-11-26,22828.402,23052.775
2019-11-27,22946.348,23074.164
2019-11-29,22946.348,23009.525
2019-12-02,22946.348,23160.334
2019-12-03,22731.523,23181.885
2019-12-04,22904.225,23393.018
2019-12-05,23178.027,23349.928
2019-12-06,23152.748,23449.033
2019-12-09,23068.508,23298.225
2019-12-10,23199.082,23168.957
2019-12-11,23338.088,23246.523
2019-12-12,23304.39,23328.387
2019-12-13,23338.088,23449.033
2019-12-16,23186.451,23449.033
2019-12-17,23060.082,23449.033
2019-12-18,23051.652,23229.283
2019-12-19,22874.736,23405.943
2019-12-20,22916.86,23686.027
2019-12-23,23333.883,23660.166
2019-12-24,23413.912,23573.996
2019-12-26,23666.648,23707.566
2019-12-27,23611.89,23849.758
2019-12-30,23906.756,23815.29
2019-12-31,23957.303,23849.758
2020-01-02,24007.844,23694.645
2020-01-03,24104.73,23565.379
2020-01-06,24290.07,23556.754
2020-01-07,24382.744,23375.78
2020-01-08,24319.555,23418.87
2020-01-09,24235.309,23845.457
2020-01-10,24037.334,23927.324
2020-01-13,24037.334,24185.854
2020-01-14,24816.604,24129.84
2020-01-15,24622.84,24431.467
2020-01-16,24698.662,24483.174
2020-01-17,24808.182,24534.873
2020-01-21,24812.395,24633.982
2020-01-22,24871.375,24823.572
2020-01-23,24955.611,24918.373
2020-01-24,25191.506,24853.734
2020-01-27,25124.102,24767.557
2020-01-28,25048.283,24565.04
2020-01-29,25132.525,24565.04
2020-01-30,25275.744,25362.184
2020-01-31,25098.832,25163.975
2020-02-03,25199.928,25241.531
2020-02-04,25178.867,25353.566
2020-02-05,25351.572,25357.877
2020-02-06,24728.154,25418.207
2020-02-07,24378.527,25504.379
2020-02-10,24285.855,25745.68
2020-02-11,23161.178,25676.73
2020-02-12,22554.605,25599.174
2020-02-13,23578.188,25685.35
2020-02-14,23637.162,25831.854
2020-02-18,24841.88,25650.885
2020-02-19,23923.607,25754.299
2020-02-20,23300.178,25732.752
2020-02-21,21867.996,25909.418
2020-02-24,22626.217,25271.703
2020-02-25,22015.426,24914.06
2020-02-26,19888.217,24819.262
2020-02-27,20619.088,23668.793
2020-02-28,19255.082,23048.31
2020-03-02,20070.932,24095.363
2020-03-03,19080.863,24155.691
2020-03-04,17797.596,25388.04
2020-03-05,16297.61,24448.703
2020-03-06,15983.169,23810.98
2020-03-09,16786.275,22345.951
2020-03-10,17704.11,23121.562
2020-03-11,18842.91,22496.766
2020-03-12,18214.018,20320.77
2020-03-13,19144.598,21068.402
2020-03-16,18825.908,19673.115
2020-03-17,17920.816,20507.678
2020-03-18,18698.432,19494.902
2020-03-19,18647.44,18182.203
2020-03-20,19854.223,16647.82
2020-03-23,19786.232,16326.169
2020-03-24,20342.889,17147.691
2020-03-25,20844.297,18086.574
2020-03-26,19964.703,19251.492
2020-03-27,20810.299,18608.178
2020-03-30,20253.648,19560.1
2020-03-31,20036.938,19234.1
2020-04-01,20444.871,18308.252
2020-04-02,19794.736,19103.7
2020-04-03,19306.074,19051.537
2020-04-06,19433.547,20285.998
2020-04-07,19174.35,20216.447
2020-04-08,19327.318,20785.87
2020-04-09,19900.963,21298.775
