date,equity,bh_equity
2019-08-21,22970.371,22970.371
2019-08-22,22970.371,23135.963
2019-08-23,22970.371,22817.52
2019-08-26,22970.371,23157.193
2019-08-27,22970.371,23233.617
2019-08-28,22970.371,23399.207
2019-08-29,22970.371,23373.734
2019-08-30,22970.371,23369.482
2019-09-03,22970.371,23479.873
2019-09-04,22970.371,23679.441
2019-09-05,22970.371,23403.45
2019-09-06,22970.371,23450.16
2019-09-09,22970.371,23148.691
2019-09-10,22970.371,23097.75
2019-09-11,22970.371,23254.85
2019-09-12,22970.371,23399.207
2019-09-13,22970.371,23206.74
2019-09-16,22970.371,23078.436
2019-09-17,22970.371,23198.191
2019-09-18,22970.371,23193.908
2019-09-19,22970.371,23317.945
2019-09-20,22970.371,23057.053
2019-09-23,22970.371,23155.422
2019-09-24,22970.371,23223.852
2019-09-25,22970.371,23168.252
2019-09-26,22970.371,23262.344
2019-09-27,22970.371,23228.135
2019-09-30,22970.371,23283.73
2019-10-01,22970.371,23373.547
2019-10-02,22970.371,22702.068
2019-10-03,22970.371,23027.111
2019-10-04,22970.371,23326.502
2019-10-07,22970.371,23039.945
2019-10-08,22970.371,22915.914
2019-10-09,22970.371,23022.842
2019-10-10,22970.371,22950.121
2019-10-11,22970.371,22796.158
2019-10-14,22970.371,22796.158
2019-10-15,22970.371,22885.975
2019-10-16,22970.371,22877.424
2019-10-17,22970.371,23005.73
2019-10-18,22970.371,23429.146
2019-10-21,22970.371,23193.908
2019-10-22,22970.371,23031.395
2019-10-23,22970.371,23369.264
2019-10-24,22970.371,23356.438
2019-10-25,22970.371,22988.62
2019-10-28,22970.371,22911.635
2019-10-29,22970.371,22843.201
2019-10-30,22970.371,23069.885
2019-10-31,22970.371,23279.453
2019-11-01,22970.371,23052.775
2019-11-04,22970.371,22727.725
2019-11-05,22970.371,22419.787
2019-11-06,22970.371,22582.307
2019-11-07,22970.371,22364.186
2019-11-08,22970.371,22329.965
2019-11-11,22970.371,22171.725
2019-11-12,22970.371,22116.123
2019-11-13,22953.188,22415.508
2019-11-14,22982.732,22509.604
2019-11-15,22986.64,22526.707
2019-11-18,23106.186,22680.68
2019-11-19,23067.834,22702.068
2019-11-20,23145.498,22761.941
2019-11-21,23027.318,22650.738
2019-11-22,22926.021,22680.68
2019-11-25,22997.46,22761.941
2019-11-26,23077.648,23052.775
2019-11-27,23195.83,23074.164
2019-11-29,23195.83,23009.525
2019-12-02,23195.83,23160.334
2019-12-03,22980.574,23181.885
2019-12-04,23153.621,23393.018
2019-12-05,23427.973,23349.928
2019-12-06,23402.643,23449.033
2019-12-09,23318.234,23298.225
2019-12-10,23449.07,23168.957
2019-12-11,23588.354,23246.523
2019-12-12,23554.59,23328.387
2019-12-13,23588.354,23449.033
2019-12-16,23436.414,23449.033
2019-12-17,23309.791,23449.033
2019-12-18,23301.346,23229.283
2019-12-19,23124.074,23405.943
2019-12-20,23166.283,23686.027
2019-12-23,23584.14,23660.166
2019-12-24,23664.332,23573.996
