date,equity,bh_equity
2019-08-21,22970.371,22970.371
2019-08-22,22970.371,23135.963
2019-08-23,22897.795,22817.52
2019-08-26,23051.682,23157.193
2019-08-27,23193.084,23233.617
2019-08-28,23004.555,23399.207
2019-08-29,22878.875,23373.734
2019-08-30,22996.182,23369.482
2019-09-03,22991.986,23479.873
2019-09-04,23113.484,23679.441
2019-09-05,22857.928,23403.45
2019-09-06,22954.287,23450.16
2019-09-09,23021.316,23148.691
2019-09-10,22966.854,23097.75
2019-09-11,23059.021,23254.85
2019-09-12,23036.234,23399.207
2019-09-13,23036.234,23206.74
2019-09-16,23036.234,23078.436
2019-09-17,23036.234,23198.191
2019-09-18,23036.234,23193.908
2019-09-19,23036.234,23317.945
2019-09-20,23036.234,23057.053
2019-09-23,23036.234,23155.422
2019-09-24,23036.234,23223.852
2019-09-25,23036.234,23168.252
2019-09-26,23036.234,23262.344
2019-09-27,23036.234,23228.135
2019-09-30,23101.883,23283.73
2019-10-01,23093.508,23373.547
2019-10-02,23071.098,22702.068
2019-10-03,23071.098,23027.111
2019-10-04,22817.725,23326.502
2019-10-07,22658.533,23039.945
2019-10-08,22989.492,22915.914
2019-10-09,22976.928,23022.842
2019-10-10,22616.635,22950.121
2019-10-11,22541.225,22796.158
2019-10-14,22474.191,22796.158
2019-10-15,22696.236,22885.975
2019-10-16,22901.52,22877.424
2019-10-17,22679.479,23005.73
2019-10-18,22361.078,23429.146
2019-10-21,22059.441,23193.908
2019-10-22,22218.635,23031.395
2019-10-23,22004.979,23369.264
2019-10-24,21971.455,23356.438
2019-10-25,21816.453,22988.62
2019-10-28,21761.99,22911.635
2019-10-29,22055.248,22843.201
2019-10-30,22147.42,23069.885
2019-10-31,22164.174,23279.453
2019-11-01,22314.996,23052.775
2019-11-04,22335.945,22727.725
2019-11-05,22394.596,22419.787
2019-11-06,22285.666,22582.307
2019-11-07,22314.996,22364.186
2019-11-08,22394.596,22329.965
2019-11-11,22679.479,22171.725
2019-11-12,22700.43,22116.123
2019-11-13,22637.113,22415.508
2019-11-14,22784.836,22509.604
2019-11-15,22805.945,22526.707
2019-11-18,23012.76,22680.68
2019-11-19,22970.55,22702.068
2019-11-20,23067.63,22761.941
2019-11-21,22919.904,22650.738
2019-11-22,22793.283,22680.68
2019-11-25,22869.262,22761.941
2019-11-26,22949.45,23052.775
2019-11-27,23067.63,23074.164
2019-11-29,23067.63,23009.525
2019-12-02,23067.63,23160.334
2019-12-03,22852.375,23181.885
2019-12-04,23025.422,23393.018
2019-12-05,23299.773,23349.928
2019-12-06,23274.443,23449.033
2019-12-09,23190.035,23298.225
2019-12-10,23166.943,23168.957
2019-12-11,23166.943,23246.523
2019-12-12,23166.943,23328.387
2019-12-13,23166.943,23449.033
2019-12-16,23166.943,23449.033
2019-12-17,23166.943,23449.033
2019-12-18,23166.943,23229.283
2019-12-19,23166.943,23405.943
2019-12-20,23186.254,23686.027
2019-12-23,23604.111,23660.166
2019-12-24,23684.303,23573.996
