date,equity,bh_equity
2019-08-21,22970.371,22970.371
2019-08-22,22970.371,23135.963
2019-08-23,22970.371,22817.52
2019-08-26,23101.633,23157.193
2019-08-27,23243.035,23233.617
2019-08-28,23054.506,23399.207
2019-08-29,22928.826,23373.734
2019-08-30,23046.133,23369.482
2019-09-03,23041.938,23479.873
2019-09-04,23163.436,23679.441
2019-09-05,22907.879,23403.45
2019-09-06,23004.238,23450.16
2019-09-09,23071.268,23148.691
2019-09-10,23016.805,23097.75
2019-09-11,23108.973,23254.85
2019-09-12,23075.46,23399.207
2019-09-13,23129.92,23206.74
2019-09-16,23217.898,23078.436
2019-09-17,22560.158,23198.191
2019-09-18,22878.553,23193.908
2019-09-19,23171.818,23317.945
2019-09-20,22891.123,23057.053
2019-09-23,22769.63,23155.422
2019-09-24,22874.371,23223.852
2019-09-25,22803.139,23168.252
2019-09-26,22652.324,23262.344
2019-09-27,22652.324,23228.135
2019-09-30,22740.303,23283.73
2019-10-01,22731.928,23373.547
2019-10-02,22857.607,22702.068
2019-10-03,23272.361,23027.111
2019-10-04,23041.938,23326.502
2019-10-07,23019.219,23039.945
2019-10-08,23019.219,22915.914
2019-10-09,23019.219,23022.842
2019-10-10,23019.219,22950.121
2019-10-11,23019.219,22796.158
2019-10-14,23019.219,22796.158
2019-10-15,23019.219,22885.975
2019-10-16,23019.219,22877.424
2019-10-17,23019.219,23005.73
2019-10-18,22678.236,23429.146
2019-10-21,22376.6,23193.908
2019-10-22,22535.793,23031.395
2019-10-23,22322.137,23369.264
2019-10-24,22288.613,23356.438
2019-10-25,22133.611,22988.62
2019-10-28,22079.148,22911.635
2019-10-29,22372.406,22843.201
2019-10-30,22464.578,23069.885
2019-10-31,22481.332,23279.453
2019-11-01,22632.154,23052.775
2019-11-04,22653.104,22727.725
2019-11-05,22711.754,22419.787
2019-11-06,22689.457,22582.307
2019-11-07,22689.457,22364.186
2019-11-08,22689.457,22329.965
2019-11-11,22689.457,22171.725
2019-11-12,22687.826,22116.123
2019-11-13,22624.51,22415.508
2019-11-14,22772.232,22509.604
2019-11-15,22793.342,22526.707
2019-11-18,23000.156,22680.68
2019-11-19,22957.947,22702.068
2019-11-20,23055.027,22761.941
2019-11-21,22907.3,22650.738
2019-11-22,22780.68,22680.68
2019-11-25,22856.658,22761.941
2019-11-26,22936.846,23052.775
2019-11-27,23055.027,23074.164
2019-11-29,23055.027,23009.525
2019-12-02,23055.027,23160.334
2019-12-03,22839.771,23181.885
2019-12-04,23012.818,23393.018
2019-12-05,23287.17,23349.928
2019-12-06,23261.84,23449.033
2019-12-09,23177.432,23298.225
2019-12-10,23308.268,23168.957
2019-12-11,23447.55,23246.523
2019-12-12,23413.787,23328.387
2019-12-13,23447.55,23449.033
2019-12-16,23295.611,23449.033
2019-12-17,23168.988,23449.033
2019-12-18,23160.543,23229.283
2019-12-19,22983.271,23405.943
2019-12-20,23025.48,23686.027
2019-12-23,23002.541,23660.166
2019-12-24,23058.35,23573.996
