date,equity,bh_equity
2019-08-30,32930.434,32930.434
2019-09-03,32964.56,32998.99
2019-09-04,33109.594,32770.49
2019-09-05,33387.85,32789.527
2019-09-06,33125.617,32968.51
2019-09-09,32882.97,31787.947
2019-09-10,32723.32,31110.064
2019-09-11,32972.36,31578.484
2019-09-12,32662.652,31727.006
2019-09-13,33068.15,31669.512
2019-09-16,32886.156,31447.16
2019-09-17,32250.781,31631.168
2019-09-18,32608.379,31826.69
2019-09-19,33329.977,32190.89
2019-09-20,33135.203,32647.078
2019-09-23,32783.992,32340.387
2019-09-24,33068.15,32049.04
2019-09-25,32934.047,31857.354
2019-09-26,33119.242,32156.37
2019-09-27,33230.98,31784.512
2019-09-30,33342.74,32271.38
2019-10-01,33154.367,32052.865
2019-10-02,32946.83,31289.984
2019-10-03,33227.797,31719.344
2019-10-04,33176.71,32585.756
2019-10-07,32148.607,32351.89
2019-10-08,32649.883,31930.2
2019-10-09,32557.293,32271.38
2019-10-10,32455.121,32110.363
2019-10-11,32435.965,32332.729
2019-10-14,33361.895,32466.895
2019-10-15,33719.492,32601.08
2019-10-16,33859.984,32374.902
2019-10-17,33310.81,32125.71
2019-10-18,32978.746,32463.068
2019-10-21,32665.85,32401.73
2019-10-22,32771.21,31167.307
2019-10-23,32653.076,31769.18
2019-10-24,32879.77,31658.01
2019-10-25,32780.79,31535.328
2019-10-28,33048.992,31512.332
2019-10-29,33272.492,32624.076
2019-10-30,33186.285,33053.44
2019-10-31,33298.03,33222.12
2019-11-01,33052.184,32562.74
2019-11-04,33218.22,32164.04
2019-11-05,33416.18,31788.35
2019-11-06,33476.836,31914.855
2019-11-07,33473.65,31773.01
2019-11-08,33553.47,32045.197
2019-11-11,34077.1,31926.352
2019-11-12,34163.31,32248.385
2019-11-13,34026.0,32516.734
2019-11-14,33981.312,32413.227
2019-11-15,34089.867,32547.402
2019-11-18,34501.754,32252.215
2019-11-19,34527.29,32451.572
2019-11-20,34559.22,32689.258
2019-11-21,34517.71,32762.084
2019-11-22,34639.04,32758.256
2019-11-25,34600.727,32854.094
2019-11-26,34789.1,33482.812
2019-11-27,34863.047,33586.32
2019-11-29,34895.195,33421.453
2019-12-02,34808.395,33367.8
2019-12-03,35001.273,33498.14
2019-12-04,35120.227,33992.684
2019-12-05,35631.37,34023.348
2019-12-06,35682.812,34061.68
2019-12-09,35586.363,34011.848
2019-12-10,35554.21,34157.52
2019-12-11,35605.66,34111.52
2019-12-12,35454.562,34337.695
2019-12-13,35428.844,34426.484
2019-12-16,35779.258,34465.086
2019-12-17,35525.28,34360.86
2019-12-18,35650.664,34592.453
2019-12-19,34866.258,34735.277
2019-12-20,34673.375,35348.996
2019-12-23,34924.125,35410.766
2019-12-24,34972.35,35294.957
2019-12-26,34965.918,35256.355
2019-12-27,35100.938,35318.125
2019-12-30,35618.516,35136.707
2019-12-31,35502.773,35105.82
2020-01-02,35435.273,35526.562
2020-01-03,35113.793,35221.62
2020-01-06,35010.92,35372.156
2020-01-07,34660.516,34430.34
2020-01-08,33831.105,34198.742
2020-01-09,33869.688,34499.82
2020-01-10,33917.914,34557.72
2020-01-13,34236.164,34550.0
2020-01-14,33998.273,34712.113
2020-01-15,33657.51,35333.56
2020-01-16,34268.32,35194.59
2020-01-17,34596.227,35113.547
2020-01-21,33782.883,34727.55
2020-01-22,33734.668,34604.035
2020-01-23,33541.773,34183.31
2020-01-24,33728.234,33187.453
2020-01-27,33596.42,33233.777
2020-01-28,32953.477,33291.68
2020-01-29,32541.984,33673.797
2020-01-30,32760.592,33388.168
2020-01-31,32699.512,32979.023
2020-02-03,32551.635,33712.402
2020-02-04,32709.152,34106.117
2020-02-05,32666.36,33129.547
2020-02-06,32497.395,33071.66
2020-02-07,32405.668,32840.055
2020-02-10,32399.217,33063.938
2020-02-11,32399.217,32905.67
2020-02-12,32399.217,32133.695
2020-02-13,32399.217,31639.627
2020-02-14,32212.648,31902.104
2020-02-18,32823.523,31828.768
2020-02-19,32481.715,31651.215
2020-02-20,32674.469,31840.338
2020-02-21,31632.898,31782.447
2020-02-24,32616.613,31392.6
2020-02-25,31726.121,30983.451
2020-02-26,30183.035,30856.074
2020-02-27,31356.086,30138.129
2020-02-28,28588.814,29551.426
2020-03-02,30436.36,31408.045
2020-03-03,29281.64,30543.42
2020-03-04,28916.994,32025.617
2020-03-05,29172.252,31489.092
2020-03-06,27162.625,31728.398
2020-03-09,28236.314,30477.807
2020-03-10,27900.025,31658.936
2020-03-11,30051.457,30589.734
2020-03-12,29322.156,28736.98
2020-03-13,31437.121,29869.496
2020-03-16,31433.068,27211.406
2020-03-17,30160.848,28986.059
2020-03-18,31404.705,27876.896
2020-03-19,31153.504,27526.639
2020-03-20,32798.465,27771.824
2020-03-23,32089.441,25841.486
2020-03-24,33329.24,26872.814
2020-03-25,33681.727,26549.795
2020-03-26,32891.66,28616.34
2020-03-27,33823.53,27915.814
2020-03-30,33511.562,29947.334
2020-03-31,33888.367,29943.44
2020-04-01,34074.734,28721.416
2020-04-02,33928.88,29916.197
2020-04-03,32089.441,29674.908
2020-04-06,32664.77,31254.969
2020-04-07,33029.42,30573.916
2020-04-08,33252.25,31764.799
2020-04-09,34285.43,32103.379
2020-04-13,33150.977,31344.484
2020-04-14,32984.832,32239.588
2020-04-15,32405.459,31939.928
2020-04-16,31728.836,32301.867
2020-04-17,31400.652,32480.88
2020-04-20,31866.59,32340.78
2020-04-21,31505.996,30573.916
2020-04-22,30890.15,31126.547
2020-04-23,31214.277,31476.81
2020-04-24,31826.076,31690.848
2020-04-27,31534.361,32683.262
2020-04-28,31817.98,31593.57
2020-04-29,32693.129,31433.982
2020-04-30,32583.738,30877.467
2020-05-01,32559.424,30227.54
2020-05-04,31680.225,29912.305
2020-05-05,31412.814,30359.857
2020-05-06,31275.053,30013.492
2020-05-07,31202.123,29421.943
2020-05-08,31562.72,29733.281
2020-05-11,31680.225,30320.941
2020-05-12,32283.91,30040.738
2020-05-13,32964.59,30313.166
2020-05-14,32494.6,31153.785
2020-05-15,33013.21,31048.713
2020-05-18,33507.516,31025.355
2020-05-19,33300.88,30180.844
2020-05-20,33588.54,29923.986
2020-05-21,33847.844,29791.66
2020-05-22,33588.54,29721.607
2020-05-26,33390.023,30067.979
2020-05-27,31599.178,30180.844
