date,equity,bh_equity
2019-08-30,32930.434,32930.434
2019-09-03,33100.71,32998.99
2019-09-04,33067.645,32770.49
2019-09-05,33501.996,32789.527
2019-09-06,33468.55,32968.51
2019-09-09,33134.266,31787.947
2019-09-10,32936.305,31110.064
2019-09-11,33245.113,31578.484
2019-09-12,32861.074,31727.006
2019-09-13,32828.25,31669.512
2019-09-16,32573.43,31447.16
2019-09-17,31798.271,31631.168
2019-09-18,32234.543,31826.69
2019-09-19,33114.89,32190.89
2019-09-20,32877.266,32647.078
2019-09-23,32448.787,32340.387
2019-09-24,32795.46,32049.04
2019-09-25,32631.854,31857.354
2019-09-26,32857.793,32156.37
2019-09-27,32994.117,31784.512
2019-09-30,33130.46,32271.38
2019-10-01,32900.645,32052.865
2019-10-02,32867.75,31289.984
2019-10-03,33179.164,31719.344
2019-10-04,33116.582,32585.756
2019-10-07,31857.156,32351.89
2019-10-08,32471.219,31930.2
2019-10-09,32357.797,32271.38
2019-10-10,32232.635,32110.363
2019-10-11,32209.168,32332.729
2019-10-14,33343.434,32466.895
2019-10-15,33781.492,32601.08
2019-10-16,33953.59,32374.902
2019-10-17,33280.85,32125.71
2019-10-18,32874.08,32463.068
2019-10-21,32490.78,32401.73
2019-10-22,32619.848,31167.307
2019-10-23,32475.13,31769.18
2019-10-24,32752.83,31658.01
2019-10-25,32631.578,31535.328
2019-10-28,32960.13,31512.332
2019-10-29,33233.918,32624.076
2019-10-30,33128.312,33053.44
2019-10-31,33265.203,33222.12
2019-11-01,33231.996,32562.74
2019-11-04,33403.88,32164.04
2019-11-05,33370.5,31788.35
2019-11-06,33411.367,31914.855
2019-11-07,33407.47,31773.01
2019-11-08,33505.05,32045.197
2019-11-11,34145.19,31926.352
2019-11-12,34250.582,32248.385
2019-11-13,34082.72,32516.734
2019-11-14,34028.094,32413.227
2019-11-15,34160.8,32547.402
2019-11-18,34664.332,32252.215
2019-11-19,34695.55,32451.572
2019-11-20,34734.582,32689.258
2019-11-21,34683.84,32762.084
2019-11-22,34832.16,32758.256
2019-11-25,34785.324,32854.094
2019-11-26,35015.613,33482.812
2019-11-27,35106.01,33586.32
2019-11-29,35145.31,33421.453
2019-12-02,35039.2,33367.8
2019-12-03,35274.996,33498.14
2019-12-04,35420.418,33992.684
2019-12-05,36045.29,34023.348
2019-12-06,36108.18,34061.68
2019-12-09,35990.266,34011.848
2019-12-10,35950.965,34157.52
2019-12-11,36013.855,34111.52
2019-12-12,35829.14,34337.695
2019-12-13,35797.695,34426.484
2019-12-16,36226.082,34465.086
2019-12-17,35915.594,34360.86
2019-12-18,36068.87,34592.453
2019-12-19,35109.938,34735.277
2019-12-20,35074.883,35348.996
2019-12-23,35348.277,35410.766
2019-12-24,35312.934,35294.957
2019-12-26,35269.793,35256.355
2019-12-27,35234.543,35318.125
2019-12-30,35829.492,35136.707
2019-12-31,35688.58,35105.82
2020-01-02,35606.4,35526.562
2020-01-03,35214.996,35221.62
2020-01-06,35179.78,35372.156
2020-01-07,34718.066,34430.34
2020-01-08,34683.402,34198.742
2020-01-09,34697.08,34499.82
2020-01-10,34757.36,34557.72
2020-01-13,35155.17,34550.0
2020-01-14,34857.812,34712.113
2020-01-15,34431.86,35333.56
2020-01-16,35195.367,35194.59
2020-01-17,35605.25,35113.547
2020-01-21,34588.57,34727.55
2020-01-22,34528.305,34604.035
2020-01-23,34287.188,34183.31
2020-01-24,34520.266,33187.453
2020-01-27,34355.496,33233.777
2020-01-28,33551.812,33291.68
2020-01-29,33037.45,33673.797
2020-01-30,33310.707,33388.168
2020-01-31,33234.36,32979.023
2020-02-03,33049.51,33712.402
2020-02-04,33246.406,34106.117
2020-02-05,33213.258,33129.547
2020-02-06,32774.305,33071.66
2020-02-07,32741.625,32840.055
2020-02-10,32741.625,33063.938
2020-02-11,32741.625,32905.67
2020-02-12,32741.625,32133.695
2020-02-13,32741.625,31639.627
2020-02-14,31808.79,31902.104
2020-02-18,33351.87,31828.768
2020-02-19,32793.305,31651.215
2020-02-20,33042.44,31840.338
2020-02-21,31740.48,31782.447
2020-02-24,32970.125,31392.6
2020-02-25,31857.006,30983.451
2020-02-26,29928.15,30856.074
2020-02-27,31107.184,30138.129
2020-02-28,28339.912,29551.426
2020-03-02,30187.457,31408.045
2020-03-03,29032.738,30543.42
2020-03-04,28668.092,32025.617
2020-03-05,28923.35,31489.092
2020-03-06,26913.723,31728.398
2020-03-09,27987.412,30477.807
2020-03-10,27651.123,31658.936
2020-03-11,29802.555,30589.734
2020-03-12,29073.254,28736.98
2020-03-13,31188.219,29869.496
2020-03-16,31184.166,27211.406
2020-03-17,29911.945,28986.059
2020-03-18,31155.803,27876.896
2020-03-19,30904.602,27526.639
2020-03-20,32549.564,27771.824
2020-03-23,31840.54,25841.486
2020-03-24,33080.336,26872.814
2020-03-25,33432.824,26549.795
2020-03-26,32642.758,28616.34
2020-03-27,33574.63,27915.814
2020-03-30,33262.66,29947.334
2020-03-31,33639.465,29943.44
2020-04-01,33825.832,28721.416
2020-04-02,33679.977,29916.197
2020-04-03,31840.54,29674.908
2020-04-06,32415.867,31254.969
2020-04-07,32780.52,30573.916
2020-04-08,33003.348,31764.799
2020-04-09,34036.527,32103.379
2020-04-13,32902.074,31344.484
2020-04-14,32735.932,32239.588
2020-04-15,32156.557,31939.928
2020-04-16,31479.934,32301.867
2020-04-17,31151.75,32480.88
2020-04-20,31617.688,32340.78
2020-04-21,31257.094,30573.916
2020-04-22,30641.248,31126.547
2020-04-23,30965.375,31476.81
2020-04-24,31577.174,31690.848
2020-04-27,31285.459,32683.262
2020-04-28,31569.078,31593.57
2020-04-29,32444.227,31433.982
2020-04-30,32334.836,30877.467
2020-05-01,32310.521,30227.54
2020-05-04,31431.322,29912.305
2020-05-05,31163.912,30359.857
2020-05-06,31026.15,30013.492
2020-05-07,30953.22,29421.943
2020-05-08,31313.818,29733.281
2020-05-11,31431.322,30320.941
2020-05-12,32035.008,30040.738
2020-05-13,32715.688,30313.166
2020-05-14,32245.697,31153.785
2020-05-15,32764.31,31048.713
2020-05-18,33258.613,31025.355
2020-05-19,33051.977,30180.844
2020-05-20,33339.637,29923.986
2020-05-21,33598.94,29791.66
2020-05-22,33339.637,29721.607
2020-05-26,33141.12,30067.979
2020-05-27,31350.275,30180.844
2020-05-28,31170.592,30760.715
2020-05-29,30239.475,31414.535
2020-06-01,31444.209,30963.09
2020-06-02,31166.506,31461.24
2020-06-03,31137.92,31936.04
2020-06-04,31824.016,31737.559
2020-06-05,31354.363,32013.867
2020-06-08,31505.467,32262.941
2020-06-09,30994.99,32013.867
2020-06-10,31280.855,31823.184
2020-06-11,30717.287,30102.996
2020-06-12,31097.09,29930.402
2020-06-15,31591.23,29036.021
2020-06-16,31913.852,30193.225
2020-06-17,32183.38,29926.479
2020-06-18,32510.098,29899.018
2020-06-19,32158.883,30558.047
2020-06-22,31832.174,30106.922
2020-06-23,31329.855,30252.064
2020-06-24,31346.193,29761.73
2020-06-25,31599.395,30036.316
2020-06-26,31966.94,29494.982
2020-06-29,32452.92,29859.8
2020-06-30,32420.479,30334.443
2020-07-01,32579.666,30644.338
2020-07-02,32547.113,30903.232
2020-07-06,32302.326,31217.059
2020-07-07,32270.11,30879.7
2020-07-08,31943.908,30565.883
2020-07-09,31912.03,30083.383
2020-07-10,31912.03,30099.076
2020-07-13,32186.83,30342.287
2020-07-14,32049.648,30695.33
2020-07-15,31904.387,31162.137
2020-07-16,31872.516,31146.445
2020-07-17,32751.846,31330.807
2020-07-20,32407.215,31150.367
2020-07-21,32395.324,30946.39
2020-07-22,32161.602,30903.232
2020-07-23,32149.717,30620.805
2020-07-24,32106.146,30244.22
2020-07-27,32074.096,30962.082
2020-07-28,32741.82,31260.205
2020-07-29,32709.135,31126.84
2020-07-30,32653.102,30985.611
2020-07-31,33152.832,31475.951
2020-08-03,33074.75,32378.184
2020-08-04,33258.25,32036.914
2020-08-05,33258.25,32025.139
2020-08-06,33238.734,31793.695
2020-08-07,33410.508,31781.926
2020-08-10,33512.016,31738.78
2020-08-11,33457.355,31738.78
2020-08-12,33566.676,32433.1
2020-08-13,33500.3,32770.445
2020-08-14,33351.945,32746.92
2020-08-17,33023.996,33249.027
2020-08-18,32991.035,33170.574
2020-08-19,32412.338,33354.945
2020-08-20,32379.94,33354.945
2020-08-21,31623.781,33335.336
2020-08-24,31592.201,33507.93
2020-08-25,31073.816,33609.92
2020-08-26,31412.002,33555.0
2020-08-27,31520.55,33664.836
2020-08-28,31539.271,33598.15
2020-08-31,32048.363,33449.086
2020-09-01,32074.568,33119.574
2020-09-02,32138.213,34100.27
2020-09-03,31134.988,33535.38
2020-09-04,31063.863,33437.324
2020-09-08,30947.822,32688.084
2020-09-09,31142.484,33296.105
2020-09-10,31060.129,32782.223
2020-09-11,30996.492,33139.195
2020-09-14,30674.56,33253.773
2020-09-15,31067.605,33273.53
2020-09-16,30577.236,33810.9
2020-09-17,30262.79,33838.56
2020-09-18,30427.498,33905.74
2020-09-21,29824.826,32846.797
2020-09-22,29978.303,32771.72
2020-09-23,30143.012,32649.234
2020-09-24,30098.09,32854.703
2020-09-25,30098.09,32767.775
2020-09-28,30068.008,32700.605
2020-09-29,29963.625,32360.79
2020-09-30,29933.686,32775.67
2020-10-01,30194.61,32258.064
2020-10-02,30164.463,31926.15
2020-10-05,29981.346,32100.01
2020-10-06,29951.402,31463.86
2020-10-07,29951.402,31625.86
2020-10-08,30155.629,31799.719
2020-10-09,30125.482,31752.303
2020-10-12,29771.68,31752.303
2020-10-13,29082.22,31890.594
2020-10-14,28971.771,31811.57
2020-10-15,28712.736,31238.633
2020-10-16,29284.105,31542.89
2020-10-19,29254.885,31084.531
2020-10-20,29254.885,30926.484
2020-10-21,29175.697,30847.465
2020-10-22,29142.793,31297.896
2020-10-23,29188.863,31542.89
2020-10-26,29389.605,31151.701
2020-10-27,29373.15,30815.852
2020-10-28,28978.258,30100.672
2020-10-29,29383.025,29986.102
2020-10-30,29083.559,29717.402
2020-11-02,29517.955,30310.088
2020-11-03,29106.588,30393.068
2020-11-04,29152.662,31855.033
2020-11-05,29172.41,31791.81
2020-11-06,29116.467,31752.303
2020-11-09,29070.396,31807.617
2020-11-10,29044.066,32048.643
2020-11-11,28978.258,32028.885
2020-11-12,29152.662,31554.746
2020-11-13,29126.207,32040.746
2020-11-16,29191.523,31681.182
