date,equity,bh_equity
2019-08-30,32930.434,32930.434
2019-09-03,32930.434,32998.99
2019-09-04,33273.695,32770.49
2019-09-05,33744.824,32789.527
2019-09-06,33428.086,32968.51
2019-09-09,33127.2,31787.947
2019-09-10,32929.24,31110.064
2019-09-11,33238.047,31578.484
2019-09-12,32854.008,31727.006
2019-09-13,33356.824,31669.512
2019-09-16,33131.152,31447.16
2019-09-17,32343.287,31631.168
2019-09-18,32786.71,31826.69
2019-09-19,33681.492,32190.89
2019-09-20,33439.97,32647.078
2019-09-23,33004.47,32340.387
2019-09-24,33356.824,32049.04
2019-09-25,33190.535,31857.354
2019-09-26,33420.18,32156.37
2019-09-27,33558.734,31784.512
2019-09-30,33697.316,32271.38
2019-10-01,33463.734,32052.865
2019-10-02,33206.383,31289.984
2019-10-03,33554.79,31719.344
2019-10-04,33491.438,32585.756
2019-10-07,32216.594,32351.89
2019-10-08,32838.176,31930.2
2019-10-09,32723.363,32271.38
2019-10-10,32596.668,32110.363
2019-10-11,32572.916,32332.729
2019-10-14,33721.07,32466.895
2019-10-15,34164.492,32601.08
2019-10-16,34338.695,32374.902
2019-10-17,33657.723,32125.71
2019-10-18,33245.965,32463.068
2019-10-21,32857.973,32401.73
2019-10-22,32988.62,31167.307
2019-10-23,32842.133,31769.18
2019-10-24,33123.234,31658.01
2019-10-25,33000.496,31535.328
2019-10-28,33333.07,31512.332
2019-10-29,33610.21,32624.076
2019-10-30,33503.312,33053.44
2019-10-31,33641.883,33222.12
2019-11-01,33337.027,32562.74
2019-11-04,33542.914,32164.04
2019-11-05,33788.383,31788.35
2019-11-06,33863.594,31914.855
2019-11-07,33859.645,31773.01
2019-11-08,33958.617,32045.197
2019-11-11,34607.92,31926.352
2019-11-12,34714.82,32248.385
2019-11-13,34544.555,32516.734
2019-11-14,34489.15,32413.227
2019-11-15,34623.754,32547.402
2019-11-18,35134.496,32252.215
2019-11-19,35166.16,32451.572
2019-11-20,35205.75,32689.258
2019-11-21,35154.28,32762.084
2019-11-22,35304.727,32758.256
2019-11-25,35257.22,32854.094
2019-11-26,35490.805,33482.812
2019-11-27,35582.5,33586.32
2019-11-29,35622.36,33421.453
2019-12-02,35514.73,33367.8
2019-12-03,35753.902,33498.14
2019-12-04,35901.406,33992.684
2019-12-05,36535.22,34023.348
2019-12-06,36599.01,34061.68
2019-12-09,36479.41,34011.848
2019-12-10,36439.547,34157.52
2019-12-11,36503.34,34111.52
2019-12-12,36315.98,34337.695
2019-12-13,36284.082,34426.484
2019-12-16,36718.6,34465.086
2019-12-17,36403.67,34360.86
2019-12-18,36559.14,34592.453
2019-12-19,35586.48,34735.277
2019-12-20,35347.3,35348.996
2019-12-23,35658.24,35410.766
