date,equity,bh_equity
2019-08-30,32930.434,32930.434
2019-09-03,32930.434,32998.99
2019-09-04,33273.695,32770.49
2019-09-05,33240.45,32789.527
2019-09-06,32895.65,32968.51
2019-09-09,32599.613,31787.947
2019-09-10,32404.846,31110.064
2019-09-11,32708.672,31578.484
2019-09-12,32330.828,31727.006
2019-09-13,32825.535,31669.512
2019-09-16,32603.504,31447.16
2019-09-17,31828.346,31631.168
2019-09-18,32264.617,31826.69
2019-09-19,33144.965,32190.89
2019-09-20,32907.34,32647.078
2019-09-23,32478.861,32340.387
2019-09-24,32825.535,32049.04
2019-09-25,32792.742,31857.354
2019-09-26,32986.45,32156.37
2019-09-27,33123.055,31784.512
2019-09-30,33259.676,32271.38
2019-10-01,33029.39,32052.865
2019-10-02,32775.67,31289.984
2019-10-03,33119.16,31719.344
2019-10-04,33056.703,32585.756
2019-10-07,31799.852,32351.89
2019-10-08,32412.662,31930.2
2019-10-09,32299.469,32271.38
2019-10-10,32174.562,32110.363
2019-10-11,32151.145,32332.729
2019-10-14,33283.094,32466.895
2019-10-15,33720.26,32601.08
2019-10-16,33892.008,32374.902
2019-10-17,33220.64,32125.71
2019-10-18,32814.695,32463.068
2019-10-21,32432.18,32401.73
2019-10-22,32399.814,31167.307
2019-10-23,32223.623,31769.18
2019-10-24,32191.404,31658.01
2019-10-25,32040.285,31535.328
2019-10-28,32008.31,31512.332
2019-10-29,32242.316,32624.076
2019-10-30,32139.729,33053.44
2019-10-31,32272.709,33222.12
2019-11-01,31980.148,32562.74
2019-11-04,32177.732,32164.04
2019-11-05,32413.303,31788.35
2019-11-06,32485.48,31914.855
2019-11-07,32481.69,31773.01
2019-11-08,32576.674,32045.197
2019-11-11,33199.797,31926.352
2019-11-12,33302.387,32248.385
2019-11-13,33138.984,32516.734
2019-11-14,33085.812,32413.227
2019-11-15,33214.992,32547.402
2019-11-18,33705.137,32252.215
2019-11-19,33735.523,32451.572
2019-11-20,33773.52,32689.258
2019-11-21,33724.125,32762.084
2019-11-22,33868.504,32758.256
2019-11-25,33822.914,32854.094
2019-11-26,34047.08,33482.812
2019-11-27,34135.08,33586.32
2019-11-29,34173.33,33421.453
2019-12-02,34070.04,33367.8
2019-12-03,34299.566,33498.14
2019-12-04,34441.12,33992.684
2019-12-05,35049.38,34023.348
2019-12-06,35110.598,34061.68
2019-12-09,34995.82,34011.848
2019-12-10,34957.562,34157.52
2019-12-11,35018.785,34111.52
2019-12-12,34838.98,34337.695
2019-12-13,34808.37,34426.484
2019-12-16,35225.367,34465.086
2019-12-17,34923.137,34360.86
2019-12-18,35072.336,34592.453
2019-12-19,34138.9,34735.277
2019-12-20,33909.363,35348.996
2019-12-23,34207.758,35410.766
