date,equity,bh_equity
2019-10-23,20258.746,20258.748
2019-10-24,20258.746,20192.553
2019-10-25,20258.746,20461.73
2019-10-28,20258.746,20669.127
2019-10-29,20258.746,20664.715
2019-10-30,20258.746,20566.902
2019-10-31,20258.746,20473.54
2019-11-01,20258.746,21042.61
2019-11-04,20258.746,21709.512
2019-11-05,20258.746,21673.941
2019-11-06,20258.746,21589.47
2019-11-07,20258.746,21633.93
2019-11-08,20258.746,21851.781
2019-11-11,20258.746,21825.1
2019-11-12,20258.746,21789.535
2019-11-13,20258.746,21513.889
2019-11-14,20258.746,21611.697
2019-11-15,20258.746,21780.645
2019-11-18,20258.746,21798.426
2019-11-19,20258.746,21931.807
2019-11-20,20258.746,21829.55
2019-11-21,20258.746,21713.957
2019-11-22,20258.746,21896.238
2019-11-25,20258.746,22211.902
2019-11-26,20258.746,21967.37
2019-11-27,20258.746,22131.873
2019-11-29,20258.746,21998.49
2019-12-02,20258.746,21820.662
2019-12-03,20258.746,21389.398
2019-12-04,20258.746,21713.957
2019-12-05,20258.746,21816.207
2019-12-06,20258.746,22140.766
2019-12-09,20258.746,22051.846
2019-12-10,20258.746,22082.969
2019-12-11,20258.746,21985.156
2019-12-12,20258.746,22536.45
2019-12-13,20258.746,22336.383
2019-12-16,20258.746,22549.787
2019-12-17,20258.746,22629.816
2019-12-18,20258.746,22523.115
2019-12-19,20258.746,22612.03
2019-12-20,20258.746,22536.45
2019-12-23,20258.746,22549.787
2019-12-24,20258.746,22536.45
2019-12-26,20258.746,22723.184
2019-12-27,20258.746,22714.287
2019-12-30,20258.746,22656.49
2019-12-31,20258.746,22727.621
2020-01-02,20343.14,23136.656
2020-01-03,20073.568,22763.193
2020-01-06,20053.922,22683.17
2020-01-07,19939.357,22638.715
2020-01-08,19612.953,22927.69
2020-01-09,19133.342,23145.547
2020-01-10,19436.428,23212.238
2020-01-13,19323.186,23465.658
2020-01-14,19487.459,23501.219
2020-01-15,18964.467,23536.787
2020-01-16,19078.453,25092.865
2020-01-17,19554.512,25568.58
2020-01-21,19879.701,24861.68
2020-01-22,19886.406,24835.0
2020-01-23,19893.113,24688.283
2020-01-24,20000.395,24252.586
2020-01-27,20144.555,23612.371
2020-01-28,20278.654,24016.945
2020-01-29,20194.844,23865.787
2020-01-30,20164.668,24085.07
2020-01-31,20057.387,23386.951
2020-02-03,20322.236,23539.104
2020-02-04,19463.994,24174.572
2020-02-05,19018.107,24608.652
2020-02-06,18099.514,24617.604
2020-02-07,17546.352,24626.557
2020-02-10,17281.5,24769.76
2020-02-11,16667.992,24962.191
2020-02-12,16540.59,25141.195
2020-02-13,17026.71,25029.32
2020-02-14,16329.388,24989.04
2020-02-18,16610.998,24845.836
2020-02-19,15722.579,25199.37
2020-02-20,15471.142,24053.744
2020-02-21,14016.146,23458.555
2020-02-24,14686.65,22232.365
2020-02-25,13804.939,21493.977
2020-02-26,11940.937,21140.441
2020-02-27,14016.146,20321.5
2020-02-28,12054.924,20151.436
2020-03-02,12772.361,20800.334
2020-03-03,11753.196,19869.512
2020-03-04,11810.189,20245.42
2020-03-05,11391.125,19059.512
2020-03-06,10767.556,18723.88
2020-03-09,12581.269,16781.68
2020-03-10,12839.412,17676.701
2020-03-11,13416.046,16499.748
2020-03-12,12846.115,14011.581
2020-03-13,13124.377,16781.68
2020-03-16,12842.765,14163.74
2020-03-17,12044.868,15121.412
2020-03-18,12809.242,13760.978
2020-03-19,12792.479,13837.055
2020-03-20,13851.872,13277.666
2020-03-23,13828.405,12445.294
