date,equity,bh_equity
2019-10-23,20258.746,20258.748
2019-10-24,20295.496,20192.553
2019-10-25,20281.408,20461.73
2019-10-28,20257.34,20669.127
2019-10-29,20102.465,20664.715
2019-10-30,20157.418,20566.902
2019-10-31,20252.344,20473.54
2019-11-01,20262.334,21042.61
2019-11-04,20337.273,21709.512
2019-11-05,20279.82,21673.941
2019-11-06,20189.137,21589.47
2019-11-07,20325.693,21633.93
2019-11-08,20562.17,21851.781
2019-11-11,20378.98,21825.1
2019-11-12,20502.219,21789.535
2019-11-13,20402.295,21513.889
2019-11-14,20269.074,21611.697
2019-11-15,19945.994,21780.645
2019-11-18,20189.137,21798.426
2019-11-19,20265.738,21931.807
2019-11-20,20508.88,21829.55
2019-11-21,20442.266,21713.957
2019-11-22,20465.58,21896.238
2019-11-25,20392.305,22211.902
2019-11-26,20805.307,21967.37
2019-11-27,20655.426,22131.873
2019-11-29,20815.297,21998.49
2019-12-02,20875.25,21820.662
2019-12-03,20795.314,21389.398
2019-12-04,20861.926,21713.957
2019-12-05,20805.307,21816.207
2019-12-06,20815.297,22140.766
2019-12-09,20805.307,22051.846
2019-12-10,20945.195,22082.969
2019-12-11,20938.533,21985.156
2019-12-12,20895.232,22536.45
2019-12-13,20948.523,22336.383
2019-12-16,21254.947,22549.787
2019-12-17,20975.17,22629.816
2019-12-18,20915.22,22523.115
2019-12-19,20881.914,22612.03
2019-12-20,21098.402,22536.45
2019-12-23,21261.607,22549.787
2019-12-24,21311.568,22536.45
2019-12-26,21501.418,22723.184
2019-12-27,21528.059,22714.287
2019-12-30,21554.707,22656.49
2019-12-31,22720.438,22727.621
2020-01-02,23076.816,23136.656
2020-01-03,22547.246,22763.193
2020-01-06,22527.258,22683.17
2020-01-07,22417.346,22638.715
2020-01-08,22090.941,22927.69
2020-01-09,21611.33,23145.547
2020-01-10,21914.416,23212.238
2020-01-13,21801.174,23465.658
2020-01-14,21965.447,23501.219
2020-01-15,21442.455,23536.787
2020-01-16,21556.441,25092.865
2020-01-17,22032.5,25568.58
2020-01-21,22357.69,24861.68
2020-01-22,22364.395,24835.0
2020-01-23,22371.102,24688.283
2020-01-24,22478.383,24252.586
2020-01-27,22622.543,23612.371
2020-01-28,22756.643,24016.945
2020-01-29,22672.832,23865.787
2020-01-30,22642.656,24085.07
2020-01-31,22535.375,23386.951
2020-02-03,22800.225,23539.104
2020-02-04,21941.982,24174.572
2020-02-05,21496.096,24608.652
2020-02-06,20577.502,24617.604
2020-02-07,20024.34,24626.557
2020-02-10,19759.488,24769.76
2020-02-11,19145.98,24962.191
2020-02-12,18982.922,25141.195
2020-02-13,19590.572,25029.32
2020-02-14,18718.92,24989.04
2020-02-18,19070.932,24845.836
2020-02-19,17960.408,25199.37
2020-02-20,17646.111,24053.744
2020-02-21,15827.368,23458.555
2020-02-24,16665.498,22232.365
2020-02-25,15563.358,21493.977
2020-02-26,13233.3545,21140.441
2020-02-27,15827.368,20321.5
2020-02-28,13375.84,20151.436
2020-03-02,14272.637,20800.334
2020-03-03,12998.681,19869.512
2020-03-04,13069.922,20245.42
2020-03-05,12546.091,19059.512
2020-03-06,11766.629,18723.88
2020-03-09,14033.7705,16781.68
2020-03-10,14356.45,17676.701
2020-03-11,15077.242,16499.748
2020-03-12,14364.829,14011.581
2020-03-13,14712.655,16781.68
2020-03-16,14360.641,14163.74
2020-03-17,13363.27,15121.412
2020-03-18,14318.737,13760.978
2020-03-19,14297.783,13837.055
2020-03-20,15622.024,13277.666
2020-03-23,15592.691,12445.294
