date,equity,bh_equity
2020-02-25,3069.352,3069.352
2020-02-26,3069.352,3134.9434
2020-02-27,3372.136,2960.4358
2020-02-28,2818.714,3165.181
2020-03-02,3078.6135,3239.719
2020-03-03,2898.6638,3116.192
2020-03-04,3025.0647,3334.4165
2020-03-05,2935.1526,3202.919
2020-03-06,3021.5774,3117.9507
2020-03-09,3475.9966,2876.5208
2020-03-10,3431.6633,3059.82
2020-03-11,3576.3706,2888.592
2020-03-12,3520.2058,2535.1216
2020-03-13,3680.355,2822.6091
2020-03-16,3655.5725,2301.7793
2020-03-17,3399.9072,2546.3728
2020-03-18,3554.3276,2377.0208
2020-03-19,3410.3682,2495.9778
2020-03-20,3715.3481,2411.3608
2020-03-23,3598.6616,2492.6958
2020-03-24,3697.291,2920.3533
2020-03-25,3647.4778,2878.631
2020-03-26,3733.4055,3014.816
2020-03-27,3908.996,2961.9587
2020-03-30,3870.2666,3112.6765
2020-03-31,4042.8687,3089.3535
2020-04-01,4013.2302,2848.745
2020-04-02,3947.6008,2994.0713
2020-04-03,3729.1711,2858.5898
2020-04-06,3936.393,3145.609
2020-04-07,3909.7434,3035.7942
2020-04-08,3979.2334,3128.6152
2020-04-09,4072.5076,3081.7356
2020-04-13,4001.274,3162.6028
2020-04-14,4089.6934,3327.8525
2020-04-15,4012.7322,3291.4038
2020-04-16,3894.4258,3453.8413
2020-04-17,4000.4028,3425.948
2020-04-20,4030.9133,3364.1838
2020-04-21,4081.3486,3158.6177
2020-04-22,4169.5176,3353.6362
2020-04-23,4264.5356,3328.5557
2020-04-24,4390.5645,3393.9539
2020-04-27,4259.5557,3481.7346
2020-04-28,4248.3477,3414.696
2020-04-29,4373.1294,3497.908
2020-04-30,4602.3936,3425.4792
2020-05-01,4731.659,3314.1401
2020-05-04,4759.1807,3413.8762
2020-05-05,4841.123,3442.5898
2020-05-06,4744.1113,3490.0547
2020-05-07,4869.1416,3573.0315
2020-05-08,4715.467,3662.4539
2020-05-11,4711.124,3781.0603
2020-05-12,4687.8228,3657.767
2020-05-13,4683.595,3647.219
2020-05-14,4644.6797,3764.652
2020-05-15,4640.293,3980.4143
2020-05-18,4608.1274,4102.0674
2020-05-19,4608.6255,4127.968
2020-05-20,4685.1235,4205.0845
2020-05-21,4627.8115,4113.786
2020-05-22,4747.915,4231.4536
2020-05-26,4907.7646,4086.8289
2020-05-27,4623.452,3996.5881
2020-05-28,4691.3535,3978.6558
2020-05-29,4811.582,4160.782
2020-06-01,4759.1294,4128.3193
2020-06-02,4842.6045,4137.225
2020-06-03,4833.634,4111.091
2020-06-04,4855.188,4111.5596
2020-06-05,4987.5015,4183.5527
2020-06-08,4949.252,4129.6157
2020-06-09,4842.3564,4242.646
2020-06-10,4969.187,4393.082
2020-06-11,4802.237,4125.513
2020-06-12,4824.664,4189.4155
2020-06-15,4973.049,4302.5635
2020-06-16,4989.1206,4253.2
2020-06-17,5030.1113,4331.759
2020-06-18,5143.239,4323.317
2020-06-19,5159.4355,4343.6016
2020-06-22,5330.9956,4468.1226
2020-06-23,5477.012,4432.126
2020-06-24,5462.188,4331.5254
2020-06-25,5249.389,4450.887
2020-06-26,5411.23,4293.7686
2020-06-29,5336.602,4314.8755
2020-06-30,5290.504,4454.521
2020-07-01,5323.7686,4469.6465
2020-07-02,5477.8843,4508.223
2020-07-06,5387.06,4614.6885
2020-07-07,5442.004,4629.9316
2020-07-08,5288.0117,4791.388
2020-07-09,5320.2793,4928.8057
2020-07-10,5433.407,4914.8545
2020-07-13,5330.746,4714.5874
2020-07-14,5455.3345,4866.897
2020-07-15,5529.3403,4796.6646
2020-07-16,5529.7144,4753.281
2020-07-17,5726.816,4784.5864
2020-07-20,5835.207,4929.626
2020-07-21,5864.6113,4844.1504
2020-07-22,5888.906,4895.859
2020-07-23,5821.1294,4750.9355
2020-07-24,5803.9346,4781.3027
2020-07-27,5646.9526,4887.7686
2020-07-28,5941.1074,4791.1533
2020-07-29,5942.4795,4908.404
2020-07-30,6002.781,4978.052
2020-07-31,6388.01,4978.4033
2020-08-03,6350.0103,5163.898
2020-08-04,6289.0854,5265.9053
2020-08-05,6290.332,5293.578
2020-08-06,6560.691,5316.442
2020-08-07,6579.007,5252.657
2020-08-10,6593.832,5236.4746
2020-08-11,6605.2935,5088.7373
2020-08-12,6533.1562,5365.569
2020-08-13,6792.053,5366.86
2020-08-14,6905.056,5423.6104
2020-08-17,7129.633,5786.1523
2020-08-18,7391.599,5750.391
2020-08-19,6728.087,5693.054
2020-08-20,6532.173,5694.2275
2020-08-21,6178.4834,5948.6646
2020-08-24,6578.286,5965.9014
2020-08-25,6377.2637,5979.8535
2020-08-26,6303.8584,5990.64
2020-08-27,6656.675,5922.751
2020-08-28,6715.874,6166.401
2020-08-31,6478.334,6272.749
2020-09-01,6452.911,6484.1
2020-09-02,6316.1953,6730.6387
2020-09-03,6479.7065,6106.202
2020-09-04,6539.775,5921.8257
2020-09-08,6283.544,5588.9653
2020-09-09,6395.3335,5965.223
2020-09-10,6657.4233,5776.039
2020-09-11,6737.807,5706.957
2020-09-14,6832.8984,6038.9956
2020-09-15,6984.818,6094.708
2020-09-16,7026.6924,5871.1577
2020-09-17,6751.3916,5847.232
2020-09-18,7040.6504,5718.5674
2020-09-21,7087.51,5872.449
2020-09-22,7200.9204,5928.98
2020-09-23,7138.4824,5687.839
2020-09-24,7100.596,5793.045
2020-09-25,7331.5273,6039.7
2020-09-28,7342.6196,6115.3496
2020-09-29,7266.3486,6204.841
2020-09-30,7203.91,6347.8135
2020-10-01,7124.897,6387.222
2020-10-02,6968.491,6128.134
2020-10-05,7042.145,6400.358
2020-10-06,6981.951,6444.4575
2020-10-07,6900.321,6551.1895
2020-10-08,7014.603,6492.428
2020-10-09,6790.7734,6456.773
2020-10-12,6918.1406,6674.1045
2020-10-13,6534.4165,6684.5435
2020-10-14,6732.3237,6612.7646
2020-10-15,6488.0557,6554.0034
2020-10-16,6511.362,6479.6426
2020-10-19,6730.0815,6332.448
2020-10-20,7116.2993,6401.7646
2020-10-21,7298.6265,6345.116
2020-10-22,7499.026,6268.2925
2020-10-23,7034.7925,6375.8447
2020-10-26,6605.7036,6165.1963
2020-10-27,6928.736,6285.063
2020-10-28,6948.0527,5923.937
2020-10-29,6868.416,6110.1895
2020-10-30,6977.216,5880.3066
2020-11-02,6930.8545,5902.24
2020-11-03,6934.095,6108.079
2020-11-04,6939.827,6471.552
2020-11-05,6764.105,6643.141
2020-11-06,6790.151,6831.7383
2020-11-09,6699.298,6394.845
2020-11-10,6837.3833,5991.026
2020-11-11,6850.594,6295.034
2020-11-12,6920.5103,6313.2134
2020-11-13,6914.7783,6238.2666
2020-11-16,6991.7964,6340.6597
2020-11-17,6919.7407,6297.0283
2020-11-18,7000.647,6300.078
2020-11-19,7024.833,6305.472
2020-11-20,6896.803,6140.0986
2020-11-23,6687.743,6164.611
