date,equity,bh_equity
2020-02-25,3069.352,3069.352
2020-02-26,3069.352,3134.9434
2020-02-27,3069.352,2960.4358
2020-02-28,3069.352,3165.181
2020-03-02,3069.352,3239.719
2020-03-03,3069.352,3116.192
2020-03-04,3069.352,3334.4165
2020-03-05,3069.352,3202.919
2020-03-06,3069.352,3117.9507
2020-03-09,3069.352,2876.5208
2020-03-10,3069.352,3059.82
2020-03-11,3069.352,2888.592
2020-03-12,3069.352,2535.1216
2020-03-13,3069.352,2822.6091
2020-03-16,3069.352,2301.7793
2020-03-17,3069.352,2546.3728
2020-03-18,3220.7454,2377.0208
2020-03-19,3076.786,2495.9778
2020-03-20,3381.7659,2411.3608
2020-03-23,3265.0793,2492.6958
2020-03-24,3363.7087,2920.3533
2020-03-25,3313.8955,2878.631
2020-03-26,3399.8232,3014.816
2020-03-27,3575.4138,2961.9587
2020-03-30,3536.6843,3112.6765
2020-03-31,3709.2864,3089.3535
2020-04-01,3679.648,2848.745
2020-04-02,3614.0186,2994.0713
2020-04-03,3395.5889,2858.5898
2020-04-06,3602.8108,3145.609
2020-04-07,3576.1611,3035.7942
2020-04-08,3645.6511,3128.6152
2020-04-09,3738.9253,3081.7356
2020-04-13,3667.6917,3162.6028
2020-04-14,3756.111,3327.8525
2020-04-15,3679.15,3291.4038
2020-04-16,3560.8435,3453.8413
2020-04-17,3666.8206,3425.948
2020-04-20,3697.331,3364.1838
2020-04-21,3747.7664,3158.6177
2020-04-22,3835.9355,3353.6362
2020-04-23,3930.9534,3328.5557
2020-04-24,4056.9822,3393.9539
2020-04-27,3925.9734,3481.7346
2020-04-28,3914.7654,3414.696
2020-04-29,4039.547,3497.908
2020-04-30,4268.811,3425.4792
2020-05-01,4398.077,3314.1401
2020-05-04,4425.598,3413.8762
2020-05-05,4507.5405,3442.5898
2020-05-06,4410.529,3490.0547
2020-05-07,4535.5596,3573.0315
2020-05-08,4381.885,3662.4539
2020-05-11,4285.997,3781.0603
2020-05-12,4266.9424,3657.767
2020-05-13,4460.466,3647.219
2020-05-14,4425.9717,3764.652
2020-05-15,4435.4346,3980.4143
2020-05-18,4407.665,4102.0674
2020-05-19,4408.163,4127.968
2020-05-20,4484.661,4205.0845
2020-05-21,4427.349,4113.786
2020-05-22,4547.4526,4231.4536
2020-05-26,4707.3022,4086.8289
2020-05-27,4422.9897,3996.5881
2020-05-28,4490.891,3978.6558
2020-05-29,4611.1196,4160.782
2020-06-01,4558.667,4128.3193
2020-06-02,4642.142,4137.225
2020-06-03,4633.1714,4111.091
2020-06-04,4654.7256,4111.5596
2020-06-05,4787.039,4183.5527
2020-06-08,4748.7896,4129.6157
2020-06-09,4641.894,4242.646
2020-06-10,4768.7246,4393.082
2020-06-11,4601.7744,4125.513
2020-06-12,4624.2017,4189.4155
2020-06-15,4772.5864,4302.5635
2020-06-16,4788.658,4253.2
2020-06-17,4829.649,4331.759
2020-06-18,4942.7764,4323.317
2020-06-19,4958.973,4343.6016
2020-06-22,5130.533,4468.1226
2020-06-23,5276.55,4432.126
2020-06-24,5261.7256,4331.5254
2020-06-25,5048.927,4450.887
2020-06-26,5210.7676,4293.7686
2020-06-29,5136.1396,4314.8755
2020-06-30,5090.0415,4454.521
2020-07-01,5123.306,4469.6465
2020-07-02,5277.422,4508.223
2020-07-06,5186.5977,4614.6885
2020-07-07,5241.5415,4629.9316
2020-07-08,5087.5493,4791.388
2020-07-09,5119.817,4928.8057
2020-07-10,5232.945,4914.8545
2020-07-13,5130.2837,4714.5874
2020-07-14,5254.872,4866.897
2020-07-15,5328.878,4796.6646
2020-07-16,5329.252,4753.281
2020-07-17,5526.3535,4784.5864
2020-07-20,5634.7446,4929.626
2020-07-21,5664.149,4844.1504
2020-07-22,5688.4434,4895.859
2020-07-23,5620.667,4750.9355
2020-07-24,5603.472,4781.3027
2020-07-27,5446.49,4887.7686
2020-07-28,5740.645,4791.1533
2020-07-29,5742.017,4908.404
2020-07-30,5802.3184,4978.052
2020-07-31,6187.5474,4978.4033
2020-08-03,6149.548,5163.898
2020-08-04,6088.623,5265.9053
2020-08-05,6089.8696,5293.578
2020-08-06,6360.2285,5316.442
2020-08-07,6378.5444,5252.657
2020-08-10,6393.3696,5236.4746
2020-08-11,6404.831,5088.7373
2020-08-12,6332.694,5365.569
2020-08-13,6591.591,5366.86
2020-08-14,6704.5938,5423.6104
2020-08-17,6929.1704,5786.1523
2020-08-18,7191.1367,5750.391
2020-08-19,6527.6245,5693.054
2020-08-20,6331.7104,5694.2275
2020-08-21,5978.021,5948.6646
2020-08-24,6377.8237,5965.9014
2020-08-25,6176.8013,5979.8535
2020-08-26,6103.396,5990.64
2020-08-27,6456.2124,5922.751
2020-08-28,6515.4116,6166.401
2020-08-31,6277.8716,6272.749
2020-09-01,6252.4487,6484.1
2020-09-02,6115.733,6730.6387
2020-09-03,6279.244,6106.202
2020-09-04,6339.3125,5921.8257
2020-09-08,6083.0815,5588.9653
2020-09-09,6194.871,5965.223
2020-09-10,6456.961,5776.039
2020-09-11,6537.3447,5706.957
2020-09-14,6632.436,6038.9956
2020-09-15,6784.3555,6094.708
2020-09-16,6826.23,5871.1577
2020-09-17,6550.929,5847.232
2020-09-18,6840.188,5718.5674
2020-09-21,6887.0474,5872.449
2020-09-22,7000.458,5928.98
2020-09-23,6938.02,5687.839
2020-09-24,6900.134,5793.045
2020-09-25,7131.065,6039.7
2020-09-28,7142.157,6115.3496
2020-09-29,7065.886,6204.841
2020-09-30,7003.4478,6347.8135
2020-10-01,6924.4346,6387.222
2020-10-02,6768.029,6128.134
2020-10-05,6841.6826,6400.358
2020-10-06,6781.489,6444.4575
2020-10-07,6699.8584,6551.1895
2020-10-08,6814.1406,6492.428
2020-10-09,6590.311,6456.773
2020-10-12,6717.678,6674.1045
2020-10-13,6333.954,6684.5435
2020-10-14,6531.8613,6612.7646
2020-10-15,6287.5933,6554.0034
2020-10-16,6310.8994,6479.6426
2020-10-19,6529.619,6332.448
2020-10-20,6915.837,6401.7646
2020-10-21,7098.164,6345.116
2020-10-22,7298.5635,6268.2925
2020-10-23,6834.33,6375.8447
2020-10-26,6405.241,6165.1963
2020-10-27,6728.2734,6285.063
2020-10-28,6747.5903,5923.937
2020-10-29,6667.9536,6110.1895
2020-10-30,6776.7534,5880.3066
2020-11-02,6730.392,5902.24
2020-11-03,6733.633,6108.079
2020-11-04,6739.3647,6471.552
2020-11-05,6563.6426,6643.141
2020-11-06,6589.6885,6831.7383
2020-11-09,6498.8354,6394.845
2020-11-10,6636.921,5991.026
2020-11-11,6650.132,6295.034
2020-11-12,6720.048,6313.2134
2020-11-13,6714.316,6238.2666
2020-11-16,6791.334,6340.6597
2020-11-17,6719.2783,6297.0283
2020-11-18,6800.1846,6300.078
2020-11-19,6824.3706,6305.472
2020-11-20,6696.341,6140.0986
2020-11-23,6487.281,6164.611
2020-11-24,6507.974,6079.1084
