date,equity,bh_equity
2020-02-25,3069.352,3069.352
2020-02-26,3069.352,3134.9434
2020-02-27,3069.352,2960.4358
2020-02-28,3069.352,3165.181
2020-03-02,3326.8057,3239.719
2020-03-03,3146.856,3116.192
2020-03-04,3273.2568,3334.4165
2020-03-05,3183.3447,3202.919
2020-03-06,3269.7695,3117.9507
2020-03-09,3724.1887,2876.5208
2020-03-10,3679.8555,3059.82
2020-03-11,3824.5627,2888.592
2020-03-12,3768.398,2535.1216
2020-03-13,3928.547,2822.6091
2020-03-16,3903.7646,2301.7793
2020-03-17,3648.0994,2546.3728
2020-03-18,3802.5198,2377.0208
2020-03-19,3658.5603,2495.9778
2020-03-20,3963.5403,2411.3608
2020-03-23,3846.8538,2492.6958
2020-03-24,3945.4832,2920.3533
2020-03-25,3895.67,2878.631
2020-03-26,3981.5977,3014.816
2020-03-27,4157.1885,2961.9587
2020-03-30,4118.459,3112.6765
2020-03-31,4291.0605,3089.3535
2020-04-01,4261.4224,2848.745
2020-04-02,4195.793,2994.0713
2020-04-03,3977.3633,2858.5898
2020-04-06,4184.585,3145.609
2020-04-07,4157.9355,3035.7942
2020-04-08,4227.426,3128.6152
2020-04-09,4320.6997,3081.7356
2020-04-13,4249.466,3162.6028
2020-04-14,4337.8857,3327.8525
2020-04-15,4260.9243,3291.4038
2020-04-16,4142.618,3453.8413
2020-04-17,4248.5947,3425.948
2020-04-20,4279.1055,3364.1838
2020-04-21,4329.541,3158.6177
2020-04-22,4417.71,3353.6362
2020-04-23,4512.7275,3328.5557
2020-04-24,4638.757,3393.9539
2020-04-27,4507.748,3481.7346
2020-04-28,4496.54,3414.696
2020-04-29,4621.3213,3497.908
2020-04-30,4850.5854,3425.4792
2020-05-01,4979.8516,3314.1401
2020-05-04,5007.3726,3413.8762
2020-05-05,5089.315,3442.5898
2020-05-06,4992.303,3490.0547
2020-05-07,5117.334,3573.0315
2020-05-08,4963.659,3662.4539
2020-05-11,4867.7715,3781.0603
2020-05-12,4848.717,3657.767
2020-05-13,5042.24,3647.219
2020-05-14,5007.746,3764.652
2020-05-15,5017.209,3980.4143
2020-05-18,4989.4395,4102.0674
2020-05-19,4989.9375,4127.968
2020-05-20,5066.4355,4205.0845
2020-05-21,5009.1235,4113.786
2020-05-22,5129.227,4231.4536
2020-05-26,5289.0767,4086.8289
2020-05-27,5004.764,3996.5881
2020-05-28,5072.6655,3978.6558
2020-05-29,5192.894,4160.782
2020-06-01,5140.4414,4128.3193
2020-06-02,5223.9165,4137.225
2020-06-03,5214.946,4111.091
2020-06-04,5236.5,4111.5596
2020-06-05,5368.8135,4183.5527
2020-06-08,5330.564,4129.6157
2020-06-09,5223.6685,4242.646
2020-06-10,5350.499,4393.082
2020-06-11,5183.549,4125.513
2020-06-12,5205.976,4189.4155
2020-06-15,5354.361,4302.5635
2020-06-16,5370.4326,4253.2
2020-06-17,5411.4233,4331.759
2020-06-18,5524.551,4323.317
2020-06-19,5540.7476,4343.6016
2020-06-22,5712.3076,4468.1226
2020-06-23,5858.324,4432.126
2020-06-24,5843.5,4331.5254
2020-06-25,5630.701,4450.887
2020-06-26,5792.542,4293.7686
2020-06-29,5717.914,4314.8755
2020-06-30,5671.816,4454.521
2020-07-01,5705.0806,4469.6465
2020-07-02,5859.1963,4508.223
2020-07-06,5768.372,4614.6885
2020-07-07,5823.316,4629.9316
2020-07-08,5669.3237,4791.388
2020-07-09,5701.5913,4928.8057
2020-07-10,5814.719,4914.8545
2020-07-13,5712.058,4714.5874
2020-07-14,5836.6465,4866.897
2020-07-15,5910.6523,4796.6646
2020-07-16,5911.0264,4753.281
2020-07-17,6108.128,4784.5864
2020-07-20,6216.519,4929.626
2020-07-21,6245.9233,4844.1504
2020-07-22,6270.218,4895.859
2020-07-23,6202.4414,4750.9355
2020-07-24,6185.2466,4781.3027
2020-07-27,6028.2646,4887.7686
2020-07-28,6322.4194,4791.1533
2020-07-29,6323.7915,4908.404
2020-07-30,6384.093,4978.052
2020-07-31,6769.322,4978.4033
2020-08-03,6731.3223,5163.898
2020-08-04,6670.3975,5265.9053
2020-08-05,6671.644,5293.578
2020-08-06,6942.003,5316.442
2020-08-07,6960.319,5252.657
2020-08-10,6975.144,5236.4746
2020-08-11,6986.6055,5088.7373
2020-08-12,6914.4683,5365.569
2020-08-13,7173.365,5366.86
2020-08-14,7286.368,5423.6104
2020-08-17,7510.945,5786.1523
2020-08-18,7772.911,5750.391
2020-08-19,7109.399,5693.054
2020-08-20,6913.485,5694.2275
2020-08-21,6559.7954,5948.6646
2020-08-24,6959.598,5965.9014
2020-08-25,6758.5757,5979.8535
2020-08-26,6685.1704,5990.64
2020-08-27,7037.987,5922.751
2020-08-28,7097.186,6166.401
2020-08-31,6859.646,6272.749
2020-09-01,6834.223,6484.1
2020-09-02,6697.5073,6730.6387
2020-09-03,6691.4307,6106.202
2020-09-04,6691.4307,5921.8257
2020-09-08,6691.4307,5588.9653
2020-09-09,6797.1763,5965.223
2020-09-10,7059.266,5776.039
2020-09-11,7139.65,5706.957
2020-09-14,7234.741,6038.9956
2020-09-15,7386.6606,6094.708
2020-09-16,7428.535,5871.1577
2020-09-17,7153.2344,5847.232
2020-09-18,7442.493,5718.5674
2020-09-21,7489.3525,5872.449
2020-09-22,7602.763,5928.98
2020-09-23,7540.325,5687.839
2020-09-24,7502.439,5793.045
2020-09-25,7733.37,6039.7
2020-09-28,7744.4624,6115.3496
2020-09-29,7668.1914,6204.841
2020-09-30,7605.753,6347.8135
2020-10-01,7526.7397,6387.222
2020-10-02,7370.334,6128.134
2020-10-05,7443.988,6400.358
2020-10-06,7383.794,6444.4575
2020-10-07,7302.1636,6551.1895
2020-10-08,7416.446,6492.428
2020-10-09,7192.616,6456.773
2020-10-12,7319.9834,6674.1045
2020-10-13,6936.2593,6684.5435
2020-10-14,7134.1665,6612.7646
2020-10-15,6889.8984,6554.0034
2020-10-16,6883.6504,6479.6426
2020-10-19,7096.0986,6332.448
2020-10-20,7482.3164,6401.7646
2020-10-21,7664.6436,6345.116
2020-10-22,7865.043,6268.2925
2020-10-23,7400.8096,6375.8447
2020-10-26,6971.7207,6165.1963
2020-10-27,7294.753,6285.063
2020-10-28,7314.07,5923.937
2020-10-29,7234.433,6110.1895
2020-10-30,7343.233,5880.3066
2020-11-02,7296.8716,5902.24
2020-11-03,7300.1123,6108.079
2020-11-04,7305.844,6471.552
2020-11-05,7130.122,6643.141
2020-11-06,7156.168,6831.7383
2020-11-09,7065.315,6394.845
2020-11-10,7203.4004,5991.026
2020-11-11,7216.6113,6295.034
2020-11-12,7286.5273,6313.2134
2020-11-13,7280.7954,6238.2666
2020-11-16,7357.8135,6340.6597
2020-11-17,7285.758,6297.0283
2020-11-18,7366.664,6300.078
2020-11-19,7390.85,6305.472
2020-11-20,7262.8203,6140.0986
2020-11-23,7053.7603,6164.611
2020-11-24,7074.4536,6079.1084
