date,equity,bh_equity
2020-02-25,3069.352,3069.352
2020-02-26,2993.62,3134.9434
2020-02-27,3115.2725,2960.4358
2020-02-28,2782.6196,3165.181
2020-03-02,2990.0498,3239.719
2020-03-03,2846.09,3116.192
2020-03-04,2947.211,3334.4165
2020-03-05,2856.7683,3202.919
2020-03-06,2943.193,3117.9507
2020-03-09,3397.6123,2876.5208
2020-03-10,3353.279,3059.82
2020-03-11,3497.9863,2888.592
2020-03-12,3441.8215,2535.1216
2020-03-13,3601.9707,2822.6091
2020-03-16,3577.1882,2301.7793
2020-03-17,3321.523,2546.3728
2020-03-18,3475.9434,2377.0208
2020-03-19,3331.984,2495.9778
2020-03-20,3636.9639,2411.3608
2020-03-23,3520.2773,2492.6958
2020-03-24,3618.9067,2920.3533
2020-03-25,3569.0935,2878.631
2020-03-26,3655.0212,3014.816
2020-03-27,3830.6118,2961.9587
2020-03-30,3791.8823,3112.6765
2020-03-31,3964.4844,3089.3535
2020-04-01,3934.846,2848.745
2020-04-02,3869.2166,2994.0713
2020-04-03,3650.7869,2858.5898
2020-04-06,3858.0088,3145.609
2020-04-07,3831.3591,3035.7942
2020-04-08,3900.849,3128.6152
2020-04-09,3994.1233,3081.7356
2020-04-13,3922.8896,3162.6028
2020-04-14,4011.309,3327.8525
2020-04-15,3934.348,3291.4038
2020-04-16,3816.0415,3453.8413
2020-04-17,3922.0186,3425.948
2020-04-20,3952.529,3364.1838
2020-04-21,4002.9644,3158.6177
2020-04-22,4091.1335,3353.6362
2020-04-23,4186.1514,3328.5557
2020-04-24,4312.18,3393.9539
2020-04-27,4181.1714,3481.7346
2020-04-28,4169.9634,3414.696
2020-04-29,4294.745,3497.908
2020-04-30,4524.009,3425.4792
2020-05-01,4653.2754,3314.1401
2020-05-04,4680.796,3413.8762
2020-05-05,4762.7383,3442.5898
2020-05-06,4665.7266,3490.0547
2020-05-07,4790.758,3573.0315
2020-05-08,4637.083,3662.4539
2020-05-11,4541.1953,3781.0603
2020-05-12,4522.1406,3657.767
2020-05-13,4715.664,3647.219
2020-05-14,4681.17,3764.652
2020-05-15,4690.633,3980.4143
2020-05-18,4662.8633,4102.0674
2020-05-19,4663.3613,4127.968
2020-05-20,4739.8594,4205.0845
2020-05-21,4682.547,4113.786
2020-05-22,4802.6504,4231.4536
2020-05-26,4962.5,4086.8289
2020-05-27,4678.1875,3996.5881
2020-05-28,4746.089,3978.6558
2020-05-29,4866.3174,4160.782
2020-06-01,4813.865,4128.3193
2020-06-02,4897.34,4137.225
2020-06-03,4888.369,4111.091
2020-06-04,4909.924,4111.5596
2020-06-05,5042.2373,4183.5527
2020-06-08,5003.9873,4129.6157
2020-06-09,4897.092,4242.646
2020-06-10,5023.923,4393.082
2020-06-11,4856.9727,4125.513
2020-06-12,4879.3994,4189.4155
2020-06-15,5027.784,4302.5635
2020-06-16,5043.8564,4253.2
2020-06-17,5084.8467,4331.759
2020-06-18,5197.9746,4323.317
2020-06-19,5214.171,4343.6016
2020-06-22,5385.7314,4468.1226
2020-06-23,5531.748,4432.126
2020-06-24,5516.924,4331.5254
2020-06-25,5304.125,4450.887
2020-06-26,5465.966,4293.7686
2020-06-29,5391.338,4314.8755
2020-06-30,5345.2393,4454.521
2020-07-01,5378.504,4469.6465
2020-07-02,5532.62,4508.223
2020-07-06,5441.796,4614.6885
2020-07-07,5496.7393,4629.9316
2020-07-08,5342.747,4791.388
2020-07-09,5375.0146,4928.8057
2020-07-10,5488.1426,4914.8545
2020-07-13,5385.4814,4714.5874
2020-07-14,5510.0703,4866.897
2020-07-15,5584.076,4796.6646
2020-07-16,5584.45,4753.281
2020-07-17,5781.552,4784.5864
2020-07-20,5889.9424,4929.626
