date,equity,bh_equity
2020-02-28,81881.74,81881.74
2020-03-02,87997.66,86107.14
2020-03-03,85323.62,83345.914
2020-03-04,85835.266,86823.31
2020-03-05,82475.78,84185.42
2020-03-06,82535.27,82765.04
2020-03-09,88920.26,77015.81
2020-03-10,88262.414,81209.36
2020-03-11,92906.02,77672.28
2020-03-12,89713.52,70550.41
2020-03-13,92973.74,76526.42
2020-03-16,92180.44,67359.47
2020-03-17,88267.24,72468.14
2020-03-18,90056.97,70263.945
2020-03-19,88779.97,70685.695
2020-03-20,95121.42,67916.49
2020-03-23,95082.72,67965.54
2020-03-24,97099.79,73228.63
2020-03-25,97240.07,72686.375
2020-03-26,98289.72,76514.06
2020-03-27,102560.88,73882.516
2020-03-30,101385.445,76569.89
2020-03-31,103233.21,75915.98
2020-04-01,104219.99,72690.36
2020-04-02,102986.55,74165.62
2020-04-03,99189.44,73112.99
2020-04-06,102130.39,78340.2
2020-04-07,101912.695,78308.3
2020-04-08,103518.61,79970.95
2020-04-09,104350.62,80086.586
2020-04-13,102386.75,80951.8
2020-04-14,106014.56,84472.48
2020-04-15,105971.016,83503.58
2020-04-16,102986.55,85026.68
2020-04-17,104186.13,85840.08
2020-04-20,105366.39,84823.36
2020-04-21,106014.56,81693.43
2020-04-22,107378.625,84117.625
2020-04-23,108849.09,83938.195
2020-04-24,109821.36,85261.94
2020-04-27,107523.73,85947.75
2020-04-28,106179.05,84328.95
2020-04-29,107383.484,87319.33
2020-04-30,108080.01,87283.43
2020-05-01,110092.24,84823.36
2020-05-04,109816.52,85812.17
2020-05-05,112007.73,86785.04
2020-05-06,110788.79,87319.33
2020-05-07,111170.91,88443.72
2020-05-08,110871.02,89655.805
2020-05-11,111475.625,90457.234
2020-05-12,111330.55,88563.32
2020-05-13,112960.63,87454.914
2020-05-14,113299.25,88447.71
2020-05-15,114058.68,89021.86
2020-05-18,114571.41,90680.52
2020-05-19,113768.43,90453.25
2020-05-20,116022.52,92259.44
2020-05-21,116922.234,91254.68
2020-05-22,117768.734,91569.664
2020-05-26,119181.16,91322.47
2020-05-27,113279.9,91820.84
2020-05-28,114179.56,91701.26
2020-05-29,115567.836,93044.92
2020-06-01,117551.05,93324.03
2020-06-02,117923.51,93950.02
2020-06-03,118242.76,94372.664
2020-06-04,118223.414,93710.78
2020-06-05,119640.26,95568.805
2020-06-08,120657.8,96310.43
2020-06-09,118172.04,97008.195
2020-06-10,119296.21,98172.44
2020-06-11,116480.96,93308.08
2020-06-12,117750.48,94049.68
2020-06-15,120056.95,95194.016
2020-06-16,121457.336,96828.76
2020-06-17,122281.04,97135.77
2020-06-18,125285.28,97398.94
2020-06-19,124422.76,97382.98
2020-06-22,126060.53,98550.875
2020-06-23,127121.71,99389.625
2020-06-24,127989.055,97340.64
2020-06-25,125357.945,98267.29
2020-06-26,126244.67,95946.7
2020-06-29,126501.49,96993.14
2020-06-30,125638.98,98894.35
2020-07-01,125784.336,100048.67
2020-07-02,129350.63,100727.65
2020-07-06,128003.586,103204.016
2020-07-07,128454.25,102493.05
2020-07-08,125101.15,103843.06
2020-07-09,123913.984,104717.78
2020-07-10,126123.52,105432.73
2020-07-13,124519.66,103263.92
2020-07-14,125953.97,103994.85
2020-07-15,126612.93,104206.55
2020-07-16,128870.945,103495.58
2020-07-17,130610.484,103615.4
2020-07-20,131095.02,106555.06
2020-07-21,131419.66,105444.7
2020-07-22,133159.22,105816.18
2020-07-23,131623.19,103052.25
2020-07-24,131061.086,102073.68
2020-07-27,128580.2,103894.984
2020-07-28,131812.19,102572.93
2020-07-29,132112.6,103755.23
2020-07-30,131957.53,104298.4
2020-07-31,133488.72,106159.66
2020-08-03,134772.78,107593.555
2020-08-04,133866.66,107992.945
2020-08-05,135722.5,108260.55
2020-08-06,136662.53,109694.45
2020-08-07,137515.31,108428.31
2020-08-10,138595.9,107964.98
2020-08-11,141551.66,105920.01
2020-08-12,141110.72,108584.1
2020-08-13,141827.84,108831.73
2020-08-14,142966.56,108703.92
2020-08-17,145408.69,109966.07
2020-08-18,146784.75,111024.51
2020-08-19,139346.94,110277.59
2020-08-20,137491.1,111807.336
2020-08-21,130886.68,112582.19
2020-08-24,134729.16,113285.13
2020-08-25,132044.75,114175.875
2020-08-26,131128.94,116612.26
2020-08-27,133411.19,116248.805
2020-08-28,135300.97,116839.94
2020-08-31,133144.66,117778.57
2020-09-01,131065.99,119791.58
2020-09-02,129394.234,120925.88
2020-09-03,129704.35,114794.93
2020-09-04,132112.6,113265.195
2020-09-08,128081.11,107821.22
2020-09-09,128677.1,110988.54
2020-09-10,131666.78,108775.8
2020-09-11,134399.69,108020.92
2020-09-14,133794.03,109902.15
2020-09-15,134709.78,111459.875
2020-09-16,136846.69,109682.43
2020-09-17,132999.31,107969.016
2020-09-18,135833.94,106591.0
2020-09-21,133411.19,106846.625
2020-09-22,135717.66,108831.73
2020-09-23,136439.6,105508.6
2020-09-24,138523.16,105999.875
2020-09-25,142796.94,108464.24
2020-09-28,142792.1,110716.95
2020-09-29,141600.1,110217.72
2020-09-30,140650.4,110972.57
2020-10-01,139879.94,112734.01
2020-10-02,137597.69,109562.64
2020-10-05,137893.31,111899.19
2020-10-06,137786.69,109902.15
2020-10-07,137781.81,111803.35
2020-10-08,138053.22,112398.43
2020-10-09,135984.16,114115.91
2020-10-12,137045.34,117638.74
2020-10-13,131705.6,117634.74
2020-10-14,134007.22,116652.21
2020-10-15,130610.484,115869.36
2020-10-16,130901.19,115234.28
2020-10-19,133164.1,113353.05
2020-10-20,139104.66,113596.71
2020-10-21,142729.12,113508.85
2020-10-22,142835.72,113504.82
2020-10-23,139918.69,113728.54
2020-10-26,137413.56,112023.03
2020-10-27,140485.62,112897.75
2020-10-28,139826.62,108496.23
2020-10-29,141052.56,110393.44
2020-10-30,142152.5,107593.555
2020-11-02,141701.81,107833.18
2020-11-03,140655.22,109698.46
2020-11-04,141755.16,114595.23
2020-11-05,140786.03,117582.83
2020-11-06,140790.97,117670.7
2020-11-09,142767.88,115266.234
2020-11-10,143644.9,113201.28
2020-11-11,144967.72,115733.55
2020-11-12,145263.34,115190.33
2020-11-13,147124.0,116200.87
2020-11-16,147313.0,117107.52
2020-11-17,147521.31,116736.05
2020-11-18,148122.16,115873.36
2020-11-19,148960.4,116780.01
2020-11-20,149464.38,115981.17
2020-11-23,146082.19,115985.24
2020-11-24,146668.53,117614.77
2020-11-25,146343.84,118337.73
2020-11-27,147405.06,119428.11
2020-11-30,148979.81,119671.78
2020-12-01,149798.75,121205.49
2020-12-02,150777.5,121361.29
2020-12-03,150322.03,121533.016
2020-12-04,150040.97,122028.29
2020-12-07,150448.72,122719.25
2020-12-08,149691.44,123134.65
2020-12-09,150351.6,120346.75
2020-12-10,151866.16,120830.06
2020-12-11,152002.1,120562.414
