date,equity,bh_equity
2020-02-28,81881.74,81881.74
2020-03-02,81881.74,86107.14
2020-03-03,81881.74,83345.914
2020-03-04,81881.74,86823.31
2020-03-05,81881.74,84185.42
2020-03-06,81881.74,82765.04
2020-03-09,81881.74,77015.81
2020-03-10,81881.74,81209.36
2020-03-11,81881.74,77672.28
2020-03-12,81881.74,70550.41
2020-03-13,81881.74,76526.42
2020-03-16,81881.74,67359.47
2020-03-17,81881.74,72468.14
2020-03-18,81881.74,70263.945
2020-03-19,81881.74,70685.695
2020-03-20,81881.74,67916.49
2020-03-23,81881.74,67965.54
2020-03-24,81881.74,73228.63
2020-03-25,81881.74,72686.375
2020-03-26,81881.74,76514.06
2020-03-27,81881.74,73882.516
2020-03-30,81881.74,76569.89
2020-03-31,81881.74,75915.98
2020-04-01,81881.74,72690.36
2020-04-02,81881.74,74165.62
2020-04-03,81881.74,73112.99
2020-04-06,81881.74,78340.2
2020-04-07,81881.74,78308.3
2020-04-08,81881.74,79970.95
2020-04-09,81881.74,80086.586
2020-04-13,81881.74,80951.8
2020-04-14,81881.74,84472.48
2020-04-15,81881.74,83503.58
2020-04-16,81881.74,85026.68
2020-04-17,81881.74,85840.08
2020-04-20,81881.74,84823.36
2020-04-21,81881.74,81693.43
2020-04-22,81881.74,84117.625
2020-04-23,81881.74,83938.195
2020-04-24,81881.74,85261.94
2020-04-27,81881.74,85947.75
2020-04-28,81881.74,84328.95
2020-04-29,81881.74,87319.33
2020-04-30,81999.82,87283.43
2020-05-01,82784.69,84823.36
2020-05-04,82674.17,85812.17
2020-05-05,83552.414,86785.04
2020-05-06,83063.86,87319.33
2020-05-07,83217.016,88443.72
2020-05-08,83014.47,89655.805
2020-05-11,83234.58,90457.234
2020-05-12,83183.19,88563.32
2020-05-13,83160.89,87454.914
2020-05-14,83160.89,88447.71
2020-05-15,83290.39,89021.86
2020-05-18,83473.05,90680.52
2020-05-19,83151.22,90453.25
2020-05-20,84054.664,92259.44
2020-05-21,84415.266,91254.68
2020-05-22,84754.55,91569.664
2020-05-26,85320.65,91322.47
2020-05-27,82955.414,91820.84
2020-05-28,83316.0,91701.26
2020-05-29,83872.42,93044.92
2020-06-01,85041.59,93324.03
2020-06-02,85167.33,93950.02
2020-06-03,85295.28,94372.664
2020-06-04,85287.53,93710.78
2020-06-05,85547.8,95568.805
2020-06-08,85523.836,96310.43
2020-06-09,85523.836,97008.195
2020-06-10,85523.836,98172.44
2020-06-11,85523.836,93308.08
2020-06-12,85523.836,94049.68
2020-06-15,85523.836,95194.016
2020-06-16,85523.836,96828.76
2020-06-17,85523.836,97135.77
2020-06-18,85523.836,97398.94
2020-06-19,85523.836,97382.98
2020-06-22,85523.836,98550.875
2020-06-23,85523.836,99389.625
2020-06-24,85523.836,97340.64
2020-06-25,85523.836,98267.29
2020-06-26,85523.836,95946.7
2020-06-29,85523.836,96993.14
2020-06-30,85523.836,98894.35
2020-07-01,85523.836,100048.67
2020-07-02,86213.336,100727.65
2020-07-06,86187.43,103204.016
2020-07-07,86187.43,102493.05
2020-07-08,86187.43,103843.06
2020-07-09,86187.43,104717.78
2020-07-10,86187.43,105432.73
2020-07-13,86187.43,103263.92
2020-07-14,86187.43,103994.85
2020-07-15,86187.43,104206.55
2020-07-16,86187.43,103495.58
2020-07-17,86510.23,103615.4
2020-07-20,86678.27,106555.06
2020-07-21,86808.39,105444.7
2020-07-22,87505.61,105816.18
2020-07-23,86889.96,103052.25
2020-07-24,86664.67,102073.68
2020-07-27,85670.33,103894.984
2020-07-28,87587.66,102572.93
2020-07-29,87768.266,103755.23
2020-07-30,87675.05,104298.4
2020-07-31,88595.59,106159.66
2020-08-03,89367.58,107593.555
2020-08-04,88822.81,107992.945
2020-08-05,89539.83,108260.55
2020-08-06,89701.02,109694.45
2020-08-07,89673.66,108428.31
2020-08-10,89673.66,107964.98
2020-08-11,89673.66,105920.01
2020-08-12,89673.66,108584.1
2020-08-13,89673.66,108831.73
2020-08-14,89873.445,108703.92
2020-08-17,90823.61,109966.07
2020-08-18,91375.16,111024.51
2020-08-19,88394.055,110277.59
2020-08-20,87994.234,111807.336
2020-08-21,87966.7,112582.19
2020-08-24,87966.7,113285.13
2020-08-25,87966.7,114175.875
2020-08-26,87966.7,116612.26
2020-08-27,87966.7,116248.805
2020-08-28,87966.7,116839.94
2020-08-31,87966.7,117778.57
2020-09-01,87966.7,119791.58
2020-09-02,87966.7,120925.88
2020-09-03,87966.7,114794.93
2020-09-04,87966.7,113265.195
2020-09-08,87966.7,107821.22
2020-09-09,87966.7,110988.54
2020-09-10,87966.7,108775.8
2020-09-11,87966.7,108020.92
2020-09-14,87966.7,109902.15
2020-09-15,87966.7,111459.875
2020-09-16,87966.7,109682.43
2020-09-17,87966.7,107969.016
2020-09-18,87966.7,106591.0
2020-09-21,87966.7,106846.625
2020-09-22,87966.7,108831.73
2020-09-23,87966.7,105508.6
2020-09-24,87966.7,105999.875
2020-09-25,87966.7,108464.24
2020-09-28,87966.7,110716.95
2020-09-29,87966.7,110217.72
2020-09-30,87966.7,110972.57
2020-10-01,87966.7,112734.01
2020-10-02,87966.7,109562.64
2020-10-05,87966.7,111899.19
2020-10-06,87966.7,109902.15
2020-10-07,87966.7,111803.35
2020-10-08,87966.7,112398.43
2020-10-09,87966.7,114115.91
2020-10-12,88152.125,117638.74
2020-10-13,88124.68,117634.74
2020-10-14,88124.68,116652.21
2020-10-15,88124.68,115869.36
2020-10-16,88124.68,115234.28
2020-10-19,88124.68,113353.05
2020-10-20,88124.68,113596.71
2020-10-21,88124.68,113508.85
2020-10-22,88124.68,113504.82
2020-10-23,88124.68,113728.54
2020-10-26,88124.68,112023.03
2020-10-27,88124.68,112897.75
2020-10-28,88124.68,108496.23
2020-10-29,88124.68,110393.44
2020-10-30,88124.68,107593.555
2020-11-02,88124.68,107833.18
2020-11-03,88124.68,109698.46
2020-11-04,88124.68,114595.23
2020-11-05,88124.68,117582.83
2020-11-06,88124.68,117670.7
2020-11-09,88124.68,115266.234
2020-11-10,88124.68,113201.28
2020-11-11,88124.68,115733.55
2020-11-12,88124.68,115190.33
2020-11-13,88124.68,116200.87
2020-11-16,88133.09,117107.52
2020-11-17,88187.086,116736.05
2020-11-18,88427.91,115873.36
2020-11-19,88763.875,116780.01
2020-11-20,88965.86,115981.17
2020-11-23,87610.28,115985.24
2020-11-24,87845.29,117614.77
2020-11-25,87715.15,118337.73
2020-11-27,88140.484,119428.11
2020-11-30,88771.65,119671.78
2020-12-01,89099.88,121205.49
2020-12-02,89492.17,121361.29
2020-12-03,89309.61,121533.016
2020-12-04,89196.97,122028.29
2020-12-07,89360.4,122719.25
2020-12-08,89056.875,123134.65
2020-12-09,89321.47,120346.75
2020-12-10,89928.5,120830.06
2020-12-11,89982.99,120562.414
2020-12-14,89984.92,121437.17
2020-12-15,90134.74,122735.234
2020-12-16,89272.85,123410.27
2020-12-17,89768.97,124217.07
2020-12-18,88928.46,123841.61
2020-12-21,90376.01,123609.945
2020-12-22,91163.96,123946.055
2020-12-23,90267.055,123321.83
2020-12-24,90169.76,123865.99
2020-12-28,90582.234,125114.414
2020-12-29,90253.445,125226.484
2020-12-30,89768.97,125230.45
2020-12-31,90654.23,125538.586
2021-01-04,92086.164,123766.0
2021-01-05,92590.1,124786.33
2021-01-06,92407.21,123057.74
2021-01-07,92930.586,126034.76
