date,equity,bh_equity
2020-02-28,81881.74,81881.74
2020-03-02,81881.74,86107.14
2020-03-03,81881.74,83345.914
2020-03-04,81881.74,86823.31
2020-03-05,81881.74,84185.42
2020-03-06,81881.74,82765.04
2020-03-09,81881.74,77015.81
2020-03-10,81881.74,81209.36
2020-03-11,81881.74,77672.28
2020-03-12,81881.74,70550.41
2020-03-13,81881.74,76526.42
2020-03-16,81881.74,67359.47
2020-03-17,81881.74,72468.14
2020-03-18,81881.74,70263.945
2020-03-19,81881.74,70685.695
2020-03-20,81881.74,67916.49
2020-03-23,81881.74,67965.54
2020-03-24,81881.74,73228.63
2020-03-25,81881.74,72686.375
2020-03-26,81881.74,76514.06
2020-03-27,81881.74,73882.516
2020-03-30,81881.74,76569.89
2020-03-31,81881.74,75915.98
2020-04-01,81881.74,72690.36
2020-04-02,81881.74,74165.62
2020-04-03,81881.74,73112.99
2020-04-06,81881.74,78340.2
2020-04-07,81881.74,78308.3
2020-04-08,81881.74,79970.95
2020-04-09,81881.74,80086.586
2020-04-13,81881.74,80951.8
2020-04-14,81881.74,84472.48
2020-04-15,81881.74,83503.58
2020-04-16,81881.74,85026.68
2020-04-17,81881.74,85840.08
2020-04-20,81881.74,84823.36
2020-04-21,81881.74,81693.43
2020-04-22,81881.74,84117.625
2020-04-23,81881.74,83938.195
2020-04-24,81881.74,85261.94
2020-04-27,81881.74,85947.75
2020-04-28,81881.74,84328.95
2020-04-29,81881.74,87319.33
2020-04-30,81881.74,87283.43
2020-05-01,81881.74,84823.36
2020-05-04,81881.74,85812.17
2020-05-05,81881.74,86785.04
2020-05-06,81881.74,87319.33
2020-05-07,81881.74,88443.72
2020-05-08,81881.74,89655.805
2020-05-11,81881.74,90457.234
2020-05-12,81881.74,88563.32
2020-05-13,81881.74,87454.914
2020-05-14,81881.74,88447.71
2020-05-15,81881.74,89021.86
2020-05-18,81881.74,90680.52
2020-05-19,81881.74,90453.25
2020-05-20,81881.74,92259.44
2020-05-21,81881.74,91254.68
2020-05-22,81881.74,91569.664
2020-05-26,82660.14,91322.47
2020-05-27,79112.29,91820.84
2020-05-28,79653.18,91701.26
2020-05-29,80487.805,93044.92
2020-06-01,81680.12,93324.03
2020-06-02,81904.04,93950.02
2020-06-03,81833.195,94372.664
2020-06-04,81833.195,93710.78
2020-06-05,81833.195,95568.805
2020-06-08,81833.195,96310.43
2020-06-09,81833.195,97008.195
2020-06-10,81833.195,98172.44
2020-06-11,81833.195,93308.08
2020-06-12,81833.195,94049.68
2020-06-15,81833.195,95194.016
2020-06-16,81833.195,96828.76
2020-06-17,81833.195,97135.77
2020-06-18,81833.195,97398.94
2020-06-19,81833.195,97382.98
2020-06-22,81833.195,98550.875
2020-06-23,81833.195,99389.625
2020-06-24,81833.195,97340.64
2020-06-25,81833.195,98267.29
2020-06-26,81833.195,95946.7
2020-06-29,81833.195,96993.14
2020-06-30,81833.195,98894.35
2020-07-01,81833.195,100048.67
2020-07-02,81833.195,100727.65
2020-07-06,81833.195,103204.016
2020-07-07,81833.195,102493.05
2020-07-08,81833.195,103843.06
2020-07-09,81833.195,104717.78
2020-07-10,81833.195,105432.73
2020-07-13,81833.195,103263.92
2020-07-14,81833.195,103994.85
2020-07-15,81833.195,104206.55
2020-07-16,81833.195,103495.58
2020-07-17,81833.195,103615.4
2020-07-20,81833.195,106555.06
2020-07-21,81833.195,105444.7
2020-07-22,81833.195,105816.18
2020-07-23,80829.72,103052.25
2020-07-24,80491.79,102073.68
2020-07-27,79000.27,103894.984
2020-07-28,80943.35,102572.93
2020-07-29,81123.96,103755.23
2020-07-30,81030.74,104298.4
2020-07-31,80951.46,106159.66
2020-08-03,80951.46,107593.555
2020-08-04,80951.46,107992.945
2020-08-05,80951.46,108260.55
2020-08-06,80951.46,109694.45
2020-08-07,80951.46,108428.31
2020-08-10,80951.46,107964.98
2020-08-11,80951.46,105920.01
2020-08-12,80951.46,108584.1
2020-08-13,80951.46,108831.73
2020-08-14,80951.46,108703.92
2020-08-17,80951.46,109966.07
2020-08-18,80951.46,111024.51
2020-08-19,80951.46,110277.59
2020-08-20,80951.46,111807.336
2020-08-21,80951.46,112582.19
2020-08-24,80951.46,113285.13
2020-08-25,80951.46,114175.875
2020-08-26,80951.46,116612.26
2020-08-27,80951.46,116248.805
2020-08-28,80951.46,116839.94
2020-08-31,80951.46,117778.57
2020-09-01,80951.46,119791.58
2020-09-02,80951.46,120925.88
2020-09-03,80951.46,114794.93
2020-09-04,80951.46,113265.195
2020-09-08,80951.46,107821.22
2020-09-09,80951.46,110988.54
2020-09-10,80951.46,108775.8
2020-09-11,80951.46,108020.92
2020-09-14,80951.46,109902.15
2020-09-15,80951.46,111459.875
2020-09-16,80951.46,109682.43
2020-09-17,80951.46,107969.016
2020-09-18,80951.46,106591.0
2020-09-21,80951.46,106846.625
2020-09-22,80951.46,108831.73
2020-09-23,80951.46,105508.6
2020-09-24,80951.46,105999.875
2020-09-25,80951.46,108464.24
2020-09-28,80951.46,110716.95
2020-09-29,80951.46,110217.72
2020-09-30,80951.46,110972.57
2020-10-01,80951.46,112734.01
2020-10-02,80951.46,109562.64
2020-10-05,80951.46,111899.19
2020-10-06,80951.46,109902.15
2020-10-07,80951.46,111803.35
2020-10-08,80951.46,112398.43
2020-10-09,80951.46,114115.91
2020-10-12,80951.46,117638.74
2020-10-13,80951.46,117634.74
2020-10-14,80951.46,116652.21
2020-10-15,80951.46,115869.36
2020-10-16,80951.46,115234.28
2020-10-19,80951.46,113353.05
2020-10-20,80951.46,113596.71
2020-10-21,80951.46,113508.85
2020-10-22,80951.46,113504.82
2020-10-23,80951.46,113728.54
2020-10-26,80951.46,112023.03
2020-10-27,80951.46,112897.75
2020-10-28,80951.46,108496.23
2020-10-29,80951.46,110393.44
2020-10-30,80951.46,107593.555
2020-11-02,80951.46,107833.18
2020-11-03,80951.46,109698.46
2020-11-04,80951.46,114595.23
2020-11-05,80951.46,117582.83
2020-11-06,80951.46,117670.7
2020-11-09,80951.46,115266.234
2020-11-10,80951.46,113201.28
2020-11-11,80951.46,115733.55
2020-11-12,80951.46,115190.33
2020-11-13,80951.46,116200.87
2020-11-16,80951.46,117107.52
2020-11-17,80951.46,116736.05
2020-11-18,80951.46,115873.36
2020-11-19,80951.46,116780.01
2020-11-20,81144.3,115981.17
2020-11-23,79307.484,115985.24
2020-11-24,79625.914,117614.77
2020-11-25,79449.58,118337.73
2020-11-27,80025.914,119428.11
2020-11-30,80881.13,119671.78
2020-12-01,81325.89,121205.49
2020-12-02,81857.445,121361.29
2020-12-03,81610.08,121533.016
2020-12-04,81457.445,122028.29
2020-12-07,81678.89,122719.25
2020-12-08,81267.62,123134.65
2020-12-09,81626.15,120346.75
2020-12-10,82448.67,120830.06
2020-12-11,82522.51,120562.414
2020-12-14,82525.125,121437.17
2020-12-15,82728.13,122735.234
2020-12-16,81560.266,123410.27
2020-12-17,81478.72,124217.07
2020-12-18,81478.72,123841.61
2020-12-21,81478.72,123609.945
2020-12-22,81478.72,123946.055
2020-12-23,81478.72,123321.83
2020-12-24,81478.72,123865.99
2020-12-28,81478.72,125114.414
2020-12-29,81478.72,125226.484
2020-12-30,81478.72,125230.45
2020-12-31,81478.72,125538.586
2021-01-04,81478.72,123766.0
2021-01-05,81478.72,124786.33
2021-01-06,81478.72,123057.74
2021-01-07,81478.72,126034.76
