date,equity,bh_equity
2021-09-24,7809.6377,7809.6377
2021-09-27,7809.6377,7887.3574
2021-09-28,7809.6377,7841.301
2021-09-29,7809.6377,7887.3574
2021-09-30,7809.6377,7775.092
2021-10-01,7809.6377,7818.272
2021-10-04,7809.6377,7844.182
2021-10-05,7809.6377,7872.966
2021-10-06,7809.6377,7861.451
2021-10-07,7809.6377,7999.7944
2021-10-08,7809.6377,7905.297
2021-10-11,7809.6377,7686.772
2021-10-12,7809.6377,7509.5894
2021-10-13,7809.6377,7471.2
2021-10-14,7809.6377,7565.698
2021-10-15,7809.6377,7589.322
2021-10-18,7809.6377,7480.06
2021-10-19,7809.6377,7556.837
2021-10-20,7809.6377,7651.336
2021-10-21,7809.6377,7607.04
2021-10-22,7809.6377,7527.3076
2021-10-25,7809.6377,7571.602
2021-10-26,7809.6377,7491.869
2021-10-27,7809.6377,7400.3286
2021-10-28,7809.6377,7545.026
2021-10-29,7809.6377,7459.3887
2021-11-01,7809.6377,7491.869
2021-11-02,7809.6377,7450.528
2021-11-03,7809.6377,7435.7637
2021-11-04,7809.6377,7323.5454
2021-11-05,7809.6377,7412.139
2021-11-08,7809.6377,7347.171
2021-11-09,7809.6377,7296.971
2021-11-10,7809.6377,7367.8423
2021-11-11,7809.6377,7358.9854
2021-11-12,7809.6377,7364.8896
2021-11-15,7809.6377,7323.5454
2021-11-16,7809.6377,7282.206
2021-11-17,7809.6377,7282.206
2021-11-18,7809.6377,7202.4727
2021-11-19,7742.648,7125.6943
2021-11-22,7769.651,7294.0166
2021-11-23,7700.645,7311.7354
2021-11-24,7670.642,7226.098
2021-11-26,7550.634,7152.271
2021-11-29,7505.628,7054.821
2021-11-30,7469.627,6741.799
2021-12-01,7931.662,6564.617
2021-12-02,7952.6665,6806.765
2021-12-03,8075.676,6927.839
2021-12-06,8159.683,6874.685
2021-12-07,8252.689,6815.6235
2021-12-08,8279.693,6842.2017
2021-12-09,8252.689,6774.2817
2021-12-10,8264.691,6744.7505
2021-12-13,8210.686,6626.63
2021-12-14,8252.689,6582.3325
2021-12-15,8198.686,6546.898
2021-12-16,8447.707,7001.6646
2021-12-17,8510.71,7022.338
2021-12-20,8681.726,7143.4126
2021-12-21,8651.724,7226.098
2021-12-22,8919.346,7317.641
2021-12-23,8971.73,7344.2197
2021-12-27,8934.754,7317.641
2021-12-28,8968.649,7329.4546
2021-12-29,9076.5,7276.2974
2021-12-30,9193.598,7317.641
2021-12-31,9233.66,7264.4863
2022-01-03,9224.412,7509.5894
