date,equity,bh_equity
2021-09-24,7809.6377,7809.6377
2021-09-27,7622.1895,7887.3574
2021-09-28,7583.264,7841.301
2021-09-29,7679.08,7887.3574
2021-09-30,7703.0337,7775.092
2021-10-01,7592.2476,7818.272
2021-10-04,7670.096,7844.182
2021-10-05,7765.9136,7872.966
2021-10-06,7720.9995,7861.451
2021-10-07,7640.1543,7999.7944
2021-10-08,7685.067,7905.297
2021-10-11,7604.2217,7686.772
2021-10-12,7511.404,7509.5894
2021-10-13,7658.1206,7471.2
2021-10-14,7571.2876,7565.698
2021-10-15,7604.2217,7589.322
2021-10-18,7562.3037,7480.06
2021-10-19,7547.3335,7556.837
2021-10-20,7433.55,7651.336
2021-10-21,7523.379,7607.04
2021-10-22,7457.505,7527.3076
2021-10-25,7406.604,7571.602
2021-10-26,7478.465,7491.869
2021-10-27,7469.4834,7400.3286
2021-10-28,7475.47,7545.026
2021-10-29,7433.55,7459.3887
2021-11-01,7391.633,7491.869
2021-11-02,7391.633,7450.528
2021-11-03,7310.7876,7435.7637
2021-11-04,7232.9375,7323.5454
2021-11-05,7403.6084,7412.139
2021-11-08,7421.575,7347.171
2021-11-09,7414.1616,7296.971
2021-11-10,7414.1616,7367.8423
2021-11-11,7414.1616,7358.9854
2021-11-12,7414.1616,7364.8896
2021-11-15,7414.1616,7323.5454
2021-11-16,7414.1616,7282.206
2021-11-17,7414.1616,7282.206
2021-11-18,7414.1616,7202.4727
2021-11-19,7347.172,7125.6943
2021-11-22,7374.175,7294.0166
2021-11-23,7305.169,7311.7354
2021-11-24,7275.166,7226.098
2021-11-26,7155.1577,7152.271
2021-11-29,7110.152,7054.821
2021-11-30,7074.151,6741.799
2021-12-01,7536.186,6564.617
2021-12-02,7557.1904,6806.765
2021-12-03,7680.1997,6927.839
2021-12-06,7764.207,6874.685
2021-12-07,7857.2134,6815.6235
2021-12-08,7884.217,6842.2017
2021-12-09,7857.2134,6774.2817
2021-12-10,7869.216,6744.7505
2021-12-13,7815.2095,6626.63
2021-12-14,7857.2134,6582.3325
2021-12-15,7803.2095,6546.898
2021-12-16,8052.2305,7001.6646
2021-12-17,8115.234,7022.338
2021-12-20,8286.25,7143.4126
2021-12-21,8256.248,7226.098
2021-12-22,8523.869,7317.641
2021-12-23,8576.254,7344.2197
2021-12-27,8539.277,7317.641
2021-12-28,8573.174,7329.4546
2021-12-29,8681.024,7276.2974
2021-12-30,8798.122,7317.641
2021-12-31,8838.184,7264.4863
2022-01-03,8828.936,7509.5894
2022-01-04,8748.819,7571.602
2022-01-05,8622.476,7739.927
2022-01-06,8539.277,7710.397
2022-01-07,8582.416,7973.809
2022-01-10,7895.2427,8025.3696
2022-01-11,7855.1836,7988.975
2022-01-12,8191.067,8022.337
2022-01-13,8280.431,8128.4917
2022-01-14,7947.628,8243.746
2022-01-18,7984.607,8283.178
2022-01-19,7990.769,8274.075
2022-01-20,7842.8574,8195.22
2022-01-21,7796.634,8070.864
2022-01-24,7799.717,7988.975
