date,equity,bh_equity
2021-09-24,7809.6377,7809.6377
2021-09-27,7809.6377,7887.3574
2021-09-28,7809.6377,7841.301
2021-09-29,7898.055,7887.3574
2021-09-30,7922.0566,7775.092
2021-10-01,7811.0483,7818.272
2021-10-04,7889.0527,7844.182
2021-10-05,7985.0625,7872.966
2021-10-06,7940.058,7861.451
2021-10-07,7859.0513,7999.7944
2021-10-08,7904.0537,7905.297
2021-10-11,7823.0464,7686.772
2021-10-12,7730.0425,7509.5894
2021-10-13,7877.053,7471.2
2021-10-14,7790.0464,7565.698
2021-10-15,7823.0464,7589.322
2021-10-18,7781.0444,7480.06
2021-10-19,7766.044,7556.837
2021-10-20,7652.032,7651.336
2021-10-21,7742.0415,7607.04
2021-10-22,7676.0356,7527.3076
2021-10-25,7625.0327,7571.602
2021-10-26,7697.0376,7491.869
2021-10-27,7688.0386,7400.3286
2021-10-28,7694.037,7545.026
2021-10-29,7652.032,7459.3887
2021-11-01,7610.0317,7491.869
2021-11-02,7610.0317,7450.528
2021-11-03,7529.024,7435.7637
2021-11-04,7451.0186,7323.5454
2021-11-05,7622.0312,7412.139
2021-11-08,7640.0337,7347.171
2021-11-09,7553.027,7296.971
2021-11-10,7478.02,7367.8423
2021-11-11,7379.012,7358.9854
2021-11-12,7060.987,7364.8896
2021-11-15,6880.9727,7323.5454
2021-11-16,7126.9917,7282.206
2021-11-17,7250.0005,7282.206
2021-11-18,7195.997,7202.4727
2021-11-19,7135.9917,7125.6943
2021-11-22,7162.9946,7294.0166
2021-11-23,7093.989,7311.7354
2021-11-24,7063.986,7226.098
2021-11-26,6943.9775,7152.271
2021-11-29,6898.9717,7054.821
2021-11-30,6862.9707,6741.799
2021-12-01,7325.006,6564.617
2021-12-02,7346.0103,6806.765
2021-12-03,7469.0195,6927.839
2021-12-06,7553.027,6874.685
2021-12-07,7646.033,6815.6235
2021-12-08,7673.0366,6842.2017
2021-12-09,7646.033,6774.2817
2021-12-10,7658.0356,6744.7505
2021-12-13,7604.0293,6626.63
2021-12-14,7646.033,6582.3325
2021-12-15,7592.0293,6546.898
2021-12-16,7841.0503,7001.6646
2021-12-17,7904.0537,7022.338
2021-12-20,8075.0693,7143.4126
2021-12-21,8045.0674,7226.098
2021-12-22,8312.689,7317.641
2021-12-23,8365.074,7344.2197
2021-12-27,8328.098,7317.641
2021-12-28,8361.993,7329.4546
2021-12-29,8469.844,7276.2974
2021-12-30,8586.941,7317.641
2021-12-31,8627.004,7264.4863
2022-01-03,8617.756,7509.5894
