date,equity,bh_equity
2021-09-24,7809.6377,7809.6377
2021-09-27,7809.6377,7887.3574
2021-09-28,7809.6377,7841.301
2021-09-29,7809.6377,7887.3574
2021-09-30,7809.6377,7775.092
2021-10-01,7809.6377,7818.272
2021-10-04,7809.6377,7844.182
2021-10-05,7809.6377,7872.966
2021-10-06,7809.6377,7861.451
2021-10-07,7809.6377,7999.7944
2021-10-08,7809.6377,7905.297
2021-10-11,7720.9375,7686.772
2021-10-12,7627.9336,7509.5894
2021-10-13,7774.9443,7471.2
2021-10-14,7687.9375,7565.698
2021-10-15,7720.9375,7589.322
2021-10-18,7678.9355,7480.06
2021-10-19,7663.935,7556.837
2021-10-20,7549.9233,7651.336
2021-10-21,7639.9326,7607.04
2021-10-22,7573.927,7527.3076
2021-10-25,7522.924,7571.602
2021-10-26,7594.9287,7491.869
2021-10-27,7585.9297,7400.3286
2021-10-28,7591.928,7545.026
2021-10-29,7549.9233,7459.3887
2021-11-01,7507.923,7491.869
2021-11-02,7507.923,7450.528
2021-11-03,7426.915,7435.7637
2021-11-04,7348.9097,7323.5454
2021-11-05,7519.9224,7412.139
2021-11-08,7537.925,7347.171
2021-11-09,7450.918,7296.971
2021-11-10,7375.911,7367.8423
2021-11-11,7276.9033,7358.9854
2021-11-12,6958.878,7364.8896
2021-11-15,6778.864,7323.5454
2021-11-16,7024.883,7282.206
2021-11-17,7147.8916,7282.206
2021-11-18,7093.888,7202.4727
2021-11-19,7033.883,7125.6943
2021-11-22,7060.8857,7294.0166
2021-11-23,6991.88,7311.7354
2021-11-24,6961.877,7226.098
2021-11-26,6841.8687,7152.271
2021-11-29,6796.863,7054.821
2021-11-30,6760.862,6741.799
2021-12-01,7222.897,6564.617
2021-12-02,7243.9014,6806.765
2021-12-03,7366.9106,6927.839
2021-12-06,7450.918,6874.685
2021-12-07,7543.9243,6815.6235
2021-12-08,7570.9277,6842.2017
2021-12-09,7543.9243,6774.2817
2021-12-10,7555.927,6744.7505
2021-12-13,7501.9204,6626.63
2021-12-14,7543.9243,6582.3325
2021-12-15,7489.9204,6546.898
2021-12-16,7738.9414,7001.6646
2021-12-17,7801.945,7022.338
2021-12-20,7972.9604,7143.4126
2021-12-21,7942.9585,7226.098
2021-12-22,8210.58,7317.641
2021-12-23,8262.965,7344.2197
2021-12-27,8225.988,7317.641
2021-12-28,8259.885,7329.4546
2021-12-29,8367.735,7276.2974
2021-12-30,8484.833,7317.641
2021-12-31,8524.895,7264.4863
2022-01-03,8515.646,7509.5894
