date,equity,bh_equity
2020-05-20,14064.176,14064.176
2020-05-21,14064.176,14029.762
2020-05-22,14064.176,13863.423
2020-05-26,14064.176,15062.207
2020-05-27,14064.176,16031.555
2020-05-28,14064.176,15612.84
2020-05-29,14064.176,15182.659
2020-06-01,14064.176,15538.277
2020-06-02,13966.608,15716.086
2020-06-03,13981.934,16536.305
2020-06-04,13992.8125,17333.578
2020-06-05,13901.541,18165.273
2020-06-08,13845.82,19111.678
2020-06-09,13352.889,18715.912
2020-06-10,13907.992,17041.057
2020-06-11,13006.498,15366.207
2020-06-12,13166.371,16043.025
2020-06-15,13121.963,16180.685
2020-06-16,12895.48,16358.497
2020-06-17,13006.498,15744.764
2020-06-18,13073.115,15802.123
2020-06-19,12615.705,15830.808
2020-06-22,12655.674,15687.409
2020-06-23,12429.189,15618.578
2020-06-24,13064.23,14981.906
2020-06-25,13037.586,15698.877
2020-06-26,12522.447,14534.508
2020-06-29,13010.941,14741.001
2020-06-30,13059.789,14683.643
2020-07-01,12833.309,14391.12
2020-07-02,12664.555,14534.508
2020-07-06,13388.414,14620.552
2020-07-07,13415.059,14029.762
2020-07-08,13455.025,14081.386
2020-07-09,13415.059,13788.857
2020-07-10,13073.115,14609.077
2020-07-13,13090.879,14574.661
2020-07-14,13201.898,13909.31
2020-07-15,12700.082,14540.25
2020-07-16,12526.889,14603.341
2020-07-17,12540.211,14310.817
2020-07-20,12509.125,14092.856
2020-07-21,12589.059,15027.792
2020-07-22,12562.305,15062.207
2020-07-23,12932.414,15113.826
2020-07-24,12767.426,15062.207
2020-07-27,13043.891,14620.552
2020-07-28,12985.922,14643.496
2020-07-29,12910.115,14786.889
2020-07-30,13034.973,14138.743
2020-07-31,12664.863,13915.047
2020-08-03,12473.123,13932.253
2020-08-04,12486.502,13892.102
2020-08-05,12343.809,13995.345
2020-08-06,12294.758,13960.79
2020-08-07,12673.783,14438.822
2020-08-10,12727.293,14225.724
2020-08-11,12473.123,14582.806
2020-08-12,12718.377,14507.932
2020-08-13,12762.967,14410.022
2020-08-14,12522.172,14571.288
2020-08-17,12477.582,14093.254
2020-08-18,12709.457,13845.602
2020-08-19,12687.162,13862.882
2020-08-20,12807.561,13678.579
2020-08-21,12441.908,13615.225
2020-08-24,12383.941,14104.774
2020-08-25,12432.992,14173.887
2020-08-26,12575.682,13845.602
2020-08-27,12816.475,14162.372
2020-08-28,12847.691,14219.964
2020-08-31,13217.797,13908.955
2020-09-01,12950.252,13851.362
2020-09-02,12959.168,14150.851
2020-09-03,12473.123,14122.055
2020-09-04,12299.219,14277.561
2020-09-08,11933.57,13805.286
