date,equity,bh_equity
2020-05-20,14064.176,14064.176
2020-05-21,14064.176,14029.762
2020-05-22,14064.176,13863.423
2020-05-26,14064.176,15062.207
2020-05-27,14064.176,16031.555
2020-05-28,14064.176,15612.84
2020-05-29,14064.176,15182.659
2020-06-01,14064.176,15538.277
2020-06-02,14064.176,15716.086
2020-06-03,14064.176,16536.305
2020-06-04,14064.176,17333.578
2020-06-05,14064.176,18165.273
2020-06-08,14064.176,19111.678
2020-06-09,14064.176,18715.912
2020-06-10,14064.176,17041.057
2020-06-11,14064.176,15366.207
2020-06-12,14064.176,16043.025
2020-06-15,14064.176,16180.685
2020-06-16,14064.176,16358.497
2020-06-17,14064.176,15744.764
2020-06-18,14064.176,15802.123
2020-06-19,14064.176,15830.808
2020-06-22,14064.176,15687.409
2020-06-23,14064.176,15618.578
2020-06-24,14064.176,14981.906
2020-06-25,14064.176,15698.877
2020-06-26,14064.176,14534.508
2020-06-29,14064.176,14741.001
2020-06-30,14071.694,14683.643
2020-07-01,14069.433,14391.12
2020-07-02,14069.433,14534.508
2020-07-06,14212.022,14620.552
2020-07-07,14209.695,14029.762
2020-07-08,14215.356,14081.386
2020-07-09,14197.029,13788.857
2020-07-10,13989.531,14609.077
2020-07-13,14001.479,14574.661
2020-07-14,14110.23,13909.31
2020-07-15,13608.414,14540.25
2020-07-16,13435.221,14603.341
2020-07-17,13448.542,14310.817
2020-07-20,13417.456,14092.856
2020-07-21,13497.391,15027.792
2020-07-22,13470.637,15062.207
2020-07-23,13840.745,15113.826
2020-07-24,13675.758,15062.207
2020-07-27,13952.223,14620.552
2020-07-28,13894.253,14643.496
2020-07-29,13818.447,14786.889
2020-07-30,13943.305,14138.743
2020-07-31,13573.195,13915.047
2020-08-03,13381.454,13932.253
2020-08-04,13394.833,13892.102
2020-08-05,13252.14,13995.345
2020-08-06,13203.089,13960.79
2020-08-07,13582.114,14438.822
2020-08-10,13635.624,14225.724
2020-08-11,13381.454,14582.806
2020-08-12,13626.708,14507.932
2020-08-13,13671.298,14410.022
2020-08-14,13430.504,14571.288
2020-08-17,13385.913,14093.254
2020-08-18,13617.788,13845.602
2020-08-19,13595.493,13862.882
2020-08-20,13715.892,13678.579
2020-08-21,13350.24,13615.225
2020-08-24,13292.272,14104.774
2020-08-25,13341.324,14173.887
2020-08-26,13484.013,13845.602
2020-08-27,13724.807,14162.372
2020-08-28,13756.022,14219.964
2020-08-31,14126.129,13908.955
2020-09-01,13858.583,13851.362
2020-09-02,13867.499,14150.851
2020-09-03,13381.454,14122.055
2020-09-04,13207.55,14277.561
2020-09-08,12841.901,13805.286
