date,equity,bh_equity
2020-05-20,14064.176,14064.176
2020-05-21,14064.176,14029.762
2020-05-22,14064.176,13863.423
2020-05-26,14064.176,15062.207
2020-05-27,12754.257,16031.555
2020-05-28,13278.272,15612.84
2020-05-29,13384.854,15182.659
2020-06-01,13522.521,15538.277
2020-06-02,13047.349,15716.086
2020-06-03,13091.758,16536.305
2020-06-04,13113.967,17333.578
2020-06-05,13002.942,18165.273
2020-06-08,12949.65,19111.678
2020-06-09,12456.718,18715.912
2020-06-10,13011.821,17041.057
2020-06-11,12110.327,15366.207
2020-06-12,12270.2,16043.025
2020-06-15,12225.793,16180.685
2020-06-16,11999.311,16358.497
2020-06-17,12110.327,15744.764
2020-06-18,12176.945,15802.123
2020-06-19,11719.535,15830.808
2020-06-22,11759.504,15687.409
2020-06-23,11533.019,15618.578
2020-06-24,12168.061,14981.906
2020-06-25,12141.415,15698.877
2020-06-26,11626.277,14534.508
2020-06-29,12114.771,14741.001
2020-06-30,12163.619,14683.643
2020-07-01,11937.138,14391.12
2020-07-02,11768.385,14534.508
2020-07-06,12492.244,14620.552
2020-07-07,12518.889,14029.762
2020-07-08,12558.855,14081.386
2020-07-09,12518.889,13788.857
2020-07-10,12176.945,14609.077
2020-07-13,12194.709,14574.661
2020-07-14,12305.729,13909.31
2020-07-15,11803.912,14540.25
2020-07-16,11630.719,14603.341
2020-07-17,11644.04,14310.817
2020-07-20,11612.954,14092.856
2020-07-21,11692.889,15027.792
2020-07-22,11666.135,15062.207
2020-07-23,12036.243,15113.826
2020-07-24,11871.256,15062.207
2020-07-27,12147.721,14620.552
2020-07-28,12089.751,14643.496
2020-07-29,12013.945,14786.889
2020-07-30,12138.803,14138.743
2020-07-31,11768.693,13915.047
2020-08-03,11576.952,13932.253
2020-08-04,11590.331,13892.102
2020-08-05,11447.638,13995.345
2020-08-06,11398.587,13960.79
2020-08-07,11777.612,14438.822
2020-08-10,11831.122,14225.724
2020-08-11,11576.952,14582.806
2020-08-12,11822.206,14507.932
2020-08-13,11866.796,14410.022
2020-08-14,11626.002,14571.288
2020-08-17,11581.411,14093.254
2020-08-18,11813.286,13845.602
2020-08-19,11790.991,13862.882
2020-08-20,11911.39,13678.579
2020-08-21,11545.738,13615.225
2020-08-24,11487.7705,14104.774
2020-08-25,11536.822,14173.887
2020-08-26,11679.511,13845.602
2020-08-27,11920.305,14162.372
2020-08-28,11951.5205,14219.964
2020-08-31,12321.627,13908.955
2020-09-01,12054.081,13851.362
2020-09-02,12062.997,14150.851
2020-09-03,11576.952,14122.055
2020-09-04,11403.048,14277.561
2020-09-08,11037.399,13805.286
