date,equity,bh_equity
2020-05-20,14064.176,14064.176
2020-05-21,14064.176,14029.762
2020-05-22,14064.176,13863.423
2020-05-26,14064.176,15062.207
2020-05-27,13802.191,16031.555
2020-05-28,14009.418,15612.84
2020-05-29,14070.883,15182.659
2020-06-01,14178.512,15538.277
2020-06-02,13700.807,15716.086
2020-06-03,13745.215,16536.305
2020-06-04,13767.424,17333.578
2020-06-05,13656.4,18165.273
2020-06-08,13603.107,19111.678
2020-06-09,13110.176,18715.912
2020-06-10,13665.279,17041.057
2020-06-11,12763.785,15366.207
2020-06-12,12923.658,16043.025
2020-06-15,12879.25,16180.685
2020-06-16,12652.768,16358.497
2020-06-17,12763.785,15744.764
2020-06-18,12830.402,15802.123
2020-06-19,12372.992,15830.808
2020-06-22,12412.961,15687.409
2020-06-23,12186.477,15618.578
2020-06-24,12821.518,14981.906
2020-06-25,12794.873,15698.877
2020-06-26,12279.734,14534.508
2020-06-29,12768.229,14741.001
2020-06-30,12817.076,14683.643
2020-07-01,12590.596,14391.12
2020-07-02,12421.842,14534.508
2020-07-06,13145.701,14620.552
2020-07-07,13172.346,14029.762
2020-07-08,13212.3125,14081.386
2020-07-09,13172.346,13788.857
2020-07-10,12830.402,14609.077
2020-07-13,12848.166,14574.661
2020-07-14,12959.186,13909.31
2020-07-15,12457.369,14540.25
2020-07-16,12284.176,14603.341
2020-07-17,12297.498,14310.817
2020-07-20,12266.412,14092.856
2020-07-21,12346.346,15027.792
2020-07-22,12319.592,15062.207
2020-07-23,12689.701,15113.826
2020-07-24,12524.713,15062.207
2020-07-27,12801.178,14620.552
2020-07-28,12743.209,14643.496
2020-07-29,12667.402,14786.889
2020-07-30,12792.26,14138.743
2020-07-31,12422.15,13915.047
2020-08-03,12230.41,13932.253
2020-08-04,12243.789,13892.102
2020-08-05,12101.096,13995.345
2020-08-06,12052.045,13960.79
2020-08-07,12431.07,14438.822
2020-08-10,12484.58,14225.724
2020-08-11,12230.41,14582.806
2020-08-12,12475.664,14507.932
2020-08-13,12520.254,14410.022
2020-08-14,12279.459,14571.288
2020-08-17,12234.869,14093.254
2020-08-18,12466.744,13845.602
2020-08-19,12444.449,13862.882
2020-08-20,12564.848,13678.579
2020-08-21,12199.195,13615.225
2020-08-24,12141.229,14104.774
2020-08-25,12190.279,14173.887
2020-08-26,12332.969,13845.602
2020-08-27,12573.762,14162.372
2020-08-28,12604.979,14219.964
2020-08-31,12975.084,13908.955
2020-09-01,12707.539,13851.362
2020-09-02,12716.455,14150.851
2020-09-03,12230.41,14122.055
2020-09-04,12056.506,14277.561
2020-09-08,11690.857,13805.286
